review,rating,date
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
awalnya ragu mau pilih size nya..setelah datang ukurannya pas. fit di badan. kain juga bagus tebal",bintang 5,
"BB 63 TB 167 asalnya pesan size L tapi agak longgar beruntung admin menerima tuker barang jadi size M, pas 🫰. terima kasih min. bahan tebel premium, worth it sih ini",bintang 5,
"semoga ukuranya pas ya krn buat suami , gk oernah nyesel beli di livehaf , oernah beli sepatu + tas juga .. Sukses selalu livehaf❤️❤️",bintang 5,
"kualitas bahan yang bagus, dan ketika dipakai sangat adem, dan juga pengiriman yang sangat cepat",bintang 5,3 hari lalu
"Model, jahitan dan potongannya oke, hanya bahannya agak tipis, kirain bahan denim. Terima kasih.",bintang 5,
"diatas ekspektasi, saya kira gak ada kantong buat masukin tangan, di bagian dalem jaketnya juga ada tambahan kantong lagi. bahannya juga oke banget. ya semoga awet deh",bintang 5,
"jaket nya sampai dengan aman, jaket nya bagus bahannya terutama bagian cutting bisa pas badan, bagus banget buat foto, keren, recomended",bintang 5,
"Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi gak gerah, kok.",bintang 5,
"Jaketnya bagus, adem bahannya, dan didalemnya banyak kantong Ukurannya pas",bintang 5,
"Review jujur (IMO):

1. Kualitas packing dan pengiriman bagus
2. Warna dan ukuran yg disertakan sangat akurat. Good job.
3. Tapi kualitas bahan masih kurang nyaman. Bahan...",bintang 4,10 bulan lalu
"bagus bahannya adem. karena baru beli dan belom setrika jadi keliatan kusut gitu tapo overall bagus dengan harga segitu.. 

pesan saya ke kalian : jangan beli baju yang 1...",bintang 5,6 bulan lalu
"model ok, lelinian kain juga halus dan tidak kasar",bintang 5,4 bulan lalu
"sesuai dengan deskripsi yang dicantumkan, tapi untuk panjang jaket agak kurang",bintang 4,
"modelnya bagus, bahan juga halus terimakasih seller dan pak kurir",bintang 5,
Ukurannya pas mantap dengan berat badan 49 dan tinggi 165cm. jahitan rapi dan kainnya juga tebal. proses juga cepat.,bintang 5,
"fast respon langsung dikirim, ukuran pas , konsumen sangat puas",bintang 5,
"desain keren, warna sesuai, bahanya bagus tebel adem, 173/55, trnyata kekecilan ukuran M wkwkwk..",bintang 5,
"modelnya keren, sesuai ekspektasi, bahannya mantep, pokoknya mantaa abiezz",bintang 5,
"mantap modelny, awalny pesan M trus sy pkir di krim L.. eeh trnyta logo Livehaf ny.. 😂",bintang 5,
"Alhamdulillah barang sudah sampai, sudah dicoba bahan adem pas dg BB 76 TB 163 size L",bintang 5,6 bulan lalu
