review,rating,date
"Seller cepat barang sesuai bagus , tp ada sedikit masalah di saku jahitan kurang rapi dan sdikit robek,diblkng saku klo di perhatikan",bintang 5,2 bulan lalu
"product sampai sesuai pesanan deskripsi dan estimasi
pengiriman Jg sesuai estimasi",bintang 5,2 bulan lalu
"barang sudah sampai dengan aman, untuk ukuran pas bgt di badan.",bintang 5,5 bulan lalu
"motif bagus, bahan mantap, jahitan rapi.",bintang 5,5 bulan lalu
"Modelnya bagus, sesuai sama gambar dan adminnya fast response",bintang 5,2 bulan lalu
"pengiriman sangat cepat. check out hari senin, hari rabu sdh sampai Batulicin - kalsel. packing oke. keliatan banged bahannya premium.",bintang 5,4 bulan lalu
"bahannya premium, ukurannya fit di BB 68 TB 169",bintang 5,2 bulan lalu
"Ga mengecewakan sih. Sesuai bangat. Bahannya bagus, adem juga di pakeknya. Rekomended sih",bintang 5,2 bulan lalu
"Kualitas baju lumayan, sy TB165 BB61 menurut saya klo size M agak longgar. klo mau perfect saran saya ukuran S. trmksh,🙏",bintang 4,2 bulan lalu
"bahan bagus
tp pengiriman lambat ditunda 3 hari",bintang 4,3 bulan lalu
produk sesuai deskripsi,bintang 5,5 bulan lalu
Barang bagus mantap,bintang 5,3 bulan lalu
good,bintang 5,5 bulan lalu
Joos!,bintang 5,6 bulan lalu
