review,rating,date
"Bahan Nyaman, Panduan ukuran sangat tepat, Pengirimannya cepet banget, Potongannya oke banget, siap meng-skena di coffeeshop terdekat",bintang 5,1 bulan lalu
"original, bahannya tebal, pengiriman cepat, seller sangat baik, ngga nyesel udah beli 2 kai",bintang 5,8 bulan lalu
"Paket sampai dengan selamat.
Pengiriman cepat.
Repeat order yg ke 2 kali karna memang bahan nya bagus tebel jg.
Worth it Untuk Harga segitu.
Terima kasih",bintang 5,7 bulan lalu
"Packingnya bagus dan rapi , dan bajunya sangat keren sekali dan kainnya juga enk di pake",bintang 5,8 bulan lalu
"ukuran L pas untuk tb173 bb83, cuttingan oversivenya pas ga terlalu besar. Warna hitam solid dan bahan tebal. Semoga adem kalau dipakai siang",bintang 5,
"bagus bahannya adem. karena baru beli dan belom setrika jadi keliatan kusut gitu tapo overall bagus dengan harga segitu.. 

pesan saya ke kalian : jangan beli baju yang 1...",bintang 5,6 bulan lalu
Ukurannya pas ... mantap.. kualitas juara... harga murah tapi ga murahan,bintang 5,
"Modelnya bagus sih, kainnya jugaa hitamnya bagus jugaa sangatt luar biasa keep going livehaf",bintang 5,4 bulan lalu
"pembelian kedua, bahan tebal cutting oke untuk orang tinggi 170 berat badan 80 dengan tipikal perut buncit cuman agak gerah ya ges",bintang 4,7 bulan lalu
"Ukurannya pas , kirain tebal jadi panas taunya ngga , good pokoknya",bintang 5,
"seperti biasa bahannya selalu bagus dengan harga yang terjangkau, pengiriman juga cepat",bintang 5,9 bulan lalu
"Ukurannya pas, bahannya halus dan stretch.. berasa kualitasnnya..",bintang 5,11 bulan lalu
"Nyaman dipakai, cuttingannya rapih. Sayangnya salah pilih ukuran jadinya agak kebesaran. next mau order yang L",bintang 5,8 bulan lalu
"Bahan bagus, sesuai dengan foto dan respon penjual juga bagus",bintang 5,11 bulan lalu
"kaosnya bagus..nyaman dipakai, bahan tebal. adem, top lah!",bintang 5,8 bulan lalu
"Bahannya bagus, tebel dan gk murahan. Quite worth the price👍🏼",bintang 5,
"modelnya keren, pas d badan, bahannya bagus adem Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg",bintang 5,
"Bahan, jaitan, dan kenyamanannya juara deh, salut sama produk lokal yg satu ini, fitnya juga pas sesuai size chart👍",bintang 5,9 bulan lalu
"T-shirtnya adem, bahan tebal, jahitan rapi, pengiriman on time. Tinggi saya 170 dan berat badan 70kg. Sesuai ekspektasi saya. Terima kasih Livehaf",bintang 5,3 bulan lalu
"Bahannya bagus, kemarin sudah pernah beli, Alhamdulillah di tokped ada promo jd lgsg cuss beli yg warna hitam. Bahannya enak, nyaman, untuk cuaca panas cocok, ukurannya s...",bintang 5,6 bulan lalu
Walaupun harganya udah naik. Gapapa. Soalnya suami suka. Dan bahannya adek. Walaupun trnyta agak berat klo dipake aktivitas lama di outdoor,bintang 5,6 bulan lalu
