review,rating,date
"baguss banget, cuma gak ekspek kalo ukuran xl nya besar kalii. tapi gapapa bagus kok",bintang 5,5 bulan lalu
"Superrr bagus parah suka banget ga salah milih brand ini next mau co yg brown
Kualitas produk: Sangat Baik",bintang 5,3 hari lalu
"Kualitas produk: Sangat bagus, bahannya tebal, adem, packaging juga rapi, lemnya kuat banget susah dibuka make satu tangan",bintang 5,2 bulan lalu
"bajunya bagus, hytam, gelap, legam, saya suka hytam🌟🌟🌟🌟🌟",bintang 5,3 minggu lalu
mantap sesuai deskripsi bahan tidak mudah ditekuk (lentur) trs bahannya yg tebel tp adem bukan yg tebel trs bikin gerah. thank seller klo ad rejeki bakal nyetok nih polo...,bintang 5,2 bulan lalu
"Bahan nya bagus pengiriman cepat mantull laa pokok nya
Kualitas produk: Bagus",bintang 5,2 bulan lalu
"Bahanya bagus, tebal, gak gampang kusut, dan gak panas dipake",bintang 5,2 bulan lalu
"bahan nyaman, looks nya juga mantep, adem juga, cuma minusnya harganya murah yagesya, buruan di check out biar ga kehabisan, ni rekomended banget
Kualitas produk: oke ban...",bintang 5,3 hari lalu
"bahan kek scuba adem tp gatau nanti kalo dipake bakalan panas atau engga, semoga si engga dan menyerap keringat",bintang 5,6 bulan lalu
Jujur ini pengiriman cepet trus barang sesuaay yg kita pesan bahan tebel lembut ga bikin kita gerah sama gatel pokonya memuaskan,bintang 5,5 bulan lalu
sudah monopolar mas pun slesai mam keadaannya yang digunakan sebagai bahan bakar minyak bersubsidi di dunia mama dan papanya mas bro dan sis ane juga udah ada,bintang 5,2 bulan lalu
"Kualitas produk: bagus banget
ukuran:tb 164 bb 42 buat ukuran s lumayan cocok, tapi kurang panjang dikit",bintang 5,5 bulan lalu
"Kualitas produk: Bahan tebal bagus gk gampang panas
Yahh oke sih warna juga pas sama di foto",bintang 5,1 minggu lalu
Pas di badan… tinggi badan 168… berat 70… saya pakai size M… bahan bagus sesuai deskripsi,bintang 5,2 bulan lalu
"bagus, cuman coklat nya agak terlalu gelep hampir mirip hitam",bintang 5,2 bulan lalu
"buat bahan dan cuttingan oke,cuma coba diperhatikan lagi jahitan nya ya kak,semogalebih baik lagi kedepannya",bintang 5,3 minggu lalu
"Kualitas produk: Bagus, best pokoknya. Size pas untuk BB/TB 62/170.",bintang 5,2 bulan lalu
"Sangat"" puas aku suka,mau cek out lagi warna hitam dan putih tapi yg putih stok habis.semoga kedepannya keluar kan produk yg bagus lagi",bintang 5,2 minggu lalu
"Kualitas produk: Baik menarik
Alhamdulillah paketnya udah sampe saya suka terima kasih",bintang 5,1 bulan lalu
"mantap sesuai pesanan, pengirimannya juga cepet, kualitasnya jod banget nanti beli lagi deh",bintang 5,1 minggu lalu
"Pengiriman cepat,produk nya bagus harus kasih bintang 1000 harusnya hehe❤️",bintang 5,2 minggu lalu
"modelnya keren,nyaman dipakainya.
top seller",bintang 5,4 minggu lalu
"kemarin sempet kehabisan size L warna jet black, skrg udah di restock eh kebetulan ada warna baru, lgsg co deh,jatuh cinta pertama jatuh di warna coklat nya, wkwkwk, teri...",bintang 5,2 bulan lalu
"ga nyangka bahannya tebel dan haluss bangett, juga adem di pake asli inimah diluar ekspektasi saya good job cartiera 😄",bintang 5,2 bulan lalu
"mantap, bahan bagus, model bagus, cocok buat santai n formal",bintang 5,1 bulan lalu
Kualitas produk: Sangat bagus,bintang 5,4 bulan lalu
"Sesuai gmbr, bhn tebal dan adem, worth it lah hrg segitu",bintang 5,2 bulan lalu
"tb 174, bb 67
bahannya adem+kaya karet gitu, bagian lengannya pas, klo panjang bajunya kurang si",bintang 5,1 bulan lalu
asli baguss banget bahannya enak sesuai dengan video yang ku liat,bintang 5,5 bulan lalu
"Serasa beli baju 50 ribuan.. Jahitan ambrul..gampang kebuka jahitan nya alias gampang sobek...ta sobek sekalian baju nya, kesel bet sumpah 😡",bintang 1,1 bulan lalu
"Mantul, paket sesuai pesanan dan deskripsi
Bahan bagus mirip2 brand no void atau uniqlo airsm
Ukuran sesuai cuma kurang panjang dikit di bagian pinggang
Overall good bgt...",bintang 5,2 bulan lalu
"gila ini sih keren bgt
bahan nyaman pas sesuai deskripsi bahan tebel scuba
dr packing aja udh keren bgt apa lg isinya
kasih warna lain sama motif lain dong 😭",bintang 5,4 bulan lalu
"Suka sama bahannya, nggak perlu repot strika pakaian, rapih",bintang 5,1 minggu lalu
"bahannya tebal,detail bajunya rapi,sesuai dejgan fotonya.hargany juga affordable,tetap pertahankan kualitasny.",bintang 5,1 bulan lalu
"Tidak d ragukan keren cok tb 170 bb 50 di
M menurutku boxiny pas bnget tpi klo mau ngmbil di L bakal jdi overssize karna d bagian tngan di ukuran M pas belum menyentuh ba...",bintang 5,1 bulan lalu
"Kualitas produk: Sangatt baguss bisa bersaing sm brand luar nih kalo gini kualitas produknya
Ginini yg Kren iklan sm realpicknya sm kualitasnya pokoknya mantap sudahh",bintang 5,1 bulan lalu
"geloooo gercep banget adminnya langsung sampe gini.
bajunya bagus juga, gak gampang lecek, lumayan menyerap air, bahannya lembut

agak panas sih, tapi nyqman dipakenya
ya...",bintang 5,2 bulan lalu
"Bagus,keren,bahan bagus,adem,halus,tidak kusut,, mudahan awet",bintang 5,1 bulan lalu
