review,rating,date
"model seperti gambar, tp ini sweater tipis gitu.. walopun ga tipis banget, msh ok dipake lah.. warnanya bukan krem sih kayanya.. tp ya gpp mah ok buat cowo. pengiriman da...",bintang 4,5 bulan lalu
"Modelnya keren , pas di badan , bahan nya tebal dan lembut , sesuai dengan ekspektasi , terimavkasih",bintang 5,5 bulan lalu
"Barang Sudah sampe dan setelah dicoba cocok dan Sudah Bagus, Terima Kasih",bintang 5,5 bulan lalu
Ukurannya pas Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Tinggi badan > 180 cm Tinggi badan 171 - 180 cm,bintang 5,
"Paket diterima lengkap sesuai pesanan, bahan rajut cukup tebal tapi nyaman, ukuran pas dibadan. Respon dan pengirimannya jg cepat, good seller",bintang 5,7 bulan lalu
"Thanks kak, paket sdh diterima dlm kondisi baik dan aman tanpa cacat.. sweaternya bagus, bahan lumayan tebal, ukuran sesuai..mantaps 👍",bintang 5,
"bahan nya enak, nyaman juga di pake nya, ukuran nya juga pas buat tinggi badan > 180 cm",bintang 5,
bahan dan model bagus polanya juga bagus dipakai dibadan jadi keren,bintang 5,
"Tipis banget bahannya,Bau minyak yg sangat pekat",bintang 3,2 bulan lalu
order kedua karena suka sama baju ini cocok ukurannya,bintang 5,
"jahitan di pundaknya gak sama, pakenya jadi gak enak.",bintang 3,3 bulan lalu
Ukurannya pas Tinggi badan < 160 cm Tinggi badan 171 - 180 cm,bintang 5,
"enak, suka ama bahannya Ukurannya pas",bintang 5,
"mantap bahan ringan tapi gak sumuk,",bintang 5,6 bulan lalu
Pesannya 2 item barang yang dikirim cuma 1 item,bintang 1,1 bulan lalu
"mayan lah tipis tipis, tapi pas di pakenya",bintang 4,6 bulan lalu
"Ukuran pas, bahannya cukup tebal sesuai deskripsi, recommended.",bintang 5,
"bagus banget, bahan nya enak ga bikin keringetan 👍",bintang 5,5 bulan lalu
bahan nya bagus  Ukurannya pas. bahan nya juga bagus ..,bintang 5,
"dikirain bakal ngepas dan masih longgar, ternyata gua nya aja yg kurus wkwkwk. nice lah pokoknya",bintang 5,5 bulan lalu
"Tinggi badan 171 - 180 cm, tipis ya ternyata. bagus sih tapi",bintang 5,
"modelnya keren, bahan nya bagus, ukuran nya sesuai",bintang 5,8 bulan lalu
awalnya brg diterima ga lengkap sampai sy kaget karna pesanan uda selesai. lalu di watsapp dan dikirim kembali. seller bertanggung jawab. kualitas barang acceptable dan h...,bintang 5,5 bulan lalu
Modelnya beberapa tdk sesuai deskripsi. Overall good,bintang 4,
"standar lah, bahan biasa aja sesuai harga, ekspektasi jangan seperti di foto... masih ok sih...",bintang 5,5 bulan lalu
Bahannya halus. Lumayan adem. Makasih yaa..,bintang 5,6 bulan lalu
"karena bahannya melar, jd ukurannya sangat tdk pas...M/L spt XL",bintang 3,5 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
"past respond, barang sesuai recomended pokoknya👍",bintang 5,8 bulan lalu
Sesuai gambar n pesanan. Blom dicoba kalo nanti oke akan sy tambahkan bintangnya. Thanks,bintang 4,3 minggu lalu
agk tipis tpi ok lah utk harga segini,bintang 4,5 bulan lalu
"Beli 2, Warna Sama, beda ukuran tapi yang di kirim ga sama kualitasnya juga berbeda",bintang 3,5 bulan lalu
"size pas, desain bagus bgt sesuai harga",bintang 5,6 bulan lalu
puas...pelayanan bagus barang sesuai,bintang 5,
Barang sesuai dengan spesifikasi,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5,
"Keren, pas dan cukup di badan, terima kasih",bintang 5,8 bulan lalu
Jahitan/Benang nya ada yang timbul,bintang 3,5 bulan lalu
bahannya agak tipis,bintang 4,
Ukurannya terlalu kecil,bintang 4,
Nyaman dipakai,bintang 5,
"pengiriman cepat, ukuran pas.",bintang 5,4 bulan lalu
puas bgt..bahannya adem,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
keren...... kain tebal makasih,bintang 5,5 bulan lalu
barang bagus,bintang 5,6 bulan lalu
sesuai ama harga,bintang 4,2 bulan lalu
Yang sweater rajut gak dikirim :(,bintang 1,
"ya sesuai harga lah,",bintang 4,
sesuai,bintang 5,
mantab jaya,bintang 5,1 bulan lalu
lumayan lah,bintang 5,5 bulan lalu
,bintang 3,4 bulan lalu
,bintang 3,6 bulan lalu
,bintang 3,8 bulan lalu
🤙,bintang 5,
makasih kak,bintang 5,6 bulan lalu
,bintang 1,1 minggu lalu
...,bintang 4,
