review,rating,date
"Barang sangat bagus, pengiriman jga cepat, sedikit berbeda dri foto (?) tpi ttp bagus kok",bintang 5,
"keren batik nya, bahan nya bagus, tidak bikin gerah",bintang 5,8 bulan lalu
"Produk dikirim tidak sesuai, seller dichat tidak ada balasan sama sekali🥲dapet balesan bot",bintang 2,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
"bahan nyaman, dan corak batiknya bagus",bintang 5,
Ukurannya pas Ukurannya terlalu besar Ukurannya terlalu kecil,bintang 5,
"Ukurannya pas, kualitas bagus, harga lumayan murah. pengiriman cepat. packing rapi. warna bagus",bintang 5,
Selalu memuaskan belanja disini dan pengiriman cepat,bintang 5,
"kualitas baik sesuai harga. bahan bagus, ukuran sesuai. warna sesuai gambar",bintang 5,
"Produk bagus, tapi kalau memang bukan berwarna hitam mohon ditulis yang sesuai, sepertinya produknya bukan berwarna hitam, namun navy (biru tua), jadi kalau ada cust yang...",bintang 4,
"Bagus, bikin jadi keren pake kemeja ini, pas dipake kondangan pada teriak teriak ""Arieeel Arieeeel Arieeeeeell !"" , ternyata yg isi acara nya Ariel beneran, saya...",bintang 5,
"Muat, tapi terlalu kaku di bagian pundak, padahal panjang lengan oke, tapi memendek karena membungkuk atau melipat lengan. Sulit memprediksi ukuran yang sesuai. Inilah ri...",bintang 3,
Batiknya keren Pas ukurannya Proses pesanan cepat,bintang 5,
bahan bagus. respon cepat,bintang 5,
Ukurannya terlalu besar Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
Bagus tapi Ukuranya pa kecel. ukuran bahu dan tanggan,bintang 5,
"jujur aja, kegantengan nmbah 100%",bintang 5,
"batik maginot wandra sdh sampai , mantep 👍",bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5,
"Ukurannya pas, bahanya bagus.",bintang 4,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Worth it to buy,bintang 5,
keren model nya,bintang 5,
"Bagus, ayah saya suka",bintang 5,
mantappp,bintang 5,
thanks.. ini dia yg dtunggu2,bintang 5,
Bajunya keren,bintang 5,
Batiknya keren.,bintang 5,
ok,bintang 5,
