review,rating,date
"seller fast respon, barang sesuai deskripsi etalase, recommended seller",bintang 5,7 bulan lalu
"Pengikatnya bagus, tucking nya juga keren dan ngga nelombroh. Nyaman dipakai dan gak bikin gatal atau keram. Cocok dah, semoga awet",bintang 5,
"respon seller cepat, packing bagus, pengiriman cepat, dan utk yg metal gigi capitnya pakai plastik, jd kemeja gak rusak/sobek. top markotob 👍",bintang 5,
"mantappp, bagus banget, kualitas mahal, awalnya bingung cara makenya, tapi skrng udah cocok di baju, recommended seller, pengiriman cepat",bintang 5,6 bulan lalu
"Barang sampai sesuai pesanan dan kualitas cukup baik, sesuai harga.👍 
mudah2an awet dan nyaman dipakai. 
thanks seller",bintang 5,9 bulan lalu
"Setelah beberapa Minggu pemakaian, bagus, nyaman dipake",bintang 5,
"Barang sampai dengan cepat, sesuai pesanan. Jepitan nya sedikit sulit dibuka tapi berfungsi sesuai harapan. Saran gunakan ke baju dulu sebelum ke paha 😅",bintang 4,10 bulan lalu
model nya bagus dan nyaman di paha aku yang besar. paling challengenya buat temen temen lain adalah susah banget buka si jepitannya kaya keras karena bagus sih dia bisa k...,bintang 5,
"Jepitannya kuat, dipakek buat kaos/polo bisa jg, cuma gk rekomen kalau pakai celana skinny/slim fit, pasti bulging dr luar. Dipakek motoran oke, kerasa kaku dikit di paha...",bintang 5,4 bulan lalu
"barang berfungsi dengan baik, respon seller utk proses barang juga cepat. terima kasih",bintang 5,
"kadang perlu nunduk bikin kemeja jadi berantakan, pakai ini kemeja tetep rapi",bintang 5,
"jepitannya keceng banget kayak jepitan kepiting 🦀. looking at this, i hate my mind.",bintang 5,
"bahan bagus jahitan halus
recommended seller deh",bintang 5,9 bulan lalu
"mantaaappp suspender nya,, sekarang saya Lbh terLihat jauh Lbh tampan, gagah, maskuLin, eLegan, gLowing, berwibawa, bijaksana, disipLin, rapih dan bersahaja. Sayang sajaa...",bintang 5,
Model plastic agak susah cantolin ke baju nya. Cuma ane alergi sama bahan metal. Overall good 👍🏻,bintang 5,
Belum dicoba.. tapi sepertinya bagus dan berfungsi..,bintang 5,
Barang sebetulnya oke dan kualitas bagus. Tapi yg model plastik ini harus sabar masangnya dan banyak latihan.,bintang 5,9 bulan lalu
"pengiriman cepat, kurir ramah, mantap, bahan oke",bintang 5,
"beneran kepake, pas dan lembut buat kulit",bintang 5,8 bulan lalu
"Order siang sblm jam 1, sampe jam 3 kurang, padahal lokasi lumayan! Thank you buat fast respon dan buat pelayanan nya.. semoga berkah yah",bintang 5,3 bulan lalu
Mantep deh kualitasnya bagus dan rasanya kokoh,bintang 5,
"bagus, buat ingin terlihat formal dan rapi wajib pakai",bintang 5,
"keren, nlm dcoba tp bahan oke, pngiriman jg cpt bgt, josss",bintang 5,9 bulan lalu
barang bagus moga bisa di coba pas buat jalan kondangan jos,bintang 5,4 bulan lalu
sudah sampai.. cepat sampainya.. sesuai deskripsi..  bagus.. belum dicoba..semoga awet terimakasih..,bintang 5,4 bulan lalu
"pengiriman & respon seller cepat ...
mantap",bintang 5,
