review,rating,date
"the package just arrive and i'm immediately open it, this tshirt is the perfect blend of comfort and style, super soft and really goes well with my skin. it fits just...",bintang 5,1 bulan lalu
"Jujur gua suka bgt bahan sama cuttingannya, adem, rapih, size sesuai bgt sama badan kalo lo udah nemuin ukuran yg pas buat badan lu sendiri. Good Job Human Greatness 💫",bintang 5,3 hari lalu
Paket udah di terima pakingan rapi dan juga yg paling penting bahannya tebal sesuai dengan gambar jahitqn juga rapi semoga saya pesan yg kedua sama seperti ini bahannya....,bintang 5,1 minggu lalu
"Bahannya tebal, jahitan ok, nyaman dipakai",bintang 5,1 minggu lalu
"Barang datang sesuai dengan pesanan dan deskripsi yang ada.
Bahan keren tak perlu diragukan lagi",bintang 5,3 minggu lalu
Alhamdulillah paket'y udah aku terima paking masih sama rapi dan yang terpenting bahan dan jahitannya the best ngga nyesal aku pesan dua kali next nanti pesan lagi.te...,bintang 5,1 hari lalu
Alhamdulillah paket'y udah aku terima paking masih sama rapi dan yang terpenting bahan dan jahitannya the best ngga nyesal aku pesan dua kali next nanti pesan lagi.te...,bintang 5,1 hari lalu
"Produk kaos bagus dan pengiriman barang cepat. 
Recommended seller.",bintang 5,5 hari lalu
"Pembelian ke 11, untuk size & cuttingan sesuai (Bb 85/Tb 167)
Kualitas produk: Sesuai deskripsi",bintang 5,4 minggu lalu
"Pembelian ke 11, untuk size & cuttingan sesuai (Bb 85/Tb 167)
Kualitas produk: Sesuai deskripsi",bintang 5,4 minggu lalu
"Pembelian ke 11, untuk size & cuttingan sesuai (Bb 85/Tb 167)
Kualitas produk: Sesuai deskripsi",bintang 5,4 minggu lalu
"Bahannya tebal dan keren modelnya, sy udah beli 4 bh",bintang 5,2 hari lalu
"Bahannya oke, tebel dan halus, tapi kayaknya gue lebih suka fitting nya di M, di L okesih as long as your body has some muscles, not mine tho haha",bintang 5,1 minggu lalu
"bagus banget bajunya cocok, makasih ya seller udah kasih banyak diskon",bintang 5,1 minggu lalu
"udah ngga di ragukan lagi bahan sama kualitas nya, pokok nya rekomen banget",bintang 5,3 minggu lalu
"Alhamdulillah barang ke 5 sudah Dtg,, puasa bahan enak nyaman tebel tp dingin..😍",bintang 5,4 hari lalu
Pengiriman cepat dan kualitas barang mantap sekali,bintang 5,3 minggu lalu
"Human greatness emng tidak.mengecewakan
  gk salah jadi toko langganan😊
bahan tebal adem di.pakai mantul👍👍👍",bintang 5,1 bulan lalu
"Barang meren,tebal,halus.baru ini beli kaos beda dari yg lain",bintang 5,3 minggu lalu
"bagusss bngttt, nyesel ga beli dr kmren, bahan nya tebel, tp sejuk",bintang 5,1 bulan lalu
"Baju mantappp, kain enak adem tebel...😍",bintang 5,1 minggu lalu
Keren sekale..kualitas premium👍🏼👍🏼👍🏼,bintang 5,2 minggu lalu
"Kereeennnn Kece Parah, Jahitan Rapi,",bintang 5,5 hari lalu
"Awalnya coba coba, 
Dan akhirnya gw akan jadi langganan beli di sini 🔥",bintang 5,3 hari lalu
"Berkualitas, bahannya tebal tapi tidak membuat panas, nyaman dipakai",bintang 5,4 hari lalu
Dikirim supercepat dan dibungkus rapi. Kualitasnya bagus. Bahan tebal tapi tidak panas. Sangat puas dan pasti beli lagi.,bintang 5,3 minggu lalu
"co yang ke dua kali nya malah di bikin kecewa, bahannya agak tipis,",bintang 4,2 minggu lalu
Pas live tanya Tb 170 bb 66 di kasih saran ukuran M cuman kalau mau oversized ambil L dan akhirnya ambil L pas sih di badan ga terlalu kepanjangan lengannya pas di sikut...,bintang 5,1 bulan lalu
Kualitas produk: Bahan nya bagus tebal & jahitan nya rapi banget,bintang 5,3 minggu lalu
"Bagus, size pas, sesuai yg di gambar dan di video, pola baju keren, detil rapih. Bahan lembut, adem. Warna sesuai gambar. Kemasan overall bagus. Kliatan premium.",bintang 5,3 minggu lalu
best as always kualitas bahan dan segalanya sesuai banget ekspektasi paling top deh belanja disini tidak mengecewakan bintang 5 yg berbicara,bintang 5,1 bulan lalu
Kain bagus dipakai nyaman. Kain tebal lain kali mau beli lagi nabung dulu,bintang 5,1 minggu lalu
Kualitas produk: Bahan nya bagus tebal & jahitan nya rapih banget,bintang 5,3 minggu lalu
"beli yg keseribu kali nya bahan bagus mantab , material nyaman, sesuai expextasi",bintang 5,3 minggu lalu
Asli enak banget. Bahanya tebal tpi tetap dingin di pakai.,bintang 5,3 minggu lalu
Bahannya tebaal bagus,bintang 5,2 minggu lalu
"Bagus dan adem bahan nya
Kualitas produk: Ok",bintang 5,1 bulan lalu
"Gakn kecewe 
Barang sebagus ini 🙏🏻",bintang 5,2 minggu lalu
bahan dan model sangat bagus tapi pengiriman sangat lama,bintang 5,3 minggu lalu
"bahannya bagus , ukuran pas .  untuk TB 175 BB 75 size M",bintang 5,1 bulan lalu
"Modelnya Kren, bahannya juga bagus sesuai yg di vidio, mmang gk salah kloh bg Hendy Dion yg rekomendasi 👍
#CintaiProdukLokal",bintang 5,3 minggu lalu
"pengiriman cepat sesuai sama yang di live bahan tebal adem, next mau order lagi warna lain nya",bintang 5,1 bulan lalu
Tidak ada tag petunjuk perawatan/pencuciannya,bintang 5,3 minggu lalu
Kaosnya halus tebel enak di pakai.. mau pesen lgi kak..,bintang 5,2 hari lalu
