review,rating,date
"Ukurannya pas, bahan lembut dan berkualitas. sangat recommended 🔥",bintang 5,
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
Bahan yg Abu Muda ini halus juga, tapi lebih bagus yg warna Hitam. Siip👌🏾",bintang 4,
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
Bahannya halus...👍🏻",bintang 4,
"kiriman sudah tiba dengan selamat, kiriman cepat, packing aman, barang sesuai pesanan, kualitas lumayan, cutting bukan slimfit. kudu di permak dikit.",bintang 5,2 bulan lalu
agak ketat di perut tapi pas di dada. Barang berkualitas dan pengiriman cepat.,bintang 5,
overall keren..penjual ramah..cuma pengiriman agak lama..,bintang 4,
Built quality jelek banget..parah..bahannya kasar terlihat murahan banget sama kaos partai masih bagusan kaos partai,bintang 2,8 bulan lalu
"ternyata pas banget, bahannya juga enak",bintang 5,
Oke untuk harga segitu. Tapi buat yg mau beli pastiin lagi ya soal ukuran karena ini lumayan kecil,bintang 5,
gede cutting.jahitan agak kurang rapi..ga kepake deh😔😔😔,bintang 4,1 minggu lalu
"Ukurannya pas, keren dan elegan. pengiriman agak lama krn terhalang libur tahun baru jd bisa dimaklumi. secara keseluruhan ok",bintang 5,
sesuai lah sama harga nya 😁,bintang 5,9 bulan lalu
"belum dicoba, nanti kalau pas dan muat tak tambahi wesss bintang nya 😁😁",bintang 4,11 bulan lalu
"keren.....pas bgt sama saya
murah meriah amazing",bintang 5,
,bintang 5,
,bintang 5,
"Aku kasih bintang 4 dulu ya soalnya yg dikirimin belum cobain, hehehe",bintang 4,11 bulan lalu
Barang bagus,bintang 5,
Sesuai dengan pesanan,bintang 4,
mantap,bintang 5,8 bulan lalu
"Sesuai deskripsi, packing oke, pengiriman cepat, thx",bintang 5,
"rada kegedean di bagian perut
sisanya bagus",bintang 5,
"barang sdh sampai dengan selamat, thanks",bintang 4,
"Barang sudah sampai...
Bahannya bagus modelnya juga sesuai...
Sayangnya ukurannya kekecilan sekitar size S...huhuhu (  _  )...
Tidak jadi dipakai deh...

Terima kasih...",bintang 5,
cepat tanggap batang bagus kamsia bro,bintang 5,
barang sudah sampai terima kasih banyak,bintang 4,
Produk lumayan bagus untuk harga segitu. yang top adalah seller nya. Sangat cepat respond dan kerjanya..,bintang 5,
Sesuai deskripsi dan harga,bintang 5,
mantapp rekomended ;)),bintang 5,
"Bagus, pengiriman jg cepat persis spt gambarnya. Terima kasih.",bintang 5,
"Secara keseluruhan Barang Bagus
Kekurangannya cuman di kecepatan waktu Proses Pemesanannya ditingkatkan lagi ya bro",bintang 4,
"tanggapannya cepat, barangnyaa sesuai ekspektasii",bintang 4,
"Barang bagus sesuai dengan gambar.  Kukira kekecilan,  ternyata badan saya yang gendut.  Perlu olahraga lebih. 😁😁

Makasii boskuu promo goceng sicepat nyaa.   Mana cepe...",bintang 5,
"kualitas produk baik, pengiriman cepat",bintang 5,
cocok,bintang 5,
