review,rating,date
"barang baru dari nvm, keren selalu dah fittingny",bintang 5,2 bulan lalu
"Lokal produk yang luar biasa seperti brand sebelah yang mahal,.ini produk mantap saya sudah beli 2 kali worth it local price👍",bintang 5,1 bulan lalu
"Bintang lima, lembut bahannya, cakep jahitannya",bintang 5,1 bulan lalu
"paketnya sudah sampai dengan aman, packing rapi, sesuai dengan deskripsi dan pesanan, dan pengiriman cepat banget.
sizenya L pas",bintang 5,1 bulan lalu
Kualitas produk: Sangat berkualitas dan bahannya lebut,bintang 5,1 bulan lalu
"Jahitan kurang rapih luar dalem sama ada bolong kecil kak tolong di perbaiki lagi buat kedepan nya, untuk bahan okey enak adem, cuman pas dipake kyk mengerut ketarik di k...",bintang 4,2 bulan lalu
"fitting pas dengan besar saya (tb170, bb 76). first impression bahan oke, tapi mari kita buktikan jika dipakai di luar ruangan. apakah nyaman atau tidak",bintang 5,1 bulan lalu
"bahan lembut , cuma untuk xl kurang besar , yg oblong ukurannya pas
tp oke lah",bintang 5,3 minggu lalu
"Yang Polo Pique juga bagus, sayang bahannya walau ditulis Aezy tapi terasa panas dipakai, lebih baik beli yang lebih longgar jadi 1 size lebih besar dari panduan supaya a...",bintang 5,2 bulan lalu
"bahannya nyaman dipakai, ga gerah, pelayanan bagus",bintang 5,1 minggu lalu
"Lumayan lah untuk produk lokal meski masih jauh kualitas sama produk un*cl*
Ya wajar aja sesuai dengan harga",bintang 5,2 bulan lalu
"Lumayan lah untuk produk lokal meski masih jauh kualitas sama produk un*cl*
Ya wajar aja sesuai dengan harga",bintang 5,2 bulan lalu
"Lumayan lah untuk produk lokal meski masih jauh kualitas sama produk un*cl*
Ya wajar aja sesuai dengan harga",bintang 5,2 bulan lalu
"ukuran dan warna sesuai, nyaman saat digunakan, kualitas bagus.",bintang 5,1 bulan lalu
"Bahan lumayan bagus nih, tebal dan adem, model ok, sesuai dgn harganya",bintang 5,4 minggu lalu
"Kualitas produk: Lumayan Oke
Ada Kualitas ada harga , Kepada para Affiliator tolong kalo review produk jangan terlalu overclaim ya , ini kalo di bandingkan dengan UNIQLO...",bintang 5,3 minggu lalu
"Mantap banget bahayanya enak adem, size sesuai, kualitas no 1",bintang 5,2 bulan lalu
"Dingin . Mungkin karna bahan tipis , okelah. Cuttingan di bagian bahu mungkin bisa lebih gagah lagi ( harus di tarik biar lurus )",bintang 3,1 bulan lalu
"Bahan bagus, tpi kurang di perhatikan saat pengiriman, dgn harga segini ya ada kecewa sedikit la",bintang 3,3 minggu lalu
cuttingan regulernya enak dn pas dibadan,bintang 5,2 minggu lalu
"Bahan nyaman dipakai, bahan adem, bentuk sesuai deskripsi",bintang 5,1 bulan lalu
"Kualitas produk: Bagus bahannya adem dan cuttingannya oke banget sih, dan bakal beli lagi sih",bintang 5,2 bulan lalu
"Pengemasan bagus, kualitas bahan cukup bagus",bintang 4,2 bulan lalu
"Bahan oke, adem, Stretch, tpi saran aja, ini agak kurg panjang bajunya utk ukuran XL. Selebihnya top",bintang 5,2 bulan lalu
Ini udah beberapa kali nya gw co,bintang 5,2 minggu lalu
"Pengiriman Cepat, Packing aman, Barang sesuai pesanan, Seller fast respon, Thanks.",bintang 5,1 bulan lalu
Kirain bahannya bakaln adem dan nyaman seperti baju yang best seler nya ternyata pas di pake masih ttp gerah dan kurang nyaman sama tekstur lain dalamnya gatal meskipun u...,bintang 3,1 bulan lalu
