review,rating,date
"manteb HG amanah selalu, produknya oke, bahannya pun bagus keren juga 
untuk ukurannya sendiri sesuai ekspektasi saya gak ketat tapi pas gimana ya pokoknya gitu, bahanya...",bintang 5,3 bulan lalu
"Bagus, produk mantap 
Cutting, packaging, bahan semua bagus. 
Khusus buat bahan otter ini mmg lebih tebal tapi ttp lembut - semoga warna kain tidak cepat pudar",bintang 5,5 bulan lalu
"cocok sesuai ukuran, bahan juga ok, size ok, warna oke. oke semua. good",bintang 5,4 bulan lalu
tb170 bb75 size L tebal tidak gerah sesuai dengan harganya,bintang 5,4 bulan lalu
"dari bahan ya tebel bagus, dipake kokoh  jdi ga sekedar t-shirt, cuma karena bukan boxy di aku jdi keliatan pendek di 165/55, pengiriman juga cepet bngt, berharap next (K...",bintang 5,3 minggu lalu
"Mantap pesanan sesuai dan seller responsif, packing aman tebal. Bravo seller!",bintang 5,3 minggu lalu
"Seri otter, bahan tebal dan lembut nyaman dipakai! Untuk harga 100 rb an ini worth it bgt! Jahitan dan cutting sangat rapi! Modelnya sudah oversized, jadi kalau bisa ambi...",bintang 5,3 minggu lalu
"Terima kasih, pesanan sudah sampai.

feel pemakaian pertama kali tidak terasa panas dikulit dan lembut dengan bahan yg tebal",bintang 5,2 minggu lalu
sesuai pesanaannnn goks barangnya,bintang 5,4 bulan lalu
"Ini adalah barang lokal yang paling bagus yang pernah saya beli di online shop, gila sebagus itu, seandainya ini barang merk brand U pasti harganya mahal, the best of the...",bintang 5,3 bulan lalu
"Bahan Tebal tapi Nyaman, keren & mantap",bintang 4,2 minggu lalu
"Kualitas bagus. Jahitan rapih, bahan halus dan tebel, dipake juga nyaman. Tinggi 175 bb 69kg ukuran L pas. ty",bintang 5,4 bulan lalu
"sumpah ini baju bagus bgt..warna hitam nya pekat bgt, bahan nya PREMIUM bgt Tebel tapi ngga panas kemasa nya juga keren dan ukurannya pas bgt luar biasa pokoknya dan harg...",bintang 5,2 bulan lalu
My Second purchase ! Love the design and quality,bintang 5,2 minggu lalu
"harga segitu kualitasnya baguss bgt, bahan tebal",bintang 5,1 bulan lalu
"Baju koas oversize nya udah datang, bahannya tebal dan bagus. Harusnya saya pesan ukuran Lebih nesar sedikit biar keliatan oversize nya",bintang 5,2 minggu lalu
"Alhamdulillah brngnya sudah smpe pengiriman nya juga cepat dan amanah ☺ untuk ukuran nya jga pas bahannya lembut,adem,dan tebal jahitanya juga rapih sesuai dengan yang ad...",bintang 5,3 minggu lalu
"Modelnya keren, cakep, adem, bagus, pengiriman super cepat tidak diragukan lagi kualitasnya",bintang 5,7 bulan lalu
model keren uda kesekian kali beli karna bahannya premium... mantap deh smoga harganya tetep stabil,bintang 5,3 minggu lalu
"sumpah cakep bgt anjayyy!! cuttingan, bahan dan warnanya bener2! kalian harus beli! this is my honest review ya! tb 175 bb 58 ambil sz M",bintang 5,1 bulan lalu
"Sangat bagus, puas dengan product ini. 
Terima kasih kk",bintang 5,6 hari lalu
"Ini kain modelnya berbulu tipis , lebih suka yang cross stitch",bintang 3,1 minggu lalu
bahan tebal kayak sweater dan bahan bagus juga dapat bonus stiker,bintang 5,6 bulan lalu
"modelnya keren,pas di badan dan nyaman waktu dipake beraktivitas,bahan nya tebal tapi ga gerah kok,adem lembut",bintang 5,4 bulan lalu
"Cuttingan bagus, bahan premium, great product overall. Seller responsif juga. Recommended seller & product. 10/10 will repurchase",bintang 5,6 bulan lalu
"bahan lembut dan premium, jaitan rapih, karet di bagian leher juga tebel, bb 75 tinggi 167 pakai ukuran L pas bgt oversizenya thanks seller",bintang 5,4 bulan lalu
"untuk design dan kenyamanan waktu dipakai emang mantap, bahan tebel kayak jaket cuma ngga gerah sama sekali bahannya kayak badan bisa bernafas gitu. kelemahannya kayaknya...",bintang 5,1 bulan lalu
"Asli ni bagus bgt modelnya trus tebal bahannya 
Tb:169 bb:62 untuk baju tipe ini pas pake size M",bintang 5,5 bulan lalu
"barang sudah sampai bagus banget, bahannya tebel dan sesuai harapan",bintang 5,1 bulan lalu
"Good quality product and recommended seller, thanks",bintang 5,5 bulan lalu
"TB 172 BB 65. Bahan dan fitting paling cocok sih sejauh ini dr produk HG, rib leher juga ok.",bintang 5,6 bulan lalu
"cutting ok punya, bahan enak, the best lah",bintang 5,6 bulan lalu
"tinggi 178cm berat 84kg pake xl ngepas tp masih berasa oversizenya, bahan ok cuttingan ok. barang baru sampe dan dicoba LANGSUNG PESEN LAGI karena sekeluarga pada iri dan...",bintang 5,7 bulan lalu
"Puas bgt. Bahan, ukuran, potongan ok bgt! Recommended deh 👍🏻 semoga bahannya gak berbulu klo udh lama ya 😄",bintang 5,1 bulan lalu
"Barang datang langsung dicoba utk bahan ny tebal, halus, ukuran sesuai dgn badan sy, jahitanny rapi, warna sesuai & oke...mantap dah 👍",bintang 5,5 bulan lalu
Harga murah tapi kualitas tidak murahan. TOP puas,bintang 5,7 bulan lalu
"Pengiriman cepat,
Barang bagus kualitasnya",bintang 5,1 bulan lalu
Kaosnya bagus sekali. Ini pembelian kedua. Seller jg responsif.,bintang 5,4 minggu lalu
Good quality product..recommended seller..thanks,bintang 5,6 bulan lalu
"Orderan Otter ke dua, suka sama bahan dan cuttingan baju nya",bintang 5,2 minggu lalu
barangnya bagus tebal cmn agak lebar aja kalau XL di tinggi 174 BB 67,bintang 5,1 bulan lalu
"Packaging okee, bahannya adem. What a nice buy.",bintang 5,2 bulan lalu
Badabest! Bakal beli warna lainnya sih.. Fix ini yang aku cari.. Dari jenis kain dan size nya.. Pas banget.. Recommended!!,bintang 5,1 bulan lalu
bahan tebal tapi berbulu lumayan buat pake sehari hari,bintang 3,4 bulan lalu
"mati! ga pernah failed sih nih brand, top markotop 👍🏼",bintang 5,5 bulan lalu
Sudah langganan. Kualitas dan pengiriman barang bagus. Makasih BRO,bintang 5,2 bulan lalu
"baju nya bagus , emang ud langganan di hg dri dulu. packaging nya good, pengiriman cepattt.",bintang 5,3 minggu lalu
Akhirnya memilih size yang tepat setelah sebelumnya pilih M,bintang 5,5 bulan lalu
bajunya bagus ga mudah kusut sama bahannya tebel sip dah👍,bintang 5,5 bulan lalu
Setiap bulan wajib nambah koleksi kaos OS HG.. Koleksi tiap warna sampe lengkap.. Great art.. Thanks HG❤️🔥,bintang 5,6 hari lalu
"Pengiriman Cepat, dan ini repeat order lagi. Semoga bisa semakin terjangkau",bintang 5,4 bulan lalu
"Ga bisa di ungkapkan kata²... Bagus banget pokoknya,. TB 170 BB 58 size M oversize nya pas",bintang 5,3 minggu lalu
"gokill, produknya bagus bett di harga segini. baru ini puas banget beli outfit online, bakal repeat order 🔥🔥",bintang 5,7 bulan lalu
"The best , pembelian yang ke 2x",bintang 5,2 minggu lalu
"Sizing oke, bahan oke, bakal beli lagi",bintang 5,4 bulan lalu
Barang sudah di terima dengan baik dan sesuai banget dengan expetasi dan bermanfaat banget terimakasih,bintang 5,1 bulan lalu
"sesuai dengan yang diharapkan, mantap 👍🏻",bintang 5,5 bulan lalu
Bahan tidak mengecewakan 👌👌👌,bintang 5,1 bulan lalu
"Kualitas produk: Berkualitas, bahannya tebal tapi tidak membuat panas, nyaman dipakai",bintang 5,4 hari lalu
"pengiriman cepat dan tepat, bahannya oke. tp agak kurang suka bagian kerahnya, tp ini selara pribadi ya. di foto harusnya menampilkan detail motif yg ada di kerahnya. so...",bintang 4,3 bulan lalu
"setelah coba brand sana sini, ini yang paling oke dari kualitas jahitan dan bahan. memang lebih mahal, tp worth it",bintang 5,4 bulan lalu
Pas bgt overdungnya 🚀🚀🚀,bintang 5,4 minggu lalu
"bahan lembut enak di pake, ga cocok buat main di siang karna panas + bakal kringetan nantinya, mending pake buat malam lebih enak karna gak dingin",bintang 5,1 bulan lalu
Udah beli 2 kali produk ini.. bahannya enak.. kualitas bahan bagus.. saya pakai size M.. TB 168 BB 70,bintang 5,1 bulan lalu
"bahan nya mirip jaket, jadi jangan di campur kalau bisa nyucinya biar ga nempel benang2 halus dari baju lain",bintang 5,3 bulan lalu
"Warna ny bagus cream yg GK trlalu mencolok cakep wrn cream ny bahan ny tebel blm di coba seharian nyaman atau tidak ny,pas baru nyoba kaos ny bikin yg pake jadi ganteng",bintang 5,1 bulan lalu
Bahan oke. Cuman kerahnya aja agak kurang ngepas,bintang 4,2 bulan lalu
"TB 165-168 cm BB 60-61 kg pake size S, lengannya jatuh di atas siku2 jd ngga keliatan oversized, untuk bahannya bagi orang yg mudah berkeringat (kayak gue) aman sih gaa y...",bintang 5,1 bulan lalu
"cepat, respon penjual bagus barang pun bagus",bintang 5,5 bulan lalu
Bahannya nyaman sama packagingnya niat apalagi ini produk lokal.Keep Consistent🔥,bintang 5,3 bulan lalu
"Ini pesanan ke lima saya...
Kualitas bukan kaleng - kaleng.
Bahan premium, nyaman dipakai.",bintang 5,1 bulan lalu
"mantap pol, cutting kece, bahannya adem dan gak gampang kusut, auto puas deh",bintang 5,1 bulan lalu
Pembelian yg ke-2 …bahan bagus dan ukurannya sesuai banget..ayo support brand lokan..thx,bintang 5,3 minggu lalu
modelnya keren bahan tebal. kualitas juara,bintang 5,6 bulan lalu
"Bahannya gak gampang kusut, dan warna creamnya bagus bangeet",bintang 5,3 hari lalu
"Packing rapih, kualitas bahan bagus, pengiriman cepat.🌟🌟🌟🌟🌟",bintang 5,1 bulan lalu
"Ini T shirt terkeren yg pernah g beli.
enak bahannya, ga bisa lecek, potongannya bagus bener",bintang 5,1 bulan lalu
"Pengiriman cepat, barang berkualitas, packing rapi dan aman",bintang 5,2 minggu lalu
"Pengiriman cepat, packing rapi dan aman, barang berkualitas",bintang 5,3 minggu lalu
"bahan tebal dan lembut, pokonya recomendd",bintang 5,2 bulan lalu
"seperti biasa kualitas mantapp
hanya saja ini agak luntur ya pas pertama dicuci.
paling bagus sih yg heavy weight",bintang 5,7 bulan lalu
"Diluar dugaan,bahannya bagus,tebal dan cuttingnya bagus,next order lagi warna lain",bintang 5,1 bulan lalu
"keren, kain nya tebal, fit bgt di badan, beli langsung 3 bagus semua",bintang 5,2 bulan lalu
"Respon Cepat 
Pengiriman kilat 
Packing Aman bgt 

Produk sesuai deskripsi 
Highly Recommended Seller 

Hatur Nuhun",bintang 5,5 bulan lalu
"bahannya bagus bgt gaboong asli , akan order lagi dengan varian warna lainya",bintang 5,6 bulan lalu
