review,rating,date
"barang sudah diterima, barang nya si bagus tapi sayang pelayanan cs nya kurang ramah dan membantu customer. kurirnya baik",bintang 4,9 bulan lalu
"ukuran pas, kualitas bagus, nggak nyesel belanja disini, terimakasih.",bintang 5,
"bahan bagus , jahitan rapih, ada lapisan dalam",bintang 5,2 bulan lalu
"sesuai, harga ok, ukuran ok, bahan ok, komplain apa lagi cb 😅. thx",bintang 5,
"Ukurannya terlalu besar tapi lumayan, niiceee",bintang 5,11 bulan lalu
"Bahan bagus, jahitan juga bagus",bintang 5,
"keren modelnya, jadi mirip sama Iqbal ramadan",bintang 5,
"Pesan size L di kirim XL , jadi ke gedean 😔😔",bintang 1,
"Sesuai dengan pesanan,rompinya bahan dan jahitannya rapi,mantap👍selalu amanah pengiriman sesuai cepat👍",bintang 5,1 minggu lalu
"Oke banget, bahan agak tipis sih untuk standar jas/blazer tapi masih jauh lbh tebal dibanding kaos atau kemeja. bahan juga cukup oke ajhitan cukup rapih.",bintang 5,4 minggu lalu
"Barang datang dengan selamat bagus mantaap
Maaf tidak bisa menampilkan foto karna ga sempat langsung dipake",bintang 5,6 hari lalu
"kiriman cepat, pas bisa buat Natalan,,barang bagus, keren,, spt brng mahal,,trmksh semua. Tuhan memberkati",bintang 5,
Ukurannya pas Ukurannya terlalu besar Tinggi badan 160 - 170 cm,bintang 5,
"barang bagus, namun masih ada sisa jahitan",bintang 4,
Vest nya pas di badan. bahan nya bagus. pengiriman sesuai yg diharapkan.  Ukurannya pas,bintang 5,
"rompinya bagus, dan pas di badan. pengiriman juga cepat. terima kasih",bintang 5,
pengiriman cepat tp untuk size M terlalu kebesaran,bintang 4,
Barang bagus. Qualitas tidak mengecewakan dan cepat prosesnya thanks.,bintang 5,
bagus keren jaitannya rapih. terpuaskan semoga selalu payu,bintang 5,
"modelnya bagus, dalemnya tebel, pas dibadan 60kg tb 167cm (XL) . keren deh ga mengecewakan",bintang 5,8 bulan lalu
ukuran S pas banget buat anak saya usia 11 thn. thanks😊,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,bintang 5,11 bulan lalu
"BB 54Kg TB 160cm Penjual menyarankan ukuran M, Saya order ukuran S, dan masih kegedean ga slimfit, cuttingan bukan slimfit.. di tarik bagian belakangnya full baru slimfit...",bintang 2,
Tinggi badan 160 - 170 cm Berat badan < 60 kg,bintang 5,
modelnya keren dan bahan bagus,bintang 5,
keren parah cocok untuk saya yang kerja di EO,bintang 5,
sesuai oesanan dan seller bgus responnya,bintang 5,4 bulan lalu
"nice nice nice nice nice nice nice nice
lh",bintang 5,2 bulan lalu
Warnanya abu abu nya lebih ke biru,bintang 4,
keren little too big tp dikit bgt,bintang 5,10 bulan lalu
Bagus dan nyaman,bintang 4,11 bulan lalu
produk n pelayanan oke,bintang 5,
"Ukurannya pas, mantap",bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Cocook 👍🏻,bintang 5,
,bintang 5,3 bulan lalu
Sangat rekomendasi 👍👍,bintang 5,1 minggu lalu
barang cepat sampai,bintang 5,
Mantuuuuulllll berkah selalu tokonya yaaa 🤲🏻🥰🙏🏻,bintang 5,3 minggu lalu
jahitannya rapi,bintang 5,
Pas dibadan,bintang 5,1 bulan lalu
Baguuuuusss banget gaezzz,bintang 5,
Nice,bintang 5,
,bintang 4,1 bulan lalu
