review,rating,date
"mendarat d tujuan dgn aman, seller ramah fan responsif",bintang 4,2 bulan lalu
"The package has arrived safely, the material is good, comfortable, and fits the body, I am very satisfied, thank you seller",bintang 5,1 bulan lalu
"bahannya adem & nyaman dipake, saya jadi berasa max Verstappen",bintang 5,2 bulan lalu
"bahannya lumayan sih, looks juga bagus.",bintang 5,5 bulan lalu
"Size M nya kesempitan disaya, saya request untuk dapat ditukar size L tapi seller tidak mau, sehingga baju yg sudah dibeli mubazir dan tidak dapat saya pakai.. tolong per...",bintang 2,1 minggu lalu
buat harganya tergolong bagus ni bahan,bintang 5,2 bulan lalu
"mantabbbbb pass XXL tinggi 172cm bb 100Kg, semoga warnanya awet",bintang 5,3 bulan lalu
Barang bagus dan sesuai pesanan,bintang 5,4 bulan lalu
terbaik,bintang 5,2 bulan lalu
bagusssss,bintang 5,3 bulan lalu
