review,rating,date
"Bahan halus, jaitan rapih, nyaman di pakai, busa tebal, cocok dipakai touring",bintang 5,3 minggu lalu
"bahan tebal, warnanya bagus, sangat rekomendasi",bintang 5,8 bulan lalu
"pengiriman cepat dan aman, sesuai deskripsi",bintang 5,6 hari lalu
"Barang sampai dengan aman. XL agak sempit sih, tp mgkn karena badan lbh gemuk. Kualitas ok. Warna juga ok.",bintang 5,4 bulan lalu
"Ukurannya pas, Tinggi badan 180 cm, Berat badan 73 kg, modelnya keren, ngk gerah",bintang 5,
Respon Seller gercep.... Pengiriman cepat dan Barang sesuai pesanan... Recommend seller,bintang 5,5 bulan lalu
"barang murah tapi kualitas istimewa.. 
mantap luar biasa. Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg",bintang 5,10 bulan lalu
"Ukurannya pas 
Berat badan > 80 kg
Tinggi badan 160 - 170 cm


siip mantaap",bintang 5,
Sejauh ini terlihat bagus. Bahan tebal dan terlihat kuat. Hangat di badan. Semoga awet dan bermanfaat.,bintang 5,3 minggu lalu
mantaaap pokoke kualitas oke bahan bagus n tebel enak di pakai,bintang 5,
"Desainnya keren, ukuran jg pas sesuai di badan, jahitan lumayan rapi, moga awet dipakai. Seller fast respon, rekomended 👍",bintang 5,5 bulan lalu
"modelnya keren, bahannya tebal halus. Alhamdulillah. Sangat Puas. Semoga awet.",bintang 5,7 bulan lalu
"mantaaap,bahan tebal dan berkualitas,dipakai nya hangat dan pas sesuai deskripsi penjual,penjual ramah dan fast respon,pengiriman juga cepat pas untuk ukuran tinggi badan...",bintang 5,
paket sampai tujuan ukuran pas di badan panjang rompi kurang Dikit klo bisa ada ukuran 4xl min panjang rompi lebih kan sedikit,bintang 5,6 bulan lalu
bahannya tebel bgt. good. pengiriman dan packing jg bagus. top,bintang 5,2 bulan lalu
"Rompinya bagus, bahan tebal. Size normal, TB 166cm, BB 64kg, size M pas bngt.",bintang 5,2 bulan lalu
"sesuai harapan. bukan kaleng2. ini yg gw butuhin. thanks seller. walau baru terima hari selasa, tadinya harapannya senin bisa diterima",bintang 5,"sesuai harapan. bukan kaleng2. ini yg gw butuhin. thanks seller. walau baru terima hari selasa, tadinya harapannya senin bisa diterima"
"lumayan buat nahan angin saat riding.. cukup pas buat tb 172, bb 68",bintang 5,8 bulan lalu
"ini cerita pengalaman saya yang nyata, sudah saya pakai 3 minggu hasilnya enak tidak tembus angin ketika ada angin badai pun ga masuk dada, dipakai pas cetar membahana se...",bintang 5,9 bulan lalu
"tokonya satset2 baru pesan langsung d kemas👍👍👍👍. bahannya tebel, ukuran juga pas. buat ngurangin resiko masuk angin d jalan🙏🙏🙏🙏",bintang 5,
asli nya bagus banget bahan ny tebel halus pula harga afrodable terimaksih seller dan toped,bintang 5,2 bulan lalu
"Keren bahan tebal dan kwalitas bagus
Pas di badan",bintang 5,7 bulan lalu
bahan bagus enak dipakai tahan banting harga sesuai,bintang 5,6 bulan lalu
Pas Dibadan tebel bahan  Adem ma nyaman,bintang 5,
"Ukurannya pas, cukup tebal jadi terasa hangat, model nya bagus,
saya suka dengan model resletingnya 👍,
terimakasih kak 😊",bintang 5,
"Model OK, Ukuran pas
Hanya bahan kaku saja diluar ekspektasi
Overall ok",bintang 5,6 bulan lalu
