review,rating,date
"Kualitas barang bagus, sesuai deskripsi,pengiriman cepatpacking rapi aman dan kuat",bintang 5,1 minggu lalu
"sangat disayangkan dengan kualitas bahan yang bagus, jahitan tidak rapih. Harga menentukan kualitas? Kalau kualitas tidak bagus tidak perlu dijual dgn diskon, taruh harga...",bintang 3,1 minggu lalu
"Kainnya sebenarnya bagus, beneran pure putih.. Namun untuk ukuran harga asli di atas 100 ada kekurangan di kerapian kain (ada sisa benang lumayan panjang+ujung kerah ada...",bintang 4,3 minggu lalu
"bahan bagus, tebal, ukuran sesuai, 
sayangnya tidak ada kantong saku",bintang 5,2 bulan lalu
"Bahan ok, nyaman dipakai. ukuran juga sesuai",bintang 5,1 bulan lalu
"Bahannya bagus dan ukurannya pas untuk suami saya, terima kasih ka",bintang 5,1 bulan lalu
"Pesanan sudah tiba dan cepat,sesuai tapi ordernya kekecilan,gpp, Terimakasih sheller, Tokopedia dan kurir",bintang 5,2 bulan lalu
"Barang yg ditawarkan Rizgo yg datang for oke, maaf gak sesuai ekspetasi, barang sesuai harga beli dengan discount , ...",bintang 5,3 minggu lalu
"Bahan Enak , Adem, Ukuran sesuai, Warnanya bagus,, mungkin perlu koreksi untuk benang- benang lebih dibersihkan, dan merk baju bukan rizgo tapi For One",bintang 5,4 hari lalu
"nyaman dipakai, bahan tebal tapi tidak panas...",bintang 5,1 bulan lalu
"bahan tebal halus, tidak nerawang",bintang 5,3 bulan lalu
"barang sesuai pesanan dan bagus, dan sepertinya bahannya adem",bintang 5,2 bulan lalu
"bahan bagus halus lembut.. enak di pakai, top",bintang 5,1 bulan lalu
"mesen ukuran L ko  m, ga muat di saya,,  hadeehh ga pake ini MH",bintang 3,2 bulan lalu
"Bagus bgt sih ini, bahan adem, respon cepat, pengiriman cepat",bintang 5,2 bulan lalu
"modelnya keren pas ukurannya, harganya murah",bintang 5,2 bulan lalu
produk TDK sesuai dgn yg dipajang..yg dikirim cuma sesuai warna dan ukuran doang..,bintang 3,2 bulan lalu
"Bahannya bagus banget dan anak ku suka ..mayan buat lasih sodara juga,. mksh",bintang 5,2 bulan lalu
"Bahannya bagus dan lumayan di range harga segitu 
Cma salah ambil ukuran harusnya L 
Tb : 163
Bb  : 46",bintang 4,2 bulan lalu
"barang sesuai harga
ternyata M nya slimfit
tapi gak papa",bintang 5,2 bulan lalu
"Barangnya udah sampe, tapi ternyata ukuran Lnya sempit ya hehehe 😁",bintang 5,2 minggu lalu
"pengiriman barang cepat, barang sesuai harga",bintang 4,2 bulan lalu
model sih biasa ada jahitan mengkerut kurang begitu rapi.,bintang 5,3 minggu lalu
sesuai deskripsi.. ukuran pas..,bintang 5,2 bulan lalu
mantap mantap mantap mantap mantap mantap mantap mantap mantap mantap mantap mantap,bintang 5,2 bulan lalu
"mhn maaf sy tdk bisa kasih bintang-5 :
yg di tawarkan dan dikirim jauh berbeda ( Merk beda, Warna beda, kualitas bahan dan jahitan jelek)",bintang 2,2 minggu lalu
"warna yg tidak sesuai dengan pesanan saja. 
untuk pengiriman cepat dan kurir jg dh langganan",bintang 2,1 bulan lalu
"belum dipakai, kancingnya sudah copot",bintang 3,1 bulan lalu
"bahan bagus, adem tdk terlalu tebal. cuma jahitan kurang rapi, masih ok lah sesuai harga. pelayanan gercep, recommended",bintang 5,1 bulan lalu
"barang pesanan sudah sampai bahan bagus, tebal ,menyerap keringat  ukuran pas ,jahitan bagus pokonya ok, ga nyesel beli di toko ini, suatu saat beli lagi",bintang 5,2 bulan lalu
"saran buat yang mau pesen, lebihin 1 ukuran, karna ukuran disini tidak seperti pada umum nya. bahan sesuai harga. btw thanks Tokopedia",bintang 4,2 bulan lalu
siip barang dah nyampe malah terhitung cepat di pakai nyaman pas dan cocok sesuai ukuran terima kasih toko pedia,bintang 5,2 bulan lalu
"bahan adem spt nya tidak gerah,tp sayamg ukuram nya kecil,saya pikir uk m dewasà ya",bintang 5,
Puas banget bahan sangat bagus toko yg amanah,bintang 5,3 minggu lalu
"model ya bagus, warna sesuai pesanan, quality sesuai harga, pengiriman tepat waktu. terimakasih.",bintang 5,2 bulan lalu
Paket sudah diterima dgn baik..packing aman..pengiriman juga cepat..trims,bintang 5,1 bulan lalu
Barang sesuai respon baik pengiriman cepat,bintang 5,2 bulan lalu
Barang sesuai respon baik pengiriman cepat,bintang 5,2 bulan lalu
"Kain tipis, ga sesuai merk dan warna. Biar saja akan sy pakai",bintang 4,2 bulan lalu
"bagus bahan adem lembut sesuai pesanan.
Bakal jadi langganan.",bintang 5,2 bulan lalu
baguuussssss...mayanlaahh... xL agak ngepas..,bintang 5,1 minggu lalu
Bagus hanya ukurannya tidak standard. 2xL tapi spt M jadi ya ga muat gpp buat kasih org aja. Secara keseluruhan ok hanya ukuran tolong di standarkan,bintang 4,1 bulan lalu
xl nya ukuran kecil tdk spt kaos imum nya,bintang 4,1 minggu lalu
Ukuran double XL sebenarnya sama kayak ukuran L normal nya. kekecilan.,bintang 3,2 minggu lalu
"okelah untuk harga segitu, lumayan untuk kegiatan hari2 trtentu, kehalusan kain dan ketebalan menyesuaikan harga. Thank you seller nya gercep,👍👍 semoga sukses sll",bintang 5,1 bulan lalu
"Barang ok..tp kurir,y kurang suka..sy biasa langganan SM ms Kurnia..orang,y enak ramah jg...🙏🙏",bintang 5,1 bulan lalu
"Tks barang dah sampe cuman sayang bahanya kurang bagus tdk sesuai yg tertera, kaya saringan bisa untuk nerawang.",bintang 3,1 bulan lalu
"Barang sdh sampai sesuai dengan pesanan.
Kualitas produk: Mantap",bintang 5,2 bulan lalu
bahan pe pola perlu belajar bnyk ( kurang bagus),bintang 3,1 bulan lalu
siip .. mantab .. ukuranya pas di badan,bintang 5,2 bulan lalu
bahan ga terlalu tebal dan agak panas,bintang 4,2 bulan lalu
bagus... sesuai deskripsi.. pesanan sesuai... good,bintang 5,1 bulan lalu
Sesuai deskripsi,bintang 5,1 bulan lalu
sesuai hargalah kwalitasnya... semangat...,bintang 4,2 bulan lalu
"Kualitas biasa, ada harga ada rupa.",bintang 4,2 bulan lalu
barang sdh diterima baik Dan sesuai pesanan,bintang 5,2 bulan lalu
"size L , kekecilan di anak saya",bintang 5,2 bulan lalu
mantaps kainnya lembut..sesuai ekspekrasi..  keren. trimakasih yaah.. oia.. pengiriman cepat... 👍👍🤩🤩,bintang 5,1 bulan lalu
"Pokok,y the best deh...👍👍🥰🥰",bintang 5,1 bulan lalu
gak sesuai gambar dan GK sesuai pesanan,bintang 1,6 hari lalu
Biru yang dipesen sama biru yang dateng warnanya beda sekali,bintang 2,3 hari lalu
"Bagus
Bagus,tebal",bintang 4,2 bulan lalu
Sudah di pake dan pas,bintang 5,1 bulan lalu
Bahannya panas dan kekecilan,bintang 2,2 bulan lalu
kwalitas sesuai harga,bintang 5,2 bulan lalu
barang bagus dan oke,bintang 5,3 minggu lalu
Bajuny bagus sesuai pesanan,bintang 5,2 bulan lalu
modelnya keren enak dipakai,bintang 5,1 bulan lalu
Sesuiai pesanan dan pas,bintang 5,1 bulan lalu
"Mantul..., sesuai deskripsi",bintang 5,4 hari lalu
"bagus, murah",bintang 5,1 minggu lalu
barang tidak sesuai gambar,bintang 3,2 bulan lalu
sesuai deskripsi,bintang 5,4 hari lalu
bhnya panas ya,bintang 2,2 bulan lalu
Ok untuk harganya,bintang 5,3 minggu lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
lumayan... mamtab dengan harga murah,bintang 5,1 bulan lalu
Ukuran sesuai dengan BB 77,bintang 4,2 bulan lalu
barang sudah diterima dengan baik,bintang 5,1 bulan lalu
"bagus keren, tks gan",bintang 5,3 hari lalu
pokoknya kaosnya okeeee....,bintang 5,2 bulan lalu
kekecilan xxl,bintang 3,3 minggu lalu
"Barang sudah sampai, terima kasih",bintang 4,2 bulan lalu
barang ok,bintang 5,1 hari lalu
Cakep,bintang 5,2 bulan lalu
Cakep,bintang 5,2 bulan lalu
Sesuai dengan pesanan,bintang 5,2 bulan lalu
pas,bintang 5,1 bulan lalu
brg tdk sesuai dg pesanab,bintang 1,4 minggu lalu
mantap,bintang 5,2 bulan lalu
Lumayan,bintang 4,2 minggu lalu
Lumayan,bintang 4,1 bulan lalu
Lumayan,bintang 5,2 bulan lalu
wow keren,bintang 5,3 minggu lalu
ok,bintang 5,1 hari lalu
warna nya yg dikirim beda,bintang 3,1 bulan lalu
terimakasih,bintang 5,2 bulan lalu
,bintang 3,3 minggu lalu
,bintang 3,2 bulan lalu
,bintang 3,2 bulan lalu
-,bintang 5,1 bulan lalu
Ok aja,bintang 4,2 bulan lalu
"Tks, paket sudah sampai",bintang 5,1 minggu lalu
..,bintang 4,2 bulan lalu
,bintang 2,1 hari lalu
,bintang 1,1 bulan lalu
,bintang 2,2 bulan lalu
,bintang 2,2 bulan lalu
Okkeee,bintang 5,2 bulan lalu
