review,rating,date
"pas liat model kancing/fasten-nya mirip salo**n, langsung kepincut. soalnya gak yakin sama yg pakai clip masih keliatan kurang pas saat lari (masih kabur2). saya pakai da...",bintang 5,6 bulan lalu
"cakep, fungsional, & ngga ada tulisan mereknya. Kantong water bladder besar, ada tali adjustment jg di depan + di belakang buat pole. Penjual jg ramah & sigap. Ti...",bintang 5,5 bulan lalu
"modelnya kerennnnn. mirip brand S . bahan bagus lembut. tipiss ringannnn 🫶🏻👌🏻
pas di pakai
ld 100 . pakai size XL",bintang 5,4 bulan lalu
pas banget di badan terasa meluk .keren mirip merk Silimin,bintang 5,2 minggu lalu
"bagus tapi tali pengencangnya gampang kendor jadi udah di kencengin bakal melar lagi, desain mirip salomon",bintang 3,5 bulan lalu
"keren banget, bahan bagus, suami saya seneng banget, jadi tambah ganteng, nanti kalo trail running pasti cewe2 pada godain",bintang 5,6 bulan lalu
"model mirip sama vest yang harganya jutaan, minusnya mungkin tali pengait terlalu tipis dan kurang elastis, tapi gampang bisa diganti beli tali elastis sendiri.",bintang 5,5 bulan lalu
"bahan oke, model simple keren, penjual fast response, saran aja bagi yg mau beli kalo bisa diatas ukuran biasanya, karena talinya kurang strecth, nanti tinggal diadjustab...",bintang 5,5 bulan lalu
"TB 183 BB 85, modelnya bagus, material bagus, cuma kurang pas fittingnya di saya terlalu ngetat di bagian ketiak depan. jadi kurang nyaman klo dipake lama. sama tali peng...",bintang 5,1 bulan lalu
"modelnya keren, pas di badan, bahan berkualitas",bintang 5,5 bulan lalu
"fit dibadan semoga enak dipake, mau test minggu ini",bintang 5,1 minggu lalu
"Respon cepat, komunikatif & barang berkualitas 👍🏼",bintang 5,3 bulan lalu
"Overall product, material, sizing good👌🏽",bintang 5,4 bulan lalu
"barang sesuai pesanan, kualitas ok",bintang 5,5 bulan lalu
"tinggi 180 bb 70an XXL pas di bdn gk tlalu ngepas krn blm taruh brg2

overall puasss utk hrg segini 👍👍

sygny utk bagian tali kl bs next di ganti model
yg elastis 😁",bintang 5,3 bulan lalu
"barang bagus, pengiriman cepat, harga ok",bintang 5,7 bulan lalu
"pengiriman cepat barang bagus, rekomended",bintang 5,6 bulan lalu
model nya keren. pas di badan. muat banyak barang,bintang 5,2 minggu lalu
pas bangett.. bb 51 pake size S,bintang 5,1 minggu lalu
So good! Size M di bb 53/tb 168 cocok pas 😎,bintang 5,1 bulan lalu
keren euy.. tes di SLU awal desember besok..,bintang 5,6 bulan lalu
"CAKEP BETUL
Kita test digunung lawu",bintang 5,3 bulan lalu
"Keren kerenn
Bb 73
Tb 173 sngat fit. Thank you min",bintang 5,3 bulan lalu
"keren parahhhh, size M buat TB 170 / BB 60 pass banget 🖤",bintang 5,3 minggu lalu
"sangat oke dan bagus
top markotop
tinggal di uji di jalur trail run sebenarnya",bintang 5,6 hari lalu
"Cakep bgt nih, ku kira s*lomon😅",bintang 5,2 minggu lalu
"Bahan dan kualitas okeee, ringan dan nyaman. Minus nya cuma di tali saja yang kurang stretch, tapi tidak masalah",bintang 5,6 bulan lalu
"Ada kemiripan dengan brand luar, tapi sebenarnya masih banyak perbedaan juga. Tapi, lumayan, untuk daily training ruck running. Biar ga abuse vest untuk race day.

Secara...",bintang 5,7 bulan lalu
"Barang bagus sesuai ekspektasi, datang sangat cepat . Good product , 
Good seller. Recommended",bintang 5,4 bulan lalu
bagus dan rekomen tpi saran  lbh bnyk lagi kantong di tas samping2 & kalo bisa jangan wrn hitam polos aja ada sablon reflektif yg bisa menyala diwaktu gelap apa lg pa...,bintang 4,1 bulan lalu
"Barang dan model bagus
Simple jd gak perlu bingung taruh apa aja

Worth it banget",bintang 5,2 bulan lalu
tinggi 163/53 pake L menurut aku pas kl sukanya agak oversize,bintang 5,2 bulan lalu
Ok nyaman bagus rekomen untuk beli disini,bintang 5,4 minggu lalu
"Gokil, harga seperempat salmon tapi design sama fittingnya mendekati banget.",bintang 5,3 bulan lalu
"bagusss ukuran sesuai pas dengan badan, mantapsss",bintang 5,3 bulan lalu
"untuk produk lokal ok, harga terjangkau",bintang 5,2 bulan lalu
,bintang 5,6 bulan lalu
pengirimannya cepet bgt!!!!!!!,bintang 5,7 bulan lalu
Keren,bintang 5,6 bulan lalu
