review,rating,date
"Cocok sekali! Sesuai ekspektasi. TB/BB = 169/60 pakai ukuran M pas di badan. Emang pengen reguler-slim fit. Kalau mau oversize, bisa pilih 1 nomor di atas. Bakal beli pro...",bintang 5,3 bulan lalu
bagusss sekali gan bahan lembut bagus lah p,bintang 5,8 bulan lalu
"puas bngt sm hasilnya, lumayan loh bahannya untuk produk semurah ini",bintang 5,7 bulan lalu
kualitas bagus... dipakenya nyaman.. ukuran juga pas... klo di-zip sampe atas bisa jadi turtleneck,bintang 5,4 bulan lalu
"Mantap kalilah barang itu, tidak tipis tidak juga tebal, tidak besar tidak juga kecil, tidak panjang tidak juga pendek, tidak turun tidak juga naik, jadi paslah pokoknya",bintang 5,8 bulan lalu
kualitas penjahitan zippernya kurang oke (Zipper tidak lurus vertikal) bagi yang detail orangnya agak kurang nyaman (padahal sudah pengiriman ke-2 barang yang saya terima...,bintang 2,1 bulan lalu
"Packingnya sangat aman sekali dan pengirimannya juga cepat
Kualitas produk: Jahitannya rapih dan bahan yang digunakan juga lembut jadi enak buat digunakan sehari hari
The...",bintang 5,2 minggu lalu
Sweatshirt half zip yang paling affordable dan enak dipakai,bintang 5,1 bulan lalu
Tq kk paket sampai🙏🏻 bahan ok👍🏻 jahitan rapi👌🏻adem bahannya🥰⭐⭐⭐⭐⭐,bintang 5,5 hari lalu
Tq kk paket sampai🙏🏻 bahan ok👍🏻 jahitan rapi👌🏻adem bahannya🥰⭐⭐⭐⭐⭐,bintang 5,5 hari lalu
bahannya bagus dan tipis jadi ga panas,bintang 5,1 minggu lalu
Ukurannya pas; Berat badan 60 - 65 kg; Tinggi badan 160 - 165 cm,bintang 5,10 bulan lalu
"Baju di terima dalam keadaan sudah kotor begini, tlg di tingkat kan kualitas QC nya",bintang 2,8 bulan lalu
"Paket sampai dengan cepat sekali, Terimakasih Seller 🙌🏻",bintang 5,11 bulan lalu
"respon seller cepat, jaket tidak terlalu tebal dan tidak terlalu tipis, sesuai untuk range harga yang diberikan",bintang 5,8 bulan lalu
bagus walau bahannya kurang tebel dikit but its okay dengan harga segini,bintang 5,7 bulan lalu
"Kain bagus, jahitan rapi nggk ada yang keluar, tapi kalau resleting nya perlu di upgrade karena suka nyandet dikit, overall bagus sangat rekomendasi",bintang 5,2 hari lalu
"Zipper nya bisa ditingkatkan karena seret, sama dikasih pengerat dibagian bawah baju. all in good",bintang 4,3 minggu lalu
"bahan dan desainbya bagus, jaitannya rapi",bintang 5,6 bulan lalu
"bahan bagus, penjual ramah, pengiriman cepat. mantappp",bintang 5,8 bulan lalu
"Sedikit kecewa dengan resletingnya, agak susah untuk ditarik",bintang 4,1 minggu lalu
"pengiriman cepet banget, kualitas baju oke, pas ukurannya.",bintang 5,9 bulan lalu
"BAGUS DAN TEBEL BANGEETTT!!! sesuai sama fotoo, aku kira Lnya bakalan agak kecil ternyata nggaaa 🖤",bintang 5,10 bulan lalu
bagus cuma ada cuttingan yg tidak pas sedikit dan zippernya kurang bagus,bintang 5,1 minggu lalu
"Bintang 4 untuk harganya.
Bintang 3 untuk bahan, looksnya.
Bintang 2 untuk jahitannya tumben kok bnyk yg g rapi?.
Ini pembelian yang ke 6xnya dengan produk yang berbeda....",bintang 4,1 bulan lalu
"oke sih sebenernya untuk kualitasnya sesuai harga, tapi yang kurang itu packagingnya agak kotor, tapi mungkin aja itu kotor karena perjalanan yaa✌🏻 btw tb gw 175 bb 73 s...",bintang 5,7 bulan lalu
satu lemari full produk sanvanina smua haha,bintang 5,1 minggu lalu
"Model keren, bahannya hangat pas di badan, cocok buat musim gugur",bintang 5,9 bulan lalu
keren banget. sayang gk mungkin di foto karena buat kado,bintang 5,6 bulan lalu
"Bahannya bagus, sesuai sama yg ada difoto🤗",bintang 5,9 bulan lalu
agak tipis dan size chart kurang sesuai dgn produknya. tpi looknya msih OKE,bintang 3,3 minggu lalu
"resleting blom ykk ternyata, jd kadang seret",bintang 4,2 minggu lalu
sip ukuran pas sesuai keterangan....bahan bagus datengnya tepat waktu,bintang 5,3 minggu lalu
"keren sii cuma sehari doang sampe, untuk barang ya dg harga segitu udh okee bgt mntp sama kerahnya juga emg gede jadi emg cuma cocok jadi halfzip aja kalo di sletingin ja...",bintang 5,10 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg,bintang 5,10 bulan lalu
"Recommended seller, Super Fast Response",bintang 5,6 bulan lalu
"mantapz bagus banget produknya👍🏻
pengiriman cefat, pelayanan nya jg cefat",bintang 5,9 bulan lalu
jahitannya agak kurang rapi sedikit,bintang 5,5 bulan lalu
mantapppp,bintang 5,1 minggu lalu
mantep banget gila bahannya adem,bintang 5,
bagus bahannya...mantep pokoke,bintang 5,9 bulan lalu
"kereeennnnn bgttt, ga nyesel beli di sini",bintang 5,7 bulan lalu
sesuai dgn harganya 👌👌👌,bintang 5,5 bulan lalu
"baguss sesuai hargaa, top lahh",bintang 4,4 minggu lalu
bahan ok,bintang 5,5 bulan lalu
Ukurannya pas,bintang 5,10 bulan lalu
Ukurannya pas,bintang 5,10 bulan lalu
Ukurannya pas,bintang 5,11 bulan lalu
barang nya bagus mantap 👍,bintang 5,5 bulan lalu
pengirimanya cepet bgtt👊👊,bintang 5,7 bulan lalu
sesuai ekspektasi,bintang 5,6 bulan lalu
bagus banget.. wajib punya,bintang 5,8 bulan lalu
