review,rating,date
"barang datang dengan kondisi baik sekali, kualitas barang mantapp 👍👍👍",bintang 5,
"Model fungsional harga murah, mudah2an lapisan stainlessnya tidak mudah berkarat ya.",bintang 5,8 bulan lalu
"warna coklat sesuai, bahan karet dan kait penhuncinya terlihat kuat. pengiriman cepat. 1 paket isi 2 ya gaies... recomend seller👍",bintang 5,
"mantappp, bagus banget, kualitas mahal, awalnya bingung cara makenya, tapi skrng udah cocok di baju, recommended seller, pengiriman cepat",bintang 5,6 bulan lalu
"Bagus banget, cocok dan nyaman dipakai, serta tampak stylish",bintang 5,
"Bahannya bagus dan mudah digunakan, Recommended!",bintang 5,
"Overall oke, tapi ada sedikit minus. Tolong diperhatikan !",bintang 5,
"bagus, bikin pake kemeja keliatan lebih rapih",bintang 5,
Di luar espektasi packingnya rapi dan bahannya lebih bagus dari yg saya kira bikin look tambah cool juga terima kasih.,bintang 5,
ukurannya bisa di adjust baguss dan warna hitamnya aku sukaaa. mungkin buat temen temen lain bisa di adjust dulu yaa si tali nya biar si geriginya ga kena kulit/baju kita...,bintang 5,
"Penjual cepat merespond chatting, selesai pembeli order, langsung dipacking n dikirim pd hari yg sama.  Tercatat pagi, 25 April 2022 selesai order, status shipmentnya &gt...",bintang 4,
"ternyata ukurannya pas kirain besar bgt haha, bagus bgt barangnya sesuai, cuma baru pertama kali pakai Garter jadi masih harus belajar cara pakainya dulu 👍",bintang 5,10 bulan lalu
"Bekerja dengan baik, bahan nya lumayan bagus untuk harganya",bintang 5,
"bahan dan stylenya bagussss banget, tapi buat para cwo gua cuma mau kasih saran aja buat yg lengannya kurus kayak gua gini bagusnya otot bisep nya di besarkan dulu, biar...",bintang 5,
"Model keren klasik, bahan bagus, dan warna cocok. Recommended",bintang 5,9 bulan lalu
"modelnya keren, bisa diatur lebarnya dipakai juga nyaman terimakasih seller",bintang 5,9 bulan lalu
"untuk bahannya bagus dan jahitannya rapih, goks",bintang 5,9 bulan lalu
Barang bagus. Kualitas ok banget dan warnanya cakep. Mantap,bintang 5,
"material bagus,packingan mantap,respon cepat",bintang 5,
"Puas dengan produk, pelayanan, pengemasan, dan pengirimannya. Terima kasih ya.",bintang 5,7 bulan lalu
"Barang sesuai deskripsi, pengiriman cepatz penjual ramah, packingnya aman, topp",bintang 5,9 bulan lalu
"respon penjual yang baik, dan barang yang oke.",bintang 5,8 bulan lalu
Barangnya oke. Packing juga rapi dan aman. Terima kasih,bintang 5,7 bulan lalu
"respon cpt, barang sesuai deskripsi, pengiriman sesuai SLA.
mudah2xan awet",bintang 5,
Belim sempat foto. Tapi kualitas bagus ytk harga segini,bintang 5,
"Ukuran pas, pengiriman juga relatif cepat, terima kasih",bintang 5,10 bulan lalu
"sesuai dgn yg ditampilkan di toped dan krn instan, pengiriman cepat",bintang 5,4 bulan lalu
pas. gampang di aplikasikan. klo pake kemeja jd tambah ganteng,bintang 5,10 bulan lalu
"Puas nya Kumplit pokeeeEe... titik. 
beneran dpt sepasang niih. Amanah dan berkah 

Makasih yaaah..",bintang 5,
"barang nya sesuai dengan yang di foto
thank youu",bintang 5,
Cukup oke di harga segini dengan barang yg didapat 👍🏻,bintang 5,4 bulan lalu
Produk dan pelayanan sangat memuaskan,bintang 5,11 bulan lalu
"bagus modelnya, sesuai ekspektasi",bintang 5,
"Barang sudah sampai, bener bener bagus banget. Terima ksih banyak",bintang 5,
Pesanan sesuai orderan dan cepat 👍,bintang 5,
"Baru coba dipake sekarang dan ternyata enak bgt dipakenya, kualitas oke dan tidak melorot2",bintang 5,
"Paket telah diterima dengan baik. Produk baik & sesuai Deskripsi, Pelayanan & pengiriman cepat, kemasan baik dan aman. Seller ramah dan tanggap. Terimakasih Selle...",bintang 5,
"the price: 4.2/5.0
the looks: 4.5/5.0
the comfort: 4.0/4.0

overall 4.23
tp saya berikan 5 stars karena ada kepuasan tersendiri ketika sudah di match dengan outfit",bintang 5,
"Sesuai deskripsi, nyaman dipakai, ukuran adjustable",bintang 5,
gacor. sweater gue rata2 pada kegedean. bisa banget dipakein ini supaya lengan sweaternya agak naik dan gak turun2. makasi bang,bintang 5,10 bulan lalu
"enak bgt dipakenya, nyaman! bahannya mahal sih padahal harga murah😭👍🏼",bintang 5,7 bulan lalu
"Pemrosesan sangat cepat, pengiriman juga walaupun di weekend. 👍 Barang sesuai gambar, kualitas bagus 👍",bintang 5,
"Barang bagus dan pengiriman cepat , terimakasih seller",bintang 5,
"model nya keren,pas di badan dan tidak gerah dipakai",bintang 5,1 minggu lalu
bikin baju jadi rapi enak,bintang 5,
bahan bagus,bintang 5,
"bahan bagus, sesuai foto dan ekspektasi",bintang 5,8 bulan lalu
"Kualitas produk bagus, recomended.",bintang 5,
"packing bagus, pengiriman sesuai. terimakasih",bintang 5,6 bulan lalu
product real picture dan kiriman cepat,bintang 5,
sangat membantu kalo lengan panjang,bintang 5,
Nice bangett buat bantu rapiin lipetan baju,bintang 5,4 bulan lalu
keren sesuai gambar kualitas mantap,bintang 5,
dahh sampe tapi ga ngerti cara pakenyaaaa,bintang 5,
"keren banget di pakai nya,",bintang 5,
keren mantab sesuai foto,bintang 5,
"Pengiriman aman, barang sesuai, Puas!!!",bintang 5,4 bulan lalu
"mantappp, beli kedua kali disini",bintang 5,6 bulan lalu
"bahanya bagus , tidak mengecewakan belanja di sini.. 👍🏾👍🏾",bintang 5,
it works,bintang 5,
"Mantap, packingnya aman",bintang 5,
bagus dan kualitas pas,bintang 5,
barang sesuai harapan,bintang 5,10 bulan lalu
"bagus, kyk peaky blinder",bintang 5,8 bulan lalu
