review,rating,date
"pas di badan, wrna hijau army bagus, suka dengan produk nya, okelah kalo begitu, sip belanja hemat ya di toko inilah",bintang 5,5 bulan lalu
"sempet lepas, tp aman,. sesuai harga",bintang 4,4 bulan lalu
Sesuai iklan. respon cepat. packing bagus dan pengirimannya cepat.,bintang 5,
"barang sudah bagus, datang sesuai estimasi, hanya saya talinya panjang sebelah",bintang 3,
"kesulitan menjepit di kain, gerigi jepitannya terlalu panjang besar, padahal bagus",bintang 4,1 hari lalu
"Barang sesuai ekspektasi,, seller fast respon, packing rapih,,mantap",bintang 5,7 bulan lalu
"OK banget. Respon cepat, semoga barangnya awet.",bintang 5,
"barangnya bagus min, terbaik lah, dah saya coba juga kok",bintang 5,
"Admin gercep, langsung dikirim gak Pake lama 👍💥",bintang 5,4 minggu lalu
wailah mantepp jadi keren gw kayak leon s kennedy dari re4,bintang 5,
"Barang ini sama dgn yg saya Pakai, bagus sesuai keinginan, pengiriman cepat.",bintang 5,
Seller begitu ramah dan pesanan sesuai,bintang 5,
"Produk dengan harga sprt itu bagus.. 
nnt kita lihat lagi ketahanan karet suspendernya.. 
seller cpt merespon 
pengiriman cepat... 
terimakasoh seller n kurir...",bintang 4,
Terima kasih. Barang pesanan sudah diterima dengan selamat. Barang sangat bagus & sesuai deskripsi. Respon penjual baik & sangat cepat. Recommended Seller. TOP,bintang 5,
"suspenser nya ok, dipake nyaman, murah dan bagus...top seller",bintang 5,
"Bagus, cuma sedikit rumit untuk mengatur penjang pendek suspendernya",bintang 5,10 bulan lalu
"Barang sesuai dengan pesanankurir ramah  dan respon  sangat bagus, terima kasih",bintang 5,2 bulan lalu
Kualitas produk ok,bintang 5,
Barang sesuai orderan & berfungsi dengan baik.,bintang 5,5 bulan lalu
pengiriman sangat cepat. hanya sehari sudah sampai. seller juga ok. recommended,bintang 5,2 minggu lalu
Barang sesuai orderan & datang tanpa ada yang rusak.,bintang 5,4 bulan lalu
"Barang bagus sesuai pesanan, cepat sampai",bintang 5,8 bulan lalu
Produknya mantaaaapp... proses cepat. Recommended Seller.,bintang 5,3 bulan lalu
barang sesuai di gambar pengiriman cepat👍🏻👍🏻👍🏻👍🏻,bintang 5,
udah minta Navy di deskripsi tetep dikasih Cokelat tua.,bintang 4,2 bulan lalu
"mantap deh, jadi ga sering merosot nih celan, thanks",bintang 5,
"Kualitas lumayan, bisa dipakai.",bintang 5,
"murah meria, kwalitas sesuai harga",bintang 4,7 bulan lalu
"Barang bagus, service memuaskan.",bintang 5,
jahitan kurang bagus,bintang 3,
sesuai deskripsi,bintang 4,
mantap sesuai dgn pesanan,bintang 5,
pass joss gandos wush bablas angine,bintang 5,
bagusnya oiiiiiiii💯🔥🔥🔥🔥,bintang 5,9 bulan lalu
👍 GOODgood 👍,bintang 5,
Barangnya OK..,bintang 5,
bagus,bintang 4,
sat set set,bintang 5,1 bulan lalu
sesuai pesanan pasti order lg..,bintang 5,
"makasih y, mantap jiwaaaaa",bintang 5,
Ok good,bintang 5,
idem oknya,bintang 5,1 minggu lalu
Barang sesuai pesanan,bintang 5,
aku benci kalian semua,bintang 5,
,bintang 5,10 bulan lalu
mantabbb!!!..,bintang 5,
"mendarat dengan selamat, terima kasih banyak",bintang 5,
👍,bintang 5,
barang sudah diterima mantaaaap terima kasih pak,bintang 5,
"Alhamdulillah bagus, oke",bintang 5,
sesuai pesanan,bintang 5,5 bulan lalu
lumayan bermanfaat tks,bintang 5,
bagusss,bintang 5,
ok,bintang 5,
baguus,bintang 5,
,bintang 3,
,bintang 1,1 bulan lalu
"brg sdh sampai dlm kondisi baik,kuwaliras sesuai harga ok.pengiriman cpt, seller bagys,recomanded",bintang 5,
oke beudh,bintang 5,
oke,bintang 5,
barang bagus murah meriah,bintang 5,
"Respon dan pengirimannya cepat, barang sesuai yg diharapankan. Makasih",bintang 5,
Mantablah membuatku semakin tampan,bintang 5,
"Respon cepat, verifikasi pembayaran senin, selasa barang diterima, kemasan rapi dan aman, harga OK, produk sesuai deskripsi, semoga berfungsi dan awet berkualitas",bintang 5,
kereeen... suka makeknya,bintang 5,
keren👍,bintang 5,
bagus.. berguna,bintang 4,
"RECOMENDED SELLER...!!!
seller responsif, packing aman, pengiriman cepat, produk sesuai iklan",bintang 5,
ahh bagus warnanya jd matching sama topi.. makasih,bintang 5,
