review,rating,date
"Untuk harga segini sudah bagus banget, ditambah penjual fast response, thank you min",bintang 5,
"Bagus untuk dewasa , tali bs di adjust. Lebar 2,5cm. Biru dongker navy cakep— mksh seller responsif.",bintang 5,
"Harga terjangkau, sesuai deskripsi. pengiriman cepat.",bintang 5,
"Bagus. Kurir aman. Packing aman. Komunikasi cukup, moga bs ditingkatkan mins. Lancar rejekinya",bintang 5,
"mantep, respon, proses, & pengiriman cepat",bintang 5,
model keren bagus buat celana yg agak kebesaran berguna bgt sabuk jojonnya,bintang 5,
Manteb sesuai gambaarrrr. Bahannya jg baguuuss,bintang 5,
"pengiriman cepat, fast respon..",bintang 5,
"paket diterima dg baik dan aman, sesuai dengan harga.",bintang 4,
pas di badan dan nyaman di pake...,bintang 5,
Barang bagus sesuai exptektasi,bintang 5,
"Pesan warna navy dan maroon, dikirim warna navy semua",bintang 3,
"enak dipakai, tapi penjepit tali depan agk kendor, tapi bisa dibenwrin sendiri pake tangan, overall recommended dengan harga segini",bintang 5,
"model dan bahannya bagus , pengirimannya cepat",bintang 5,
"bagus....

keren......

sesuai deskripsi.....",bintang 5,
"Keren pelayanannya, chat Responnya juga cepat",bintang 5,
"kualitasnya bagus, minus nya yg jual buta warna. saya pesan warna abu-abu yg datang biru navy",bintang 4,
"barang nya bagus, sesuai sama harga nya. pokok sip lah",bintang 5,
"kerren deh pokok.a, cuma gk tau ini stainless.a tahan karat ap gk, klo soal harga.a sihh yy keitung gk mahal 😁
sukses truss yy kak 🙏",bintang 5,
"proses nya panjang , dateng nya telat buat di pake hari minggu malah hari senin dateng ny
kutang better",bintang 4,2 bulan lalu
"Penjepit tali agak berkarat, jadi berbekas di tali. Tapi lumayanlah sesuai harga.",bintang 3,
paket tali jojon sudah sampai dan bagus terimakasih 👍🏿👍🏿,bintang 5,2 bulan lalu
tks baik cocok untuk yg tidak pakai ikat pinggang,bintang 5,
pesanan tdk lengkap dikirimnya ... yg datang 1 hitam 1 putih padahal pesanan 2 hitam 1 putih gmn ini gan,bintang 4,
mantap tapi ggak ngerti cara pakainya?,bintang 5,
3 Ukuran Anak - anak & 1 ukuran Dewasa,bintang 1,
kait penjepit bukan stainless,bintang 3,
OKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOK,bintang 5,11 bulan lalu
barang kami teri terima sesuai deskripsi,bintang 5,
sesuatu deskripsi,bintang 5,
barang sesuai bnget dan cepat,bintang 5,
barang bagus👍👍👍👍👍👍,bintang 5,
barang sesuai deskripsi,bintang 5,
orderan tdk sesuai ... order tali jojon warna hitam dikirim warna krem sdgkam ikat pinggang order warna krem yg dikirim hitam,bintang 2,
,bintang 5,6 bulan lalu
mantab & rekomen bet daaaah,bintang 5,
"mantap gan..
recommended lah",bintang 5,
"Barang oke, cepet sampe",bintang 5,
"bagus
keren",bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
ok,bintang 5,
barang sudah diterima mantaaaap terima kasih pak,bintang 5,2 bulan lalu
barang sudah diterima mantaaaap terima kasih pak,bintang 5,
"ok, sesuai",bintang 5,3 bulan lalu
cepat sampainya... bagus,bintang 5,
"cakep,,,tks",bintang 5,
Sesuai harga,bintang 5,
Baguss,bintang 5,
bagus,bintang 4,
sip cocok,bintang 5,
👍 GOOD 👍 good 👍,bintang 5,
Keren,bintang 5,
thanks,bintang 4,
mantepppp,bintang 4,
tidak sesuai warna,bintang 1,
Semoga awet...,bintang 4,
⭐⭐⭐⭐⭐,bintang 5,
,bintang 1,
"Bagus, cuma ada yang karat dikit",bintang 4,
baguss kok,bintang 5,
sesuai pesanan,bintang 5,
lumayan,bintang 4,
nyampenya cepet makasih,bintang 5,
mntaps,bintang 5,
Barang tiba dg cepat dan kond bagus. Cukup puas. Trims ksh,bintang 5,
mantap . barang sesuai harga,bintang 5,
Barang sesuai yang diiklankan. Respon cepat. Packing rapi. Recommended Seller.,bintang 5,
keren kece abis temen gua udh kaya WO Profesional kekekek,bintang 5,
"Suka banget, kualitas oke, murah, dan bahannya karet oke",bintang 5,
"Barangnya baguuss.. Pengiriman juga cepaatt, padahal udah masuk tahun baruan.. The best 👍🏼",bintang 5,
muanteeeb.. barang oke.. harga murah... pengiriman jg cpt.. top,bintang 5,
"Mantaaaap gaaan,",bintang 5,
"sesuai harga, pertama kali coba salah satu klipnya lepas tapi mudah sekali untuk dibetulkan",bintang 5,
"Barang bagus sesuai harapan, terimakasih. Cepat sampai juga",bintang 5,
Bagus,bintang 5,
Mantap sesuai sop,bintang 5,
Sesuai ekspekatasi. Bagusss,bintang 5,
mantap,bintang 4,
lumayan aja,bintang 3,
saya mau jual temen saya aja,bintang 5,
"respon cepat, barang bagus",bintang 5,
baguss,bintang 5,
"hehe aman, barangnya rapi, cepet pengiriman nya",bintang 5,
"Terimakasih, barang cepat sampai dan sesuai.",bintang 5,
Membuatku makin tampan,bintang 5,
"barang cepat sampai, bintang bicara",bintang 5,
pengirimannya satset bangat muantab dah,bintang 5,
nice,bintang 5,
"mantappp, sesuai harga lah yaa",bintang 5,
Manstab lah..,bintang 5,
"Barang diterima...
Recommended seller.. 
fast respond...",bintang 5,
"Terima kasih gan. Respon  dan Pengiriman cepat, kurir yg kurang komunikasi jadi telat, Barang bagus.  Terima kasih bonus nya",bintang 5,
"Barang nya ori ,,pengiriman cpt ,respon penjual sangat baik",bintang 5,
bagus tapi jaitannya agak kurang rapi,bintang 5,
murah dan ok barangnya,bintang 5,
Barang sesuai dengan gambar. Pengiriman cepat. Dipacking dengan baik dan rapi.,bintang 5,
"barangnya bagus puas bgt, fast respon seller . thx",bintang 5,
thanks,bintang 4,
bagus,bintang 5,
Ok gan barang sudah diterima dan sesuai pesanan 😇😇😇😇,bintang 5,
mantap,bintang 5,
"Respon penjual cepat dan ramah, barangnya bagus dan sesuai fotonya, pengiriman jg cepat. Terimakasih ya.",bintang 5,
Pengiriman cepat,bintang 3,
bagus. sesuai display foto. warnanya sesuai. harga ekonomis. pengiriman cepet bgt. tkuuuu,bintang 5,
