review,rating,date
"seller fast respon, pengiriman cepat, packing aman, warna sesuai",bintang 5,8 bulan lalu
Barangnya sudah diterima dan sesuai dengan pesanan .,bintang 5,9 bulan lalu
"Produk berkualitas sesuai deskripsi dan pesanan serta harga yang kompetitif.
Barang dikemas secukupnya dan dikirim dengan cepat via free ongkir AnterAja.
Seller ramah, ko...",bintang 5,
"Bagus, Minus Dikit Anunya Berkarat, Jadi Pas Posisinya Diubah Ninggalin Bekas",bintang 4,
"barang sudah sampe dan aman, penjual baik, spertinya ada yg karatan digigi dalenmnya jadi ada bekas karatan ditalinya pas mau di adjust, klo difoto ga bgtu keliatan sih,...",bintang 5,
"Kualitas suspendernya mantab jasa! Beli 7ea, semua jahitan dan jepitan suspendernya bagus semua! Dan benar2 fit to XXL! Bahannya juga terbilang cukup bagus (tidak terlalu...",bintang 5,
"keren, kadang copot sih tapi keknya gegara gw makeknya agak kekencengan aja",bintang 5,
"beli suspender hitam dan abu-abu, dan dasi kupu-kupu hitam dan abu-abu di sini, cocok untuk acara dinner party dengan tema kostum gatsby. seller super responsif di kala w...",bintang 5,
"nyaman di pakai, ukuran nya juga bisa disesuaikan.. terimakasih semoga awet dipakai",bintang 5,10 bulan lalu
"Barang sdh Sesuai pesanan kwalitas baik 

harga cukup murah",bintang 5,
"Secara kualitas, strip nya bagus, cuman si kail nya udah karatan semua, jadi pas geser"" kailnya muncul bekas karat di strip nya",bintang 3,
"1. Harga mantab
2. Lebar belt-nya pas
3. Panjangnya pas utk saya yg tinggi badan 175cm.
4. Warnanya bagus
5. Respon agannnya cepat",bintang 5,
Diterima dalam kondisi baik dan diproses dengan cepat.,bintang 5,
"Sesuai Dengan Pict, Harga Ramah Di Kantong",bintang 5,
"recommended seller, fast respond and fast delivery, good quality, price and original goods.",bintang 5,
Ukurannya pas dan bahannya lumayan tebel. Cocok banget dia gua yang badannya tinggi besar,bintang 5,
"Suspendernya pas, karetnya longgar tapi kuat, kelihatan bagus, nyaman.",bintang 5,
sip sesuai ekspektasi. jadi ngga gampang melorot. dengan tali karet elastis yang bisa distel kekencangannya. mantap,bintang 5,11 bulan lalu
Mantap Kak. Bisa tampil ganteng maksimal pas Natalan besok. Sukses terus ya Kak.,bintang 5,
