review,rating,date
"wow,sangat keren pas dipake juga cocok semoga awet",bintang 5,
"bahannya ringan & nyaman dipakek buat outer. modelnya keren. cuma emang butuh ngerapihin lg jahitan kancing & lubang2nya.

Utk tb 165 cm dan bb 65 kg, ukuran m ud...",bintang 5,
Barang sudah diterima & sesuai aman. Dikemas rapi & aman. Kualitas barang cukup bagus,bintang 5,
Bahan berkualitas,bintang 5,
Kualitas bahannya tebal dan jahitannya rapi. Packaging aman dan higienis karena dimasukkan ke plastik zipperlock.,bintang 5,
barang bagus. bahan lembut gak terlalu tipis gak terlalu tebal  jahitan rapij👍👍,bintang 5,4 bulan lalu
"Suka bgt, nyaman dipake! Ukurannya pas, kemasan pengiriman juga sangat rapih",bintang 5,
"bahannya ga terlalu tebal, nyaman dan jahitannya rapi. thx.",bintang 5,
"kualitas bagus, warna cakep. tp sedih ukuran nya ternyata kekecilan, sya pesen L, tinggi 170,berat 73, sempit.. harusnya XL.",bintang 5,
"Good fit, pelayanan cepat dan ramah. Recommended seller 👌🏻",bintang 5,
"produk sesuai deskripsi,  response cepat dan pengiriman tepat waktu",bintang 5,
pokoknya gomuda keren dan terbaik. kualitasnya ngga perlu diragukan lagi,bintang 5,2 bulan lalu
"Kualitas produk: Bagus bangett bajunya,,bahannya jg adem",bintang 5,2 bulan lalu
"bahan adem, ga terlalu tebal/terlalu tipis. Size L bisa utk TB 180cm dan BB 65kg. mantap",bintang 5,1 bulan lalu
"produk sesuai diskripsi, packing rapi, pengiriman cepat",bintang 5,8 bulan lalu
"pengiriman super kilat. pesan pagi, sore datang. bahan sangat nyaman. Recommend 👍",bintang 5,
"Barangnya oke, ukuran pas. Dateng barangnya juga cepet..",bintang 5,3 bulan lalu
pesanan cepat datang dan kualitas barang sangat bagus 🥰👍,bintang 5,
"puas bgt beli barang disini, bener² bagus kualitasnua dan diberi instruksi cara merawatnya 👌",bintang 5,
Bahan bagus sesuai dengan namanya signature👍🏻🙂🙏🏻,bintang 5,
"BAGUS BAGUS BAGUS . SESUAI EKSPEKTASI.  Tinggi badan 173 cm ,Berat badan > 86 kg. ukuran pas mantap.",bintang 5,
"Detailnya rapih, bahanya bagus, dan ada extra button. Highly recommend !",bintang 5,4 minggu lalu
Ukurannya pas (L) untuk Tinggi badan 171 - 180 cm dan pengiriman lebih cepat dari jadwal pengiriman,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
pembelian ke 2 dengan model dan warna yg sama krn yg lama hilang ga tau nyelip  dimana 😅😅,bintang 5,8 bulan lalu
"Ukurannya pas, bahannya juga enak",bintang 5,
"Ukurannya pas,barang sudah diterima.terima kasih",bintang 5,
"mohon maaf saya memberikan ulasan bintang 1, karna ini bentuk protes saya terhadap sistem tokopedia dengan mengatakan hak pembeli untuk memberikan ulasan, walaupun ulasan...",bintang 1,4 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
Bahan berkualitas,bintang 5,
"admin fast response, barang yang sampai sesuai dengan pesanan dan bahan sangat premium, harga sebanding dengan kualitas bahan",bintang 5,
Bahanyya bagus dan nyaman dipake aktivitas sehari-hari. Udah berkali-kali beli di Gomuda dan selalu memuaskan.,bintang 5,8 bulan lalu
"sedikit kebesaran di saya, karena kalau liat diskusi dan rekomendasi seller kebanyakan diminta untuk naik 1 size. Kualitas bahan bagus dan harga terjangkau.",bintang 5,
"Good quality and fast delivery, untuk size XL sgt pas di ukuran badan yg biasanya M to L, untuk calon customer bisa menaikkan ke 1 tingkat dari ukuran biasanya.",bintang 5,
"size badanya udah pas cuma agak ngepres di bagian tangan
bahanya nyaman mirip rajutan",bintang 4,
"pengiriman cepat, packaging aman, jahitan rapih, bahan full cotton",bintang 5,1 bulan lalu
"Barang sesuai deskripsi, seller ramah & responsif. Mantaabbb..",bintang 5,
"respon toko cepat , kualitas bahan ok warna abu* tuanya bagus pengiriman cepat  .size L unt bb 62 pas thx",bintang 5,
"Beli untuk Mamah, dan beliau suka. Bahan Rajutnya tebel, lembut. Kualitas Gomuda memang keren 👍👏💪",bintang 5,
"kualitasnya bagus, pelayanannya bagus. saya salah pesan ukuran, lalu team gomuda mau tuker ukurannya sebelum di kirim. mantap",bintang 5,
"barang bgs, pengiriman super cepat, tp buat tb 168 bb 70 ukuran xl kyanya agak kepanjangan di bagian lengannya,,",bintang 5,
"Ukurannya pas di saya, bahannya juga bagus, sesuai harga",bintang 5,11 bulan lalu
"gk perlu foto kualitas dan harga sesuai, mantap pengiriman lebih cpt",bintang 5,
"bahan bagus, potongan dan jahitan rapi. pas di badan.",bintang 5,7 bulan lalu
"Terimakasih,  dari bahan dan jahitsn  kencing baju cukup lumayan agak tebal (prenium) nyaman dipakai, pass ukuran sesuai ukuran di badan semoga awet dan tahan lama",bintang 5,2 bulan lalu
"Sesuai pesanan, ukuran juga sama, bahannya bagus, packagingnya mantep",bintang 5,
"Kualitas gak perlu di ragukan lagi, udah bbrapa kali beli, terimakasih, senang berbisnis dengan anda.......",bintang 5,
"bahannya keren pokoknya TDK pernah kecewa pesan di sini, Ukurannya pas",bintang 5,
"Bahan enak, potongan bagus. Kalo ditambahin saku lebih mantep",bintang 5,10 bulan lalu
"Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg, harusnya ambil size L
Karna cukup ngepas",bintang 5,
"Barang sesuai, pengiriman dan packing juga aman 👍",bintang 5,
bahan halus,bintang 5,
Ukurannya pas Berat badan < 60 kg Tinggi badan 160 - 170 cm,bintang 5,
cakeupp! Ukurannya pas Berat badan < 60 kg,bintang 5,11 bulan lalu
"Pas untuk tinggi badan 160 - 170 cm, berat badan 60 - 70 kg",bintang 5,
modelnya keren ukurannya pas  Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,bintang 5,11 bulan lalu
"Barang bagus, bahan nya adem.",bintang 5,
"beneran ini kuakitas oke banget, cakep lah",bintang 5,
"mantaap, warna bagus banget...",bintang 5,
Cocok banget dipakai di badan. Jdi lebih pede utk bertemu mitra kerja,bintang 5,
"kualitas bagus, model juga bagus",bintang 5,
baguss bahannya dan cuttingnnya,bintang 5,
"respon cepat, barang bagus 👍",bintang 5,
mantap barang sesuai pesaanan dan cepat pula sampainya recomend banget terima kasih,bintang 5,
"berasa lebih ganteng,, 😂",bintang 5,
barang bagus dan pengiriman cepat,bintang 5,
"modelnya bikin tambah keren, sizenya pas",bintang 5,
"mantap, jahitannya rapi dan pas di badan",bintang 5,8 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
Ukurannya pas dan bahan enak,bintang 5,
Ukurannya terlalu kecil,bintang 5,
gooooooooooooooooooooooooooooddddddddddddd,bintang 5,7 bulan lalu
Ukurannya terlalu besar,bintang 5,
"Ukurannya pas, kualitas baik.",bintang 5,
Ckup worth it dengan harga terjangaku,bintang 5,
"Bahan tebel , mantap",bintang 5,
barang bagus tapi belum di coba,bintang 5,
kecil bgt ukurannya,bintang 5,
bagus,bintang 5,
mantap tinggal pilihan warna aj dilengkapi,bintang 5,7 bulan lalu
Mantap,bintang 5,
nice and fitting,bintang 5,9 bulan lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
,bintang 5,
,bintang 5,
Barang bagus,bintang 4,2 bulan lalu
bikin cakeppppp,bintang 5,
Mantap. Pengiriman cepat,bintang 5,
selalu SUKA...dan PUAS,bintang 5,
baguss,bintang 5,
Bagus,bintang 5,
bagus bangettt,bintang 5,
"sangat memuaskannn,mantapp",bintang 5,
mantap,bintang 5,7 bulan lalu
Mantap,bintang 5,
kerenn,bintang 5,
selalu puas lah,bintang 5,
lumayan,bintang 5,
Keren 👍👍👍,bintang 5,
mantaaaapppppppppp,bintang 5,
👍🏻👍🏻👍🏻,bintang 5,
"baru kali ini beli produk di tokopedia hari minggu dan langsung dikirim, bener2 seller top ini mah. barangnya juga oke, diterima dengan baik. 100 bintang buat gomuda",bintang 5,"baru kali ini beli produk di tokopedia hari minggu dan langsung dikirim, bener2 seller top ini mah. barangnya juga oke, diterima dengan baik. 100 bintang buat gomuda"
Produk nya sesuai deskripsi,bintang 5,
"terima kasih banyak barang sudah sampai & sesuai, udh kesekian kali belanja dsini

pertahankan kualitas pelayanannya 👍",bintang 5,
Sperti biasa TOP BGGGTT,bintang 4,
Barang sudah diterima & OK !,bintang 5,
barang sudah sampai terimakasih,bintang 3,
"Best product, best seller, packing juga terbaik selama aku belanja di tokopedia. Reguler tapi 2 haari udah sampe.. suka jugaa sama kualitas dan modelnya. Jempolll dahh",bintang 5,
"Barangnya bagus sesuai dengan deskripsi. Penjual komunikatif dan ramah. Kalo boleh kasih masukan, untuk Cardigan dibuat juga gan versi signature-nya.",bintang 5,
"Barangnya bagus sesuai dengan deskripsi. Penjual komunikatif dan ramah. Kalo boleh kasih masukan, untuk Cardigan dibuat juga gan versi signature-nya.",bintang 5,
Produknya bagus. Cocok dan sesuai,bintang 4,
"Mantap serba cepat,,tapi L ko berasa gede banget ya ?
Gpp deh makasih",bintang 5,
Penjual responsif ramah.. Barang ok mantap,bintang 5,
"seller responsive dan ramah, cardigannya juga bagus, terima kasih banyak. nb: ukuranny pas ternyata :)",bintang 5,
"Mantap, sesuai deskripsi",bintang 5,
"Packing rapih, respon sangat cepat, pengiriman lbh cepat dari perkiraan 👍",bintang 5,
Sudah pesan di Gomuda 3 kali. Bahannya bagus dan enak dipakai.,bintang 5,
bahanya beda sama pesenan sebelumnya..jahitanya kurang bagus,bintang 4,
"Bahan bagus,dan pengiriman tepat waktu.",bintang 5,
kedua kalinya beli diGomuda. memuaskan good quality!! adminnya juga memuaskan hehe. Gomuda cocok lah buat langganan.,bintang 5,
"Respon cepat, pengiriman cepat, barang berkualitas 👍",bintang 5,
sangat bagus...👍👍👍👍,bintang 5,
"Barang bagus,pengiriman sangat cepat, respon penjual ramah dan cepat. Recommended. Thx",bintang 5,
Respond cepat..barang bagus..recommended seller,bintang 5,
"Bahan bagus, sampainya cepat, ukuran pas",bintang 5,
Pokoke joosss.. tingkatkan,bintang 5,
udah pasti mantap dah klo disini..,bintang 5,
Barang sudah diterima dengan baik...,bintang 4,
Barang bagusss. Packing rapih. Respon seller cepet bener. Makasi gomuda,bintang 5,
