review,rating,date
"Fitting nya oke untuk oversized, bahan tebal dan jaitannya rapi. overall oke dan sesuai dengan harganya 👍",bintang 5,3 minggu lalu
"Bahannya jos, cuttingan agak sedikit gede tapi masih aman. Kecepatan pengiriman juga gokil. Support produsen lokal!",bintang 5,1 bulan lalu
"cs ramah respon cepat, selama jam kerja langsung dikirim 🫡",bintang 5,1 bulan lalu
"sorry ini pendapatku, bahannya kayak karung , keras, panas dan sangat tidak nyaman di kulit.",bintang 1,1 bulan lalu
"Sesuai sih iya,bhan nya behh panas bnget cuk,bahan nya kaku bnget ga ad lembut nya sma sekali",bintang 1,3 minggu lalu
"mantap, bahan tebel.",bintang 5,1 bulan lalu
bahan nya kaku banget,bintang 3,4 minggu lalu
barang ok pengiriman cepat...,bintang 5,3 minggu lalu
barang ok,bintang 5,2 minggu lalu
Sesuai,bintang 5,1 bulan lalu
⭐️⭐️⭐️⭐️⭐️,bintang 5,1 minggu lalu
good,bintang 5,1 bulan lalu
good,bintang 5,1 bulan lalu
josss,bintang 5,1 minggu lalu
