review,rating,date
"bagus, sesuai dengan harga, seller responsif 👍",bintang 5,1 minggu lalu
BB TB 72 165 ambil uk paling besar. Jahitan rapi. Material ultralight. Gak asing buat gw yg udah pake tarptent apdnya Uttara. Klo tarptent itu Ampe sekarang udah 4than ma...,bintang 5,1 bulan lalu
"ukuran pas untuk tb 172 bb 76, biasa pakai baju XL",bintang 5,7 bulan lalu
"Vest nya bagus, muat beberapa barang jadi pas lari enak. Cuman agak kaget aja yang ukuran L/XL sedikit kecil dengan saya tinggi 173 cm, harapannya lebih besar. Dan di awa...",bintang 4,
"Bahan bagus, full jaring jadi breathability nya bagus, kantong banyak di samping2nya, ada 2 yang berresleting, sayangnya yang belakang cuma 1 kantong, bagian terbesar ga...",bintang 5,7 bulan lalu
"Barang sudah diterima sesuai pesanan. Vestnya pas dibadan, semoga nyaman untuk digunakan. Jahitan rapih, ada peluit tapi ditiup ga ada suaranya, lempeng aja gt. Overall O...",bintang 5,10 bulan lalu
"build quality : top notch lha,,,
resleting ykk, mesh 2 lapis, ringan, jahitan rapi,bisa masuk soft flask 500ml,
*waktu pemrosesan harus ditingkatkan",bintang 5,
"overall bagus, ringan, sleting ykk, kompartemen banyak. yg disayangkan packagingnya cuma plastik sedangkan ini barangnya gampang rusak, di saya datang dengan kondisi plas...",bintang 3,4 bulan lalu
Depan bisa buat simpan soft flask 500ml masing-masingnya. BB 70kg TB 170cm. Kualitas barang baik,bintang 5,7 bulan lalu
"Mantaaaap! tinggi badan 167 dan berat badan 47, pas dibadan. untuk harga segini, ini yang terbaik! bintang kurang satu, karena ada kendala saat proses jadi telat ngirim....",bintang 4,
"running vest pertama saya, belom dipake lari tapi sepengecekan sekilas saya jahitan bagus bahan beneran ringan dan breathable, kantong juga banyak banget ternyata cukup l...",bintang 5,6 bulan lalu
"desain dan kualitas produk bagus, pengiriman cepat, seller komunikatif",bintang 5,
"TB 166 BB 70 (jacked) size M/L pas, design simple but featurenya dapet semua, cocok bgt dipake trail run",bintang 5,
"gak nyangka yang datang sebagus ini, gak sabar lgs mau dipake trail running tipis2.
tb 172 bb 62 saya beli M/L diatas bb saya kayaknya wajib L/XL",bintang 5,5 bulan lalu
"Ukurannya pas, bahan material mantap, jahitan rapih",bintang 5,
"bb 55
tb 170
sangat cocok dgn ukuran S/M mantap
kualitas sangat bagus, TIDAK MENGECEWAKAN",bintang 5,9 bulan lalu
"modelnya keren, agak kekecilan aja tp msh bisa dipakai. bahannya bagus. semoga awet.",bintang 4,
Fast respon pengiriman cepat Ukurannya pas,bintang 5,
"bahan kantongnya agak tipis,,plus nya enteng dan gk bikin gerah,,cm mdh2n awet d pake nya,",bintang 5,8 bulan lalu
"Barang sesuai pesanan, kondisi baik, pengiriman cepat",bintang 5,3 bulan lalu
ukuran pas untuk tb 170/80. banyak compartemen nya. bahan bagus,bintang 5,5 bulan lalu
"Pengiriman standart, kualitas biasa saja, posisi pengait tidak ditengah",bintang 4,6 bulan lalu
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,nyaman dipakai",bintang 5,11 bulan lalu
"Ukurannya pas, bahan ok dpt pluit pula. tku",bintang 5,
"model keren, pas dibadan, gokilll dahh 🔥🔥",bintang 5,6 bulan lalu
bahan nya bagus... pengiriman cepat.... ukuran pas,bintang 5,7 bulan lalu
Keren vest nya sangat pas d bb 75 tb 170 hanya pelayan proses toko perlu d tingkatkan,bintang 5,
"pas di badan. produk sesuai deskripsi.
semoga awet. peluit berfungsi.",bintang 5,3 bulan lalu
"barangnya bagus,Ukurannya pas untuk bb 73 tb 170",bintang 5,11 bulan lalu
"murah dan sesuai produk.
mantap uttara makasih.",bintang 5,9 bulan lalu
"innovasi yg jenius, comfortable, praktis, ekonomis, sedikit berkumis, yang penting ga bikin dompet meringis.. sekian jangan nangis",bintang 5,
"cocok binggo
pengiriman grecep cimahi to cigugur girang semalam langsung digarap
apresiasi untuk produsen Uttara, keep it up,
local pride 💪",bintang 5,7 bulan lalu
"model kereeennn,, passs bangettt,, good product, mantaapppp Ukurannya pas",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
