review,rating,date
Harga sesuai dengan kualitas yg premiumm good lah mandalas,bintang 5,2 minggu lalu
"Terimakasih barang sudah sampai, respon cepat, Ok dan memuaskan banget",bintang 5,9 bulan lalu
"Ukurannya pas, cepat sampai, packagingnya okee 👏🏻",bintang 5,
"mantap mantap
mantap mantap
mantap mantapmantap mantapmantap mantapmantap mantap",bintang 5,7 bulan lalu
"Bagus lah . Hanya saja di bagian Tangan tidak ada Kancing kedua di bagian Lengan , kalo di Lipat susah",bintang 5,3 hari lalu
"model dan corak bagus, ukuran pas, tapi kancing terlihat murah, mohon d upgrade ya,  bahan lebih tipis dibanding merk lain dengan harga segitu.",bintang 4,6 bulan lalu
"model jahitannya sudah bagus modern fit, namun sebaiknya dalaman puringnya lebih tebal agar pakaian saat dikenakan terlihat lebih tegap.",bintang 5,4 bulan lalu
"Good quality, good response, good services. Thanks to toped, seller & kurir.",bintang 5,4 minggu lalu
"Pembelian ke dua nih, se suka itu sama bahan dan cutting nya",bintang 5,9 bulan lalu
"Sesuai ekspektasi, 100% bakal repeat order klo ada duit 🗿🤏",bintang 5,1 minggu lalu
Kualitas produk: Sangat sesuai dengan harganya,bintang 5,1 minggu lalu
"seller komunikatif dan pengiriman cepat, produk oke, tks",bintang 5,6 bulan lalu
Barang bagus. Sangat helpful untuk bisa exchange ukuran.,bintang 5,
"XXL agak kekecilan, kayaknya gendutan gue",bintang 5,4 bulan lalu
nyaman nggak panas bahannya,bintang 5,4 bulan lalu
mantap min ngefit di badan gw,bintang 5,3 minggu lalu
"bagus, ukuran pas. mantab",bintang 5,8 bulan lalu
Cakep,bintang 5,
Mantap bagus,bintang 5,8 bulan lalu
mantap Josss,bintang 5,6 hari lalu
