review,rating,date
"Paket diterima lengkap sesuai pesanan, ukuran pas utk TB 170/ BB 65, bahan adem, respon dan pengirimannya jg cepat. Good seller",bintang 5,9 bulan lalu
Murah dan ori 🙌🏻👍🏻👍🏻👍🏻,bintang 5,
OK. Ukurannya terlalu besar.  Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,10 bulan lalu
kain adem cuma uda chat ke seller tpi motif yg dtg beda dg yg diminta ya sudahlah,bintang 5,2 bulan lalu
"Kog isok celono rego 2rb njirr tak kiro hoax cebul tenan jee,mantul jos jis lumayan bro bayar tukang parkir oleh celono iso gae turu wkwkwk",bintang 5,6 bulan lalu
Motif OK. Bahan nyaman. Sejuk. Tipis. Cutbray. Selangkangan dan pinggang pas. Seller sabar.,bintang 5,
"bagus , adem , fast respon & cepet smpenya padahal dari Jogja - bekasi..Trims",bintang 5,
"kain nya adem, cm saran aja yg mau beli nanti beli nya yg langsung besar soalnya setelah di cuci akan menyusut sekitar 25%. Utk BB 80 Kg beli yg super jumbo setelah di cu...",bintang 5,
"barang tidak di terima sama saya,gimna sih gak jelas bangt udah nungguin dari lama kurirnya gak jelas paket malu di titip ke temennya, masalnya saya bukan asli orng sini",bintang 1,7 bulan lalu
top lah...pesananan dah smpe... terimakasih,bintang 5,7 bulan lalu
ukurannya 1 terlalu press,bintang 5,
Harga sesuai kualitas,bintang 4,4 minggu lalu
"pengiriman cepat,barang ok",bintang 4,
Ok nyaman,bintang 5,
barang tidak sesuai,bintang 1,8 bulan lalu
Produk ok,bintang 5,3 bulan lalu
bagus..,bintang 5,
,bintang 3,5 bulan lalu
,bintang 3,
"bahan bagus, penjual ok, pengiriman lancar mantul dah sukses selalu",bintang 5,
"Orderan kedua dan dikasih bonusan lagi. Memang sellernya oke punya, barangnya pun oke pula. Terima kasih",bintang 5,
