review,rating,date
"seller ramah, respon cepat, pengemasan baik, pengiriman cepat, sesuai pesanan. semoga aja awet",bintang 5,
"Terima kasih, barang sesuai pesanan, kami terima dengan keadaan baik, barang berkualitas, kemasan safety, respon penjual dan pengirimannya cepat.
Semoga sukses selalu",bintang 5,
"barang bagus, pengiriman on time
tq seller tg tokopedia",bintang 5,11 bulan lalu
"luar biasa gercep, pesan jumat sabtu tiba di rumahku di bandung , kualitas sangat baik, rekomen sekali",bintang 5,10 bulan lalu
"Paket sampai. Produknya sesuai dgn yg dibayangkan, ga muluk² sy mah bayanginnya, biasa aja, hanya utk sekedar ada aja. 
Proses pengirimannya agak lama sih, yah so so lah....",bintang 5,
"recommended seller , sesuai deskripsi ,fast delivery ,good packaging ,Fast response",bintang 5,10 bulan lalu
"Seller respon cepat, pelayanan baik, kualitas produk oke tapi seperti kurang konsisten. Pesan abu-abu 1, biru 1 tapi bahannya lebih tebal yg abg ketimbang biru",bintang 5,
"Packing rapi, produk sesuai
kwalitas bagus
Recommended Seller",bintang 5,
"Bahan cukup bagus sesuai harga,  jahitanpun rapih",bintang 5,8 bulan lalu
"Barang sesuai deskripsi, packingnya aja yg kurang aman (sobek/bolong) untung barangnya ga ikut sobek.",bintang 5,
"packing OK, pengiriman cepat. 
barang diterima dengan baik, kualitas bagus sesuai deskripsi.",bintang 5,
"Pengiriman tepat waktu, packing rapi dan aman. Produk sesuai deskripsi",bintang 5,
Bahan tebal.. Resleting kokoh.. Thank you 💖,bintang 5,
"Barang cepat sampai , Murah dan berkualitas 👍",bintang 5,
"produk sesuai deskripsi, pengiriman cepat",bintang 5,
"Barang sesuai gambar. Bahan bagus. Sayangnya, Setelah 1x pakai, ritsleting lepas. Klem di ujung mudah lepas sehingga risleting-nya ikut lepas.
Terpaksa saya perbaiki send...",bintang 3,8 bulan lalu
"Bahannya ok. Assembly dan jahitannya rapi. kurir ok. mudah""an awet deh. Amin.",bintang 5,
"Alhamdulillah sampai, Syukron seller, sukse selalu Ukurannya pas",bintang 5,
"Paket sdh sampe dr kmrn dna langsung dipake dilemari hehe.
Mkasih yaa",bintang 5,
seleting bagian lipat nya langsung copot,bintang 4,
cocok.. semoga barangnya tahan lama dan awet,bintang 5,9 bulan lalu
"jahitan rapi, resleting lancar",bintang 5,10 bulan lalu
"menurut saya ini msh agak tipis, msh agak tembus pandang dr luar..",bintang 4,
"Barang diterima dalam keadaan baik dan sesuai deskripsi. Packing rapi dan aman. Respon penjual juga baik dan cepat. Recommended seller.

Thank you, kak.",bintang 5,
"Respon seller baik , delivery tepat waktu , bahan agak tipis namun sesuai harga , semoga awet , tks",bintang 4,
"bahan, warna, dan kualitas bagus. seller cukup responsif",bintang 5,
"Cover Jas, bahan bagus dan tebal. Pengiriman cepat.",bintang 5,
"Penjual responsif, pengiriman cepat, dan produk sesuai deskripsi.",bintang 5,4 bulan lalu
produk sesuai deskripsi. seller responsif. proses pengiriman cepat. 👍🏻👍🏻,bintang 5,
yg pasti bahan tebal lah.. respon penjual cepat..terima kasih,bintang 5,
"bahan tebal semoga awet lama, terus bisa dilipat + diseleting jadi setengahnya bikin mudah dibawa-bawa",bintang 5,
"Sudah beberapa kali belanja di toko ini, pengiriman cukup cepat dan produknya cukup Bagus.
Pertahankan kualitasnya yah, Gan.
Terimakasih",bintang 5,
"proses cepat, barang sesuai pesanan, packing baik, trimakasih ya",bintang 5,
"Respon dan pengiriman cepat, barang bagus",bintang 5,
