review,rating,date
"baju tactical iini bahannya tipis dan warna navynya munciul, ukurannya (XL) standar dengan ukuran umumnya jadi pas waktu dipakai, jahitan lumayan rapi, tapi yang rada- ra...",bintang 4,7 bulan lalu
"Modelnya keren, nyaman di pakai. barang sesuai harapan dan keinginan. seller respon cepat",bintang 5,4 bulan lalu
"barang sesuai deskripsi 
pelayanan cepat 
packing rapi",bintang 5,3 hari lalu
"jahitannya rapi, bahan kainnya katun yg fleksibel, ukuran pas di badan, adem tidak bikin gerah.",bintang 5,4 bulan lalu
"lumayan bagus, tapi kainnya agak tipis, sesuai diskripsi sih,,",bintang 4,5 bulan lalu
"Kualitas ok


Produk ok


Harga ok


Pengiriman ok


Respon ok",bintang 5,7 bulan lalu
"pengiriman cepat, model oke, semoga awet",bintang 5,6 bulan lalu
"paket sudah nyampe, enak dipake, pas di badan, tidak panas klo dipake, cepat respon dan sesuai spek",bintang 5,2 bulan lalu
"Kualitasnya bagus, dengan harga ini cukup memuaskan. Saya sarankan agar baju ini bisa dipendekkan sedikit, karena di Indonesia, kita biasanya tidak memasukkan lengan pend...",bintang 5,8 bulan lalu
"Ukurannya pas, enak dipake dan cepat respon",bintang 5,
"cepat respon, sesuai spek dan dipake pas dibadan, serta modelnya keren",bintang 5,2 bulan lalu
"Ukurannya pas, enak dipake dan respon cepat",bintang 5,
"barang sdh nyampe, modelnya keren, pas dipake dibadan, cepat respon dan sesuai spek",bintang 5,2 bulan lalu
"Ukurannya pas, penghantaran lambat dikit dri jadualnya",bintang 5,11 bulan lalu
"warna, bahan dan ukuran sesuai deskripsi. recommended seller. terima kasih",bintang 5,2 bulan lalu
"kemeja nya kereen bahan nya bagus, top banget , gak kecewa",bintang 5,11 bulan lalu
"Ukurannya pas, modelnya keren dan sesuai spek",bintang 5,
"bahan adem, pas untuk berat badan 150 kg tinggi 180 cm",bintang 5,8 bulan lalu
"jahitan kurang rapih, kancing dan lubang tidak simetris.
jahitan bawah gk rapi, menggulung.
pesan 2, harga sama tapi beda bahan, 1 lumayan 1 busuk jahitanya",bintang 1,5 bulan lalu
"model bagus, ukuran agak kebesaran sedikit , bahan bagus..",bintang 5,7 bulan lalu
model bagus bahan melar ga terlalu tebal,bintang 5,4 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 5,9 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 5,10 bulan lalu
"di pembelian ke 2 ini sya merasa agak tpis kain nya, apa karna beda warna, dan di beberpa bagian jahitan nya kurang rapih, terutama bagian lengan, semoga aja awet.
ukuran...",bintang 5,2 bulan lalu
"Produk bahan sesuai deskripsi, pengiriman cepat",bintang 5,2 bulan lalu
"pas dibadan, pengiriman cepat, bahan berkualitas",bintang 5,7 bulan lalu
"bahan bagus, jahitan rapih ukuran sesuai, mantap 👍👍
 cuma pengiriman lama pol, estimasi tgl 11-14 paket dtrima tgl 16 🤦🏻",bintang 5,5 bulan lalu
"bahan ok sesuai deskripsi,cuman ukuran beda padahal saya pesan 2pcs dengan ukuran yg sama",bintang 5,2 bulan lalu
sudah beli yg ke 3 kali bahannya enak dibadan cocok. temen2 yg lain juga pada mau ikutan pesan.,bintang 5,7 bulan lalu
bahan bagus dan harga murah. pertahankan kualitas nya Bang,bintang 5,2 bulan lalu
Pengiriman cepat dan barang sesuai deskripsi,bintang 5,8 bulan lalu
Bagus tapi ukurannya lbh besar dari standard terimakasih,bintang 5,8 bulan lalu
"langghann beli disni harga lebih murah d banding  lain,pengemasan cepat pengiman cepat di trima dengan baik tanpa bocor2",bintang 5,7 bulan lalu
"Model pas bagus jahitan rapi, next order lg",bintang 5,5 bulan lalu
"mantap min sesuai dengan pesana
ukuran juga pas",bintang 5,5 bulan lalu
"Wah keren bgt kemejanya, sangat sesuau dgn ekspetasi, jahitan rapih mantap, next order lagi",bintang 5,2 bulan lalu
Ukurannya pas barang sesuai di gambar mantap,bintang 5,11 bulan lalu
"Parah! Seriusan! Pass pake baju ini auto langsung dibilang mirip sama MAYOR TEDDY, gaass beli ajaa 🔥",bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,11 bulan lalu
"terimakasih🙏🙏...sdh diterima dlm keadaan baik, packing aman, semoga sesuai dgn deskripsinya...terimaksih juga utk kurirnya",bintang 4,9 bulan lalu
Pesanan sudah diterima... ukuran dan warna sesuai...model ok... langsung order lagi buat sendiri dan anak... recommended,bintang 5,5 bulan lalu
"barang sesuai pesanan,sayang agak kebesaran dikit tapi gapapa next bakalan order lagi drh",bintang 1,6 bulan lalu
"Maaf baru sempat memberi ulasan kr baru selesai dinas luar kota. Baju bagus, besok pesan lagi yg size M",bintang 5,5 bulan lalu
"Mantap gan keren barangnya, kualitas mantab👍🏻",bintang 5,5 bulan lalu
alhamdulillah barang sudah terpasang dengan baik,bintang 5,6 bulan lalu
"Bgus kemejanya jahitanya rapi adem ,,next pesen lg",bintang 5,8 bulan lalu
"Pengiriman cepat, barang bagus",bintang 5,5 bulan lalu
"modelnya keren, bahannya bagus kain lemas dan stretch sesuai di foto, untuk panjang bisa dipendekkan lagi supaya pas di badan org indo, penjual amanah pesanan sesuai",bintang 5,8 bulan lalu
"paket sudah diterima,barang bagus sesuai dengan gambar,ukuran aga besar dikit untuk ukuran L dan panjang baju kepanjangan",bintang 5,4 bulan lalu
"model keren, bahan adem, nyaman dan lembut, ukuran cocok pas di badan. top ini udh pembelian ke tiga",bintang 5,2 bulan lalu
respon cepat paking aman barang bagus tidak kalah sama harga diatas.kualitas bisa bersaing.,bintang 5,2 minggu lalu
model keren bahan bagus tapi ukuran L tinggi 170/73  pas namun harus potong bagian bawah...selebihnya bagus,bintang 5,2 bulan lalu
"bahan dan jahitan bagus serta rapi, dengan harga segitu top bgt, bakal jadi langganan dan repeat order, makasih boss",bintang 5,6 bulan lalu
Bahan halus model sesuai deskripsi.Pengiriman cepat,bintang 5,5 bulan lalu
"Ukurannya pas,bahan dan jahitannya bagus,recommended saller ini mah..sae pisan pokokna mah..hatur nuhun",bintang 5,
"bahan agak beda, lebih tipis dibandingkan yg warna abu.. wlaupun kualitas halus, jahitan rapi, ukuran sesuai harapan..
seller : gercep 👍🏽",bintang 5,4 bulan lalu
kurang cocok dengan bajunya 👍👍👍👍👍👍👍👍,bintang 1,7 bulan lalu
Baru di cobain jadi blum tau panas atau ngga dipake nya,bintang 5,3 minggu lalu
"Model keren,,cuman terlalu panjang dan kegedean dikit",bintang 5,2 bulan lalu
keren model dan bahan nya nyaman. pas dipakai. warna jg pas,bintang 5,2 bulan lalu
"modelnya bagus,ukurannya sesuai,cm agak panjang bajunya untuk saya.
bahan adem dan Stretch,JD nyaman di badan.
respon penjual cepat, pengemasan dan pengiriman jg cepat.
o...",bintang 5,11 bulan lalu
"Dari bahan, jahitan dan modelnya ok semua, namun bawahnya kepanjangan, terimakasih untuk sellernya🙏🏻",bintang 5,6 bulan lalu
"bahannya halus dan sesuai pesanan,,pengirimannya cepat",bintang 5,4 bulan lalu
"Lumayan untuk harga segini
Ukuran sesuai",bintang 4,11 bulan lalu
"Terima kasih, paket sudah diterima dengan baik, kwalitas barang ok, keren abis, seller responsif",bintang 5,5 bulan lalu
"Harap di update ukuran lengkap nya ya, karena saya biasa pake L tapi pake kemeja ini kebesaran",bintang 5,11 bulan lalu
"bahannya bagus..ukurannya pas,.jahitannya rapi,.pengiriman tepat waktu..
rekomended",bintang 5,2 bulan lalu
Barang ok sesuai dengan pesanan,bintang 5,6 bulan lalu
"Model nya keren,bahan nya bagus,enak dipakai",bintang 5,8 bulan lalu
ukuran bahu dan tangannya kegedean. ga presisi sama badan. kalao bahan dan jaitan bagus. mungkin bisa jadi koreksi. trims,bintang 4,7 bulan lalu
"Bahannya kualitas terbaik, ukuran sesuai dibadan, model keren pokoknya",bintang 5,4 bulan lalu
Bahan bagus jahitan lumayan model keren sesuai. Untuk T 169 BB 83 ukuran XL terlalu besar di lengan dan panjang. Lebar pas bgt. Tinggal di vermax dikit. Overall Sip. 🔥🔥...,bintang 5,10 bulan lalu
"Bahan baguss, ukuran S pas di saya bb 60 tinggi 170",bintang 5,4 bulan lalu
"bahannya lentur tapi tipis, tidak sesuai Yang diharapkan",bintang 3,10 bulan lalu
"Terima kasih, paket sudah diterima dengan baik, kwalitas barang keren gak ada obat, seller responsif.... sukses selalu",bintang 5,5 bulan lalu
"kemeja sesuai yg diharapkan, barang bagus, packing rapih, pengiriman cepat, Terima kasih reseller",bintang 5,8 bulan lalu
"beli yg kedua klinya, suka sama bahannya dan pengiriman kilat,bhn berkualitas.terima kasih",bintang 5,4 bulan lalu
Ukurannya pas Tinggi badan < 160 cm Ukurannya terlalu besar Tinggi badan > 180 cm,bintang 5,10 bulan lalu
"model ok, bahan enak dibadan pas warna sesuai pesanan. akan pesan lg kayaknya",bintang 5,7 bulan lalu
model & bahannya keren... recommended banget... saya sampai beli 2X... Terima Kasih,bintang 5,
Modelnya keren pas di badan nyaman dipakai,bintang 5,10 bulan lalu
"Ukurannya pas, pengiriman nya cepat dan kurirnya pun sopan",bintang 5,
"model keren, bahan nya juga keren, pas di badan",bintang 5,5 bulan lalu
"pas d badan, cman lengan agak kurang panjang dikit (2cm),, Tinggi badan : 175cm, berat badan : 72kg",bintang 5,6 bulan lalu
GOKIL!!! bagusan aslinya dr fotonya di Seller..maaf ya!! jujur loh!...pas di badan gym...cutting bagus!!...Nyesel beli cuma satu!!!,bintang 5,11 bulan lalu
fittingnya pas untuk tinggi saya 177 BB 80,bintang 5,8 bulan lalu
"Ukuran, model, pas…bahan dan jaitan ok bagus, recommended ⭐️⭐️⭐️⭐️⭐️",bintang 5,7 bulan lalu
"Beli ya ke 3.. recomended

Tolong perbaiki teknik menjahit kancing. Rata2 umurnya tdk lebih dr 1 bulan",bintang 5,8 bulan lalu
bajunya bagus..bahannya keren..rekomended,bintang 5,2 bulan lalu
"Lengannya terlalu pendek di saya, sisanya perfect👍",bintang 4,5 hari lalu
ok barang mantap paking bagus puas belanja di sini Ukurannya pas,bintang 5,
"kmren beli warna biru, sama ukuran M nya tapi yg putih ini lebih kecil panjang lengannya",bintang 5,5 bulan lalu
Bagus tp pesan terlalu besar. Saya 173/74,bintang 5,9 bulan lalu
Agak kepanjangan sedikit,bintang 5,7 bulan lalu
lumayan bagus bahan melar,bintang 5,2 bulan lalu
"model keren, bahannya adem",bintang 5,5 bulan lalu
"Bahan berbeda, jahitan kasar dan tidak rapi",bintang 1,7 bulan lalu
"Modelnya Keren & Pas dipakai dibadan..
.",bintang 5,7 bulan lalu
keren banget bahan bagus pas di badan.,bintang 5,7 bulan lalu
pesanan yg ke 2. mantap. recomended seller👍,bintang 5,9 bulan lalu
,bintang 5,6 bulan lalu
"Barang bagus
Kualitas produk: Mantab",bintang 5,2 minggu lalu
bahannya dan modelnya bagus. top,bintang 5,6 bulan lalu
modelnya keren bahannya bagus...,bintang 5,2 bulan lalu
"model ok, warna yang dipesem cream muda yang datang coklat muda",bintang 5,6 bulan lalu
"respon jelek bgt pesen kapan di kirim kapan
 kecewa",bintang 1,9 bulan lalu
Tks paket sdh diterima dalam keadaan baik dan sesuai pesanan,bintang 5,7 bulan lalu
Bahan kualitas jelek dan tidak rapi,bintang 1,7 bulan lalu
