review,rating,date
bahan bagus cuma sayang banget aku ambil uk 27 dikirim 28 tapi gapapa udah aku kecilin walaupun akhirnya sempit di paha kegedean di perut lain kali mohon lebih teliti lag...,bintang 4,2 bulan lalu
"Terima kasih banyak, celananya sangat bagus dan sesuai dengan ekspektasi, bahannya bagus tebal dan adem, cantik dan manis banget di pake, makasih 🤩😍",bintang 5,3 bulan lalu
"bisa diliat ini paket nya kya habis dibuka trs lem nya di tempel lagi saya sampe bingung itu ulah siapa atau emg dari penjual ny ky gtu😥, dri sobekan nya di buka pake ta...",bintang 4,2 bulan lalu
"Celanaaa bagusss tebel tapi gak yg berat² banget, uk 29 pas di bb 50 tb 163 tapi perutku kecil jadi agak longgar dikikit dibagian perut mungkin uk 28 pas tapi gapp overal...",bintang 5,2 bulan lalu
"Barang nya cepat sampai, sesuai, kualitas nya oke ga tebel bgt ga tipis bgt, info aja buat yg paha nya gede walaupun bb 60 better ambil 32 soalnya UK 30 aga pas tp ga nge...",bintang 5,3 bulan lalu
"Worth it lah dengan harga segitu mah, tidak terlalu high waist di Aku yang tb nya 168, dalemnya kek ada bulu' gitu jadinya bikin feels ngga nyaman, enak dipake jongko...",bintang 4,1 bulan lalu
"Kualitas produk: Bagus
Bahannya juga tebel dan ga kaku untuk harga segitu sih recommended banget yah . Minus jahitan sedikit kurang rapih 
Lainnya bagus puoolll 😍 Bakala...",bintang 4,2 bulan lalu
"Bahan nya oke lembut dan gak berat,bagus,
tapi celananya pendek sebelah, udah datangnya lama, pendek sebelah lagi celana nya,
Tolong yaaa di perhatiin lagi, saya merasaka...",bintang 4,2 bulan lalu
"bagus banget gilakkk, aku BB 51 TB 152 pake ukuran 30 pas banget ga kekecilan ga kebesaran cuma bagian pinggang kebesaran di aku. saran aku yang BB sama TBnya sama pake U...",bintang 5,1 minggu lalu
"waktu itu udah mastiin berkali kali tanya ke kk nya bb 62 tb 160 better ambil 31/32 disuruh nya 31 krna dibilang nnti 32 kebesaran, trnyata pas sampe press bngt ga baggy,...",bintang 4,3 bulan lalu
"Aaaaa celananya bagus bgt bgt cuman ada minus dikit jaitan di bagian samping atas aga nggak rapi tp gpp gak begitu kelihatan, untung kemarin ambil ukuran 31 walupun waktu...",bintang 5,3 bulan lalu
rek dari mimin nya uk 29 tp pas dipake gede bgt😭 tp ttp cakep kok,bintang 5,2 bulan lalu
"Wah gilaaakk pas dibb 75 tb 163. Bahan lembut, nyaman, tebal, resletingnya jg ngga seret, ngga ngatung dan ga kepanjangan bgt",bintang 5,3 bulan lalu
Bagus cantik jinsnya gak tebal baget tdk kaku jg. Sya ambil ukuran 29 pas yg BB-nya 54 TB 154,bintang 4,4 minggu lalu
"kegedean di aku pdhl uda ngambil ukuran paling kecil 🤣🤣
BB 40 TB 154 
tp sayang bgt kantongnya kurangg lebar",bintang 5,1 bulan lalu
"bagus bgt dan emg gak melar ya gais, jd pastiin kalian pilih size yg bener2 muatttt jgn sampe salah kyk aku😩 63/157 sedikit kepanjangan tp masih aman si menurutku. tp bu...",bintang 5,1 minggu lalu
Bagus bgtt di bb 43 tb 150 cukup dipinggangnya longgar sedikit tpi masih cukup ko panjangnya kepanjangan dikit selebihnya aman bgs bgtt,bintang 5,3 minggu lalu
Bagus banget tapi sayang ada koyak dibagian blakangnya,bintang 5,2 bulan lalu
"Ukuran 34 buat bb 70kg sempit bagian perut.. untung ada anak gadis jd muat sama anakku.. bb 57 tinggi 167cm agak ngatung sedikit.. 
bahan bagus dan suka😍",bintang 5,2 bulan lalu
"Sumpah ini cakepp wee,aslinya itu lebih cakep bahnnya juga tebal dan lembuttt,,thee besttt la👍🏻
Aku yang bb 45 tapi pinggang kebesaran dikit,buat kalian yang bb 40-46 b...",bintang 5,2 bulan lalu
"celananyaa baguss, kirain ukuran 30 gede ternyata ngepas bngtt tapi its okelah😅",bintang 5,2 bulan lalu
"Alhamdulillah celana sudah datang guys sesuai yg di inginkan guys ukuran 31 warna medium bahannya tebal celananya..nyaman dipakai guyss terimakasih ya tok shop
Kualitas p...",bintang 5,1 bulan lalu
Kualitas produk: Sangat bagus paketnya sesuai sama yang di gambar,bintang 5,3 minggu lalu
bagus si bagus tapi kok pas datang nya agak kuning,bintang 5,2 minggu lalu
bagusss bgttt anjjj😭😭😭😭ga kegedean ga kekecilan 😭😭🤏🤏untk harga sgni mah wort it g nyesel beli dsni👀 untuk bahanya jga g terlalu terbal/tipis pokonya baguss dehh...,bintang 5,2 bulan lalu
