review,rating,date
"Produk sesuai dengan gambar, bahan nya lembut dan nyaman di gunakan",bintang 5,4 minggu lalu
"Bajunya bagus, kainnya lembut nyman klau dipake",bintang 5,2 minggu lalu
"Pengirimannya cepat dan aman.. Bajunya sangat bagus, adem dan nyaman dipakai.. Sesuai ekspektasi..
Next order lagi..",bintang 5,6 bulan lalu
"ukuran M trnyta kecil bngtt,pdhl bb aku 38 tb 150,kain nya ga tipis²bngt,warna nya sesuai fto,jhitannya kurng oke tp ya hrga sgitu emng klo bisa di perbaiki lg jaitan nya",bintang 4,1 bulan lalu
bahan nya adem dan ga nerawang ga tau bakal se bagus ini next pasti order lagi,bintang 5,4 bulan lalu
"Bagusss bangettt isss nyesel cuma beli satu 😭 miminnya juga bae banget stok abis langsung chat via WA. Thank you minnnnn, kece bajunya🔥🔥",bintang 5,3 minggu lalu
"bahannya bagus adem tapi sayang banget dikirim yang bolong, ak juga ga bikin vid unboxing lagi🥲🥲",bintang 4,1 minggu lalu
"Ternyataa asiknya lebih tebel kain nya , sesuai gambar oke banget , tapi untuk ukuran xl kurang panjang lg sedikit",bintang 4,5 bulan lalu
"Bahannya bagus tapi yang warna putihnya ada noda kotornya gitu ,lain kali harus di perhatikan lagi yaa",bintang 5,3 bulan lalu
"ga tebel ga tipis, okelah dengan harga segitu",bintang 5,1 bulan lalu
"Bagus bahannya enak dipke,,,, suka bnget pelayanannya enak buanget,,,, mksh",bintang 5,4 bulan lalu
Pas adem bahan melar halus..makasih next order lagi gratis d ongkir,bintang 5,1 bulan lalu
Lumayan bagus dengn hrg murce agk tipis tp bahan adem,bintang 5,4 bulan lalu
Kaosnya bagus murah tapi tidak murahan halus kainnya,bintang 5,1 minggu lalu
Paket sudah datang baik kualitas bagus dengan harga yang terjangkau sekali suka banget deh next mau order lagi.... Terima kasih seller dan kurir,bintang 5,3 bulan lalu
Kain tebal bagus🤩minusnya cuma uk m kekecilan bgt d aku🙂,bintang 5,4 bulan lalu
Bagusss bangttt sesuaiiii barangnyaaa kakkk cakepp cropnya gak pendek gakk panjng juga passs lahh baguss mantab,bintang 5,5 bulan lalu
Bajunya bagus banget sesuai pesanan kurirnya juga ramah terimakasih 🙏,bintang 5,1 bulan lalu
Barangnya sudah nyampe sesuai dengan digambar,bintang 5,6 bulan lalu
"bagus bgtt nyesel beli satu, wajib co lagi sihhh",bintang 5,1 minggu lalu
"Sangat bagus bahannya sangat tebal halus dan dingin, gak kecewa harga murah tp barang nya sangat istimewa",bintang 5,5 bulan lalu
bahannya tebal bagus cocok gak ragu beli di toko ini😻,bintang 5,3 minggu lalu
"nyaman tp bagian lengannya kurang gede buat aku yg bb 57, tp bagus untuk harga segitu",bintang 5,2 minggu lalu
"Kualitas produk: Kain bajunya bagus tebal dan tidak menerawang , pas banget pokoknya ga nyesel beli baju disni",bintang 5,2 bulan lalu
"psen XL dikirim m gmn  sih,kcil gini siapa yg mau pke,kapok beli disimi",bintang 2,6 bulan lalu
"paketnya sdah sampai sesuai pesanan bahannya halus, nyaman dipakai. terimakasih",bintang 4,1 bulan lalu
bagus bahannya adem g bikin panas gk expect sumpahh harganya gasampe 50k tpi kualitasnya bagusss,bintang 5,3 bulan lalu
"Baguussss, responnya juga baikkkk",bintang 5,2 bulan lalu
"Kualitas produk: Bagus
Untuk saya bb 75 tb 150 pake yg XL enak kok nyaman",bintang 4,1 bulan lalu
"bagusss, xlnya ternyata ga terlalu besarr, untung ambil xl karena emg ga pengen yg terlalu press bodyy, dan warna putihnya sedikit nerawang deh inii",bintang 5,2 minggu lalu
Bagus Bangeeeeeeet. Warna putih bersih g nerawang😍 bakalan next order nunggu yg warna Hitam ready,bintang 5,3 hari lalu
Baguss tbel tp kurang jreng kuningnya,bintang 5,5 hari lalu
"barangnya bagusss+gada cacat, kurir ramah",bintang 5,1 bulan lalu
"Alhamdulillah barangnya tertata rapi, kirain ndk bagus kainya v ternyata mantaaap bagus bangeeeeeeet semoga yg punya toko lancar n sukses selalu aamiin",bintang 5,4 bulan lalu
"Paket nya datang cepat, bahan adem, top bgt",bintang 5,1 bulan lalu
"Baguuss pas bangett bahan ademm..
Repeat order pastiii",bintang 5,3 minggu lalu
"Maaf baru kasih ulasan. 
Aku suka banget bahan nya adem. Aa kurir nya udah langganan. Peking juga ok. 
Next bakal order lagi",bintang 5,3 bulan lalu
"keren bnggt ,, murah tapi gk murahan kain'nya haluss",bintang 5,4 bulan lalu
