review,rating,date
"Elastis banget asli, nyaman, bahannya tebel, langsung di proses sm seller, trs murce sih menurutku, karet yg di perut juga tebel, jahitan rapi. Alhamdulillah ga nyesel be...",bintang 5,2 bulan lalu
"Gila sih harga segitu dpt rok span sebagus ini, kainnya tebal,👌 meski tanpa belahan tpi garibet klo dibuat jalan😀, tinggi 150 cm ambil yg panjang 90 cm pas se mata kaki...",bintang 5,2 bulan lalu
"Bagus,sesuai pesanan,recomended,puas,pengirimannyajuga cepat banget,kainnya juga lumayan tebal dengan harga segitu,pokoknya the best,bakalan beli lagi produk lainnya",bintang 5,1 bulan lalu
"Rok nya sudah sampai.. Bahannya lembut, nyaman dipakai tapi agak tipis.. Terimakasih ☺️",bintang 5,2 minggu lalu
"Bahanya tebal bagus cocok banget ni ukuran panjang 90 
Ni aq udah co lagi",bintang 5,3 bulan lalu
Pertama x belu di toko ini amanah suka bgt hrga sngt murceee bakal langganan di sini rok bagus sesuai bahan tebal jahitan rapi 🥰,bintang 5,5 bulan lalu
"Alhamdulilah,, barang nyampek makasih kak span nya bagus bahan tebbel,, suka bgt,, smoga tokonya lancar trs,, karna emang bgs bgt,, kurir nya udh langganan ramah semuanya...",bintang 5,3 bulan lalu
barang sdh smpek pengiriman cepat jahitannya rapi bhnnya adem melar tokonya amanah.kurir baik dan sopan,bintang 5,4 bulan lalu
Barang udh saya terima pekinganx rapi pengirimanx cepat  bahanx tebel dn juga lembut nyaman di pakai teruntuk kurirx ramah,bintang 5,2 bulan lalu
Bagus banget😭💕 kirain ga muat d aku ternyata pas banget nyaman d pake🫶🏻,bintang 5,2 bulan lalu
Bagus banget bahan adem halus tebal 😭 tinggi aku 150cm BB 52 pas gak seret sedikit longgar tapi pas lah buat jalan enak nyaman,bintang 5,5 bulan lalu
"kok ada ya seller kaya gini, dia yang salah kasi ukuran, ga teliti barang di balikin pas mau co lagi kok di larang, pdhl suka banget tapi malah jadi ga respect karna sell...",bintang 1,2 bulan lalu
"aku bb 70,tb 165 ambil ukuran ini pas banget bgusss. bahan nya melar jugaa suka banget
Kualitas produk: 100000/10",bintang 5,2 minggu lalu
"Bagus smuanya.. puas banget dari kain nya,model rok nya.pokok top markotop dah 👍🥰",bintang 5,5 bulan lalu
"Bagus banget, pas di bb aku 68 , pengiriman cepat 🥰🥰",bintang 5,1 bulan lalu
