review,rating,date
"seller gercep, bahannya emang bagus dan terlihat mewah sih.. harus pake inner, krn memang menerawang (yg ga berhijab cukup pake short pants dan tank top aja sih, ga perlu...",bintang 5,3 hari lalu
"Motif sedikit berbeda dengan difoto,but it's ok,sukaaa bngt,dr dulu pen bli kek gn,bru skrg kesampaian 🤭😁 thanks seller,next bakalan order lg",bintang 5,1 bulan lalu
"bagus sesuai x petasi,bahan lembut enak d pake",bintang 5,3 bulan lalu
"Gila sih, bagus banget 😍🥰
AQ kira bahannya yg tipis impring² gitu ternyata dia pas aja ga tebal ga tipis cantik banget 🫶😍🥰🤍
Udah gitu pengiriman wuswus CPT bgt 😂",bintang 5,4 bulan lalu
Terimakasih sudah amanah... Sukses sllu untuk tokonya... Pesanan sesuai digambar... Barang jg cepat yampenya🤗🙏,bintang 5,1 minggu lalu
Masyallah bneran ditukar warnanya Bagus banget lov lov,bintang 5,1 bulan lalu
"Cakeep bgt sihhh bahannya juga oke , motiff keren , kualitas sangat lah baguss 🩷🩷🩷",bintang 5,2 bulan lalu
"sumpah sebagus ni baju nya mewa,sage bunga, cepet pengirimanya,, jarang aq beli baju kondagan di tiktok tkt kecewa alhamdllah ngk ngecewain",bintang 5,5 bulan lalu
terima kasih dress kaftan nya sudah sampai.. real pic.. bagus suka.. pengiriman cepat..,bintang 5,3 bulan lalu
"cakep bangeeeet, nyaman di pakai😍",bintang 5,4 bulan lalu
"bahannya tipis tapi bagus sii, kepanjangn juga di aku",bintang 4,2 bulan lalu
"Alhamdulilah paket sdh sampai,terlihat mewah cuma agak sedikit kaku bahan nya.Maaf ya ku ksh bintang 4.",bintang 4,1 bulan lalu
Bagus. Kekinian. Ukuran pas tidak terlalu besar,bintang 5,2 bulan lalu
Bagus bgt sesue expetasi bahan ny jg adem l like.. The best pokoknya ny 👍👍👍,bintang 5,4 bulan lalu
Bagus sesuai pesanan bahan jga ok harga standar,bintang 5,2 bulan lalu
Bagus... Tp terpaksa pkai daleman krn agak tipis,bintang 4,
"Pengirimannya cepet,kaftannya bagus sesuai yang di gambar.suka.. terimakasih yah Firda",bintang 5,1 bulan lalu
"Mantab kak kaftannya cuma kegedean dkit am ak tp semua oke ,cpt bgt sampe... Makasih buat tokonya dan abang kurirnya",bintang 5,4 bulan lalu
"Bagguuss banggeettt kaftan batiknya, sizenya pas sm aku, pengemasan sm pengirimannya jg cepat, pokonya mah real pict sesuai pesanan.",bintang 5,2 bulan lalu
"Alhamdulillah cocok,kemasan aman, rapih,kurir baik dan sudh langganan...trimakasih,smg sll amanah.",bintang 5,2 bulan lalu
"Keren banget bajunya,,saya suka karena nyaman di pakai dan praktis 👍",bintang 5,4 bulan lalu
"sebagus inii ternyata warnanya kalem gitu 😭 bener"" susah dapetin warna stone tapi alhamdulillah kebagian",bintang 5,2 bulan lalu
Bagus baju nya suka sama baju nya bahanya tebal gk tipis mantul deh 👍👍👍👍,bintang 5,3 bulan lalu
"Bagus, nyesel dari dulu gasuka ama kaftan, ternyata sebagus ini, tahun depan beli lagi ah",bintang 5,1 bulan lalu
"Bagus bgt baju nya 
Mungkin klw aku langsing lebih bagus lagi 🤣🤣🤣gak nyesel beli dintoko ini next order lagi",bintang 5,2 bulan lalu
CAKEP tp kok kaya besar banget di aku😭🤣,bintang 5,2 bulan lalu
"Ko pas leher itu warna nya kaya gold ya bukan putih,apa ada 2 warna 🤣🤣🙏tapi bagus bngtt otw co lagi warna merah",bintang 4,1 minggu lalu
Alhamdulillah paket dtg sesuai estimasi dan deskripsi warna dan motif thx Seller ini pemesanan ke2 dan toko sgt amanah fast respon..berkah sll jg mksh buat bbg kurir lang...,bintang 5,3 minggu lalu
"Bagus sekali, pas banget dipakenya... Suka pokonya",bintang 5,2 bulan lalu
"Latte pulau best seller percoklatan asli 😘
Secinta itu sama kaftan nya😚",bintang 5,2 bulan lalu
"Bagus,nyaman,pas",bintang 5,1 minggu lalu
Bagus poll gada Obat 😍,bintang 5,2 bulan lalu
"Bagus bgt,BB 87 masih longgar",bintang 5,1 bulan lalu
"Bagus suka dipake ,pas mo beli takut kegedean jelek ,ternyata bagus walo gede enak dipake",bintang 5,4 bulan lalu
". Kaftanx sesuai d gambar, kepanjangan d aku yg tinggix 150😁🤣.",bintang 5,2 bulan lalu
"Bahannya enak jatuh gitu dipakenya, adem, bagus, semuanya rapih dan sesuai dengan gambar serta deskripsi produk",bintang 5,2 bulan lalu
"Masya Allah .. Alhamdulillah,akhirnya kaftan nya tiba ,bisa dipakek Lebaran 🥹🫶.
Banyakin motif dan wrna baru yah.insha Allah akan jadi langganan.saya Sukak kualitas kaf...",bintang 5,1 bulan lalu
"Kualitas produk: Baik
Kainnya lumayan ,tidak tipis tidak tebal , ,pengirimannya lumayan lama ,tapi saya sukaa 
Sederhana tapi kelihatan mewah 🥰",bintang 5,1 bulan lalu
"Pengiriman cepat, kualitas cuakeep pool, bahan adem nyaman dipakai.mantuul thanks seller",bintang 5,1 bulan lalu
