review,rating,date
"bagus banget modelnya, bahannya bagus, kuliatas lumayan, ukurannya pas di kulit, pengiriman cepat, terimakasih seller",bintang 5,4 minggu lalu
"selalu puas beli apapun di eiji, bahannya bagus dan bikin cakep dipake, thank you
Product quality: good",bintang 5,2 bulan lalu
"Bahan adem, enak dipakai ga terlalu ketat
slim kalo dipakai, nggak bikin gerah, full karet
BB : 50-60 
TB : 155-160",bintang 5,2 bulan lalu
"Ternyata bahannya tebel loh! Ga sangka aku! Barangnya bagus banget guys! Kainnya mengikuti bentuk tubuh, dan untung aku langsung beli 4! Bagus banget! PENGEMASAN DAN PENG...",bintang 5,3 minggu lalu
"Ternyata bahannya tebel loh! Ga sangka aku! Barangnya bagus banget guys! Kainnya mengikuti bentuk tubuh, dan untung aku langsung beli 4! Bagus banget! PENGEMASAN DAN PENG...",bintang 5,3 minggu lalu
"Ternyata bahannya tebel loh! Ga sangka aku! Barangnya bagus banget guys! Kainnya mengikuti bentuk tubuh, dan untung aku langsung beli 4! Bagus banget! PENGEMASAN DAN PENG...",bintang 5,3 minggu lalu
"Ternyata bahannya tebel loh! Ga sangka aku! Barangnya bagus banget guys! Kainnya mengikuti bentuk tubuh, dan untung aku langsung beli 4! Bagus banget! PENGEMASAN DAN PENG...",bintang 5,3 minggu lalu
"Overall semua nya bagus sh cuma ko pas karet bagian pinggang sprti tu ya apa emang bgtu ya gak d.jahit, terima kasih🙏",bintang 5,2 bulan lalu
"cepet bngt pelayanannya waktu itu ada yang sobek lansung di respon cepet bngt lagi ramah² kaka nyaa makasii banyak udah di kasih barang ulangg
Kualitas produk: baguss bah...",bintang 5,2 minggu lalu
"Pesanan sudah sampai, maaf baru kasih ulasan,, flarpant nya bagus bahan adem minusnya cuma pesan uk s/m tp ttep kegedean aja,, gk bisa pres di kaki, but it's ok ttep...",bintang 5,3 minggu lalu
"Agak sedih yaaa udah 2x beli disini pasti kurang puas soal nya bagian karet pinggang nya kenapa kok ga double jahitan, over all bagus cuma 1 aja masalah nya",bintang 4,1 bulan lalu
"Sudah sampai sesuai ekspektasi
Bahan scuba halus ga tebel ga tipis pas lah segini enak dipakai
Wajib punya sih ini bagussssssssssss",bintang 5,2 bulan lalu
bagus banget bahannya lembut dan jatuh gituu.ga panas jugaaa bahannya.cuma kepanjangan dikit dia aku yang tinggi 155cm.,bintang 5,2 minggu lalu
"sangat bagus,saya suka.tapi agak kebesaran
Kualitas produk: Bagus",bintang 5,1 bulan lalu
"Barang diterima dalam keadaan baik, pengiriman cepat, aku ambil size L-XL pas dibadanku Tb 165 Bb 64, bagus bgt ini bener² scuba premium karna tebel😍",bintang 5,2 bulan lalu
"Bagus pakek bangeet, bahan melar dingin nyaman dipakek, bb ku 43 tb ku 153 agak kepanjangan sedikit, cocok untuk ootd/dipakek sehari"". Sangat"" rekomended sekali g...",bintang 5,1 bulan lalu
