review,rating,date
"dapat black yang s and aku ga nyangka bahannya woy !? adem walaupun tebel tapi tebel cotton licin gitu, of course its a lil bit stretchy must dapatin warna yang lain‼️btw...",bintang 5,
"Cakep, manteb, bahannya tebel jd ngebentuk cantik dibadan, luar biasa jaya jaya jaya",bintang 5,3 minggu lalu
"Sukaaaaaaaa bangettt sampe order lagi warna lain, kemungkinan bakal aku koleksi setiap warnanya karena bahan dan tekstur nya ringan super2 strecy gak panasss juga sih yg...",bintang 5,11 bulan lalu
"Kualitas produk: tebel, gak nerawang sama sekalii, suka bangettt",bintang 3,2 bulan lalu
"BAGUSSS BANGETTT TUHANNN😭🤍🤍NYESEL MESEN 1 DOANG WKWK, pengiriman nya jg ga expect secepat ini huhuu😭😭🫰",bintang 5,3 bulan lalu
"bajunya cantik, bahan adem dan ga tipis,ukuran m pas buat yang bb48 tb160/162  , over all i love it so much 🦋",bintang 5,5 bulan lalu
Worth it banget tebel adem ga bikin bra ngejiplak meski fit body. Tb 158 bb 53 ambil L pas bangett. Next mau koleksi warna lain😍thanks evertops,bintang 5,2 bulan lalu
"Baguss poolll! Kainnya tebal tp gak gerah saat dipakai, nyaman dibadan. Nyerap keringat jg🌷 love it. Hanya sj pita mereknya agak sedikit mengganggu tuk aku. Jd digunting...",bintang 5,10 bulan lalu
Pengiriman standard. Packaging rapih. Barang tidak ada yg cacat. Bahan jersey nya bagus keliatan premium. Jaitannya alhamdulillah rapih. Kurang lebih ok. Terimakaish yaa...,bintang 5,9 bulan lalu
"bagusss bgtttt dan yg ragu karna tipis, liat aje sendiri noh setebel ape. buruan deh gausah ragu gausah bimbang untuk check out disini😍 mana cpt bgt lagi pengiriman nya,...",bintang 5,4 bulan lalu
"GA EXPECT BAKAL SE TEBEL ITUU
Bagus bgt guys ,ini ukuran xl Kayanya ak kegedean soalnya diaa melaarrrr powwll btw LD aku 96 dan kalo mau lebih press anak ambil L sih ,ove...",bintang 5,7 bulan lalu
"Bagus bajunya, bahanyya jga adem, untuk tb : 160 cm bb: 70 kg, ini pas bgt,  Slim fit ga bikin sesak. Thnk u 🫶🏻",bintang 5,8 bulan lalu
"Baju nya bagus, tpi sayang baju nya cepat buluan:( baru sekai pake",bintang 5,2 bulan lalu
"Bajunya bagus tebel , ukuran L bb 48 lumayan press body",bintang 5,
Barang sampai dengan selamat. Ngepas body ya kaosnya. Ld 80 pakai M pas badan. Kayaknya lebih enak kayaknya pakai L.,bintang 5,
Suuumpah bagus banget bahannnya ademmm...makasiii tiktok makasi seller,bintang 5,7 bulan lalu
"guys, aku jual white L karena kebeli doublee
belum pernah dipake sama sekali
kaosnya baguss, adem cocok dijadiin inner. 
 aku jual 50rb aja yaa
bisa co di oren 'rafid...",bintang 5,10 bulan lalu
"bagus bgt,buat bb 45 size ngepres bgt karna bahuku gede kali ya tp ini bgs bgt",bintang 5,8 bulan lalu
Bagus bgttt tapi sedih uk m ngepas bgt dibakian ketiak,bintang 5,11 bulan lalu
"bagus banget!!, pengirimannya cepet def worth it tp di aku size L agak crop dikit, bahannya tebel n overall menurutku baguss",bintang 5,4 bulan lalu
"Suka banget sama model bajunya, sangat flattering ke bentuk tubuh, jadi lebih slim dan girly. Jahitannya rapi dan double layer. Untuk bahannya, masih belum yakin apakah n...",bintang 5,1 bulan lalu
"Barang sampai dengan selamat. Ukuran L lebih enak di badan, gak terlalu ketat untuk BB 48. 👍👍✌️✌️",bintang 5,
Bahannya bagus tebal dan lembut tapi packaging nya kureng sih but its okay,bintang 4,11 bulan lalu
baguss bgt fit body pakai ukuran s uda beli kedua kali nya next order lagi warna lain deh,bintang 5,11 bulan lalu
Katanya bb 43 disuruh size s waktu di live tapi malah kekecilan ngepas bgt engap :( hrsnya m si. Bahannya tebel sii bagus double gitu cuma sayang kekecilan hwaa,bintang 4,
"pengiriman nya cepat, bahannya bagus, sesuai sama ulasan dan foto, nyaman!!",bintang 5,11 bulan lalu
"mantep bgt sih ini ngefitnya, bahannya bagus juga tebel. stretch tp ga terlalu banyak stretchnya",bintang 5,
"bagus semua bahan2nya udh beberapa kali beli disini dan selalu suka, top",bintang 5,2 bulan lalu
"Love the materials and the neat stitching
Product quality: Great 💕",bintang 5,11 bulan lalu
"Bagus paraaahhhhh
Kualitas nya oke banget
Bahannya halus ga bikin gerah
Pokonya persis di foto, pengen beli lagiii",bintang 5,10 bulan lalu
"bahannya bener” tebal sesuai harganya, aku pernah beli yang harga dibawah 50k aduh jelek bgt 🤭 cuma aku salah pilih size bisa sih kepake cuma jatuhnya ketat bgt, bb tb 1...",bintang 5,
Bahan bagus bgt....sama cuttingan warnanya juga bagus... Cuman aku slh pilih size... S trllu ketat untuk LD aku 80. Harusnya M,bintang 5,
"Kualitas produk: kain nya tebel banget anjengggggg,bakalan jdi fav ini mah. oke kita pesen lg wrna yg lain",bintang 5,10 bulan lalu
"Second purchase,my first order is body suit,the quality is really good,if you have big O.O buy size L.",bintang 5,4 bulan lalu
Produk baik. Pengiriman cepat. Pelayanan memuaskan. Seller responsif. Akan repeat order,bintang 5,
"uk m sama L bedanya jauh juga ya, beli L kegedean tpi pas beli M bener bener ngepass, bahannya tebel double layer pokonya mau repurchase next time",bintang 5,7 bulan lalu
"Bagus warna realfick , bahan lembut dan tebal 2 layer",bintang 5,7 bulan lalu
Bener bener sebaguss ituu.. udah punya 2 warna.. bahannya jugaa tebel.. terus pengirimannyaa juga cepet bgt pesen hari jumat sabtu siang udah smpe.. thebest bgt emangg🥰�...,bintang 5,3 bulan lalu
"bagus bgt seriusssssss, maroonnya gelap cakep bener, BB 60 TB 160 pake xl fit to bodynya oke ga ngetat terus engap, love it 💖",bintang 5,10 bulan lalu
"bagus bgt seriusssssss,jade greennya cakep bener kulit auto cerahan 🥰 BB 60 TB 160 pake xl fit to bodynya oke ga ngetat terus engap, love it 💖",bintang 5,10 bulan lalu
"Bagus banget kainnya halus, Bb ku 60 pakai XL masih oke bgt",bintang 5,1 bulan lalu
keren dan bahannya nyaman + adem bgt. bakalan beli lagi sih ini mah,bintang 5,11 bulan lalu
Di bb 45 Sengaja ambil ukuran L karna gamau terlalu ketat dan crop tapi ternyata salah masih agak ngetat dan ngecrop di aku yg ga terlalu suka crop😂tapi aku suka bakal j...,bintang 5,9 bulan lalu
"warna milo ini keren yah ternyata, ini ak beli untuk kaka aku. dan kaka aku senang katanya sesuai di foto. bahanya bagus adem tebal tpi ga bikin puanasssss 💕",bintang 5,10 bulan lalu
"Bagus banget sumpah we🥹🥹😍
Bahannya adem bangett❤️❤️",bintang 5,2 bulan lalu
"Bb 55 ukuran L,bajunya bagus tebal juga tapi di aku agak ngepres",bintang 4,9 bulan lalu
good quality for 56/162 size L💗,bintang 5,2 bulan lalu
"bagus sihh, muat di LD aku 87cm dan LP 86cm. tapi untuk yang long torso kaya aku, jatohnya ngecrop. kayaknya mendingan beli yg XL sih. ini kalo di aku, ukuran L jadi kaya...",bintang 5,5 bulan lalu
"Tb 160/ bb 56 
Bahanya bagus, ga kependekan ga kepanjangan pas ✨🌼",bintang 5,3 minggu lalu
"ini aku pake size L, di tb 160 bb 52 LD 85-88cm ga sesak sm skali tp jd nya ga ngepress body gitu kyk nya next aku mau beli warna lain di size M",bintang 5,
"bb 48 pas bgt pake uk L, warna bw yg cocok di mix sm bawahan warna apapun, cuttingan bajunya bagus dan terlihat elegan 💞",bintang 5,10 bulan lalu
"Bagusa tebal halusss,jangan ragu beli disini yaa",bintang 5,1 bulan lalu
Kualitasnya oke!⭐️⭐️⭐️⭐️⭐️,bintang 5,1 bulan lalu
Bagus bahan adem. Tb 156 Bb 45 ga terlalu ngetat!,bintang 5,2 minggu lalu
"beli uk M tapi gaada tag uk nya, semoga bener ini uk M bajunya. Buat bb 47 kerasa terlalu ketat. Bahannya tebel.",bintang 3,
"Wahhh gileee..baju nya baguss baaangett,bahan Aluss pisaann,adem dan nyaman di pakaii..aku sengaja pesan yg xl biar gk ketatt bangett..stokk yg banyakkk yaa mau aku CO lg...",bintang 5,11 bulan lalu
Pas bngt fit badan buat bb 45/tb 160,bintang 5,10 bulan lalu
Klo pengen panjangan dan ga tllu sesak dikit boleh ambil L,bintang 5,5 bulan lalu
"Thank y kak smngt cucok pas d pkei 
Kainnya halus adem d pkei",bintang 5,9 bulan lalu
bagus lohhh aku udh pembelian kesekian kali! kena noda juga gampang hilangnya! mau lg yg hitam,bintang 5,
"pelbeliqn keduaa lebih enak pake ukuran L bb aku 50 tb 158, kmrn beli yg M ngepas bgtt",bintang 5,8 bulan lalu
"ini keren bgt sih, udah byk ak koleksi longtop di evertops ga pernah mengecewakan atuh",bintang 5,11 bulan lalu
Udah koleksi beberapaa warnaa pokonyaa sampe full semua warna aku mau co,bintang 5,10 bulan lalu
