review,rating,date
"Bagussss!!! Dgn harga 60rb an kualitasnya setara brand mall clrbx, keren sih!! Bakal langganan👏🏼",bintang 5,2 minggu lalu
barang bagus sih tapi ko pas di buka bajunya basah lembab??,bintang 3,3 minggu lalu
"Bagus, tpi robek dikit masih bisa dl Jarit",bintang 5,3 hari lalu
respon sellernya ramahh . pengiriman cepet . barang baguss . good semuanya,bintang 5,6 hari lalu
"bagusss sekali, fit body",bintang 5,3 minggu lalu
"ga pernah nyesel beli baju di sini, bagus bagus semua😭🫶🏼",bintang 5,1 minggu lalu
"cepet bgt sampe nya, produknya jg bagus",bintang 5,1 hari lalu
"bb 52 tb 160 ,pas bgtt",bintang 5,2 minggu lalu
"Bagus, tp dikit nerawang",bintang 5,5 hari lalu
Bagus banget muach,bintang 5,2 minggu lalu
"Trims kak, sdh sampai",bintang 5,1 minggu lalu
BAGUSSSS BANGETTT 😻😻😻😻🤩🤩🤩,bintang 5,1 minggu lalu
,bintang 5,1 minggu lalu
,bintang 5,1 minggu lalu
Bagus sekali,bintang 5,1 minggu lalu
Cakep,bintang 5,1 minggu lalu
BAGUS BANGETTTT,bintang 5,1 minggu lalu
bagus bgt,bintang 5,2 minggu lalu
Bagus,bintang 5,5 hari lalu
bagus bgttt,bintang 5,1 minggu lalu
Good,bintang 5,2 minggu lalu
Kece!,bintang 5,4 hari lalu
Bgs,bintang 5,1 minggu lalu
Bgs,bintang 5,1 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
