review,rating,date
Ku pikir kainnya bakal tebel ternyata agak tipis tp gak papa lah ga nerawang banget,bintang 5,2 bulan lalu
"Paket sudah diterima,bahan halus,adem,agak kepanjangan dikit,sofar  makasih seller",bintang 5,1 bulan lalu
baguss poll harga dan bahan sepadan di badan keliatan bagus tidak terawang cocok buat acara apapun fiks kalian harus order juga,bintang 5,1 minggu lalu
"pas banget di badan ga panas bahan adem, jd ngebentuk body syukka bett next bakal order lg deh di sini",bintang 5,1 bulan lalu
"keliatan nya sih kecil tpi di aku BB 80 TB 168 muat ld ku 107,panjang ga ngatung, pengiriman cepat, realpict,harga recommended",bintang 5,2 bulan lalu
"sebagus ini dapet harga 97rb doang, sumpah suka bgt sama dress nya bahannya adem warnanya juga aku suka bgt🩶🩶 cuma kepanjangan doang dibagian bawah sama lengannya tp ga...",bintang 5,2 bulan lalu
"Paket bajunya udh sampe, bajunya bagus sesuai orderan, bahan jg adem tks seller",bintang 5,2 bulan lalu
Senenggg. Bagus banget bajunya. Di aku ukuran L karna aku pake hijab🥰 pas ga terlalu ngetat dan ga terlalu besar juga. Udh 2x order disini makasi kak sukses selalu,bintang 5,1 bulan lalu
"Baguuuss banget kak. Udah beli ke 2x nyaa
Black & dark brown
Bb 63 tb 155. Pake uk xxl. Nyaman poll
Ga begituu ngepas bodi tp juga ga kegedean. Panjangnya juga pas. P...",bintang 5,2 minggu lalu
"Pas banget buat bb85 nyaman mungkin karna tinggi 150cm agak ke panjangan ,.tapi gpp wajip di order gess😁😅",bintang 5,2 hari lalu
"Kualitas produk: baik
aaaa finally, BB 65 TB 163 ambil size XL press body panjangnya pass aku suka bgt tengkyuuu😍",bintang 5,1 bulan lalu
"Huhuu bagus bgt long dress nya dipaduin sama outer cop cantikk deh, ambil ukuran xl bb 62 tb 155 msh oke gk ngetat karena hijab. Next order warna lain🫰 🤩
Kualitas produ...",bintang 5,4 bulan lalu
"Kualitas produk: Bagus,real pick sekali,bahan adem tidak tipis, jahitan rapi, pengiriman cepat",bintang 5,3 bulan lalu
Bagus banget SDH ke dua kali beli model ini bahan nya premium nyaman banget di pake nya saran kalo pake hijab upsize ya soal nya fresh body banget ini model nya,bintang 5,1 bulan lalu
