review,rating,date
Barangnya bagus sesuai dengan deskripsi bahannya juga tebel dan bisa melar. Ukurannya juga pas gak kebesaran atau kekecilan,bintang 5,2 bulan lalu
"Kualitas produk: Baguss banget bahan nya
Pas celana nya di aku Bb 53 Tb 148 cuman agak panjang sedikit yah begitu derita orang pendek, tapi bener bener bagus bangett Cela...",bintang 5,3 bulan lalu
"Alhamdulillah paket sudah sampai. Bahan bagus. Ukuran pas. Harga terjangkau. Pengiriman cepat. Respon sellernya baik bangett, terimakasih kak🥰",bintang 5,2 minggu lalu
ihhh bagus banget celana nya ga nyesel beli disini padahal harga nya tergolong lumayan tapi kualitas nyaa sangat bagusss bahan nya tebal tidak terawang dan pas di kaki sa...,bintang 5,1 minggu lalu
"Kainy tebel bagus
Awalny yg dateng kepanjangna sedikit sma jahitanya lepas tpi masih ok",bintang 5,2 bulan lalu
beli dua ukuran sama sama 27 cuma beda warna tapi ynh satunya muat yng satunya ga muat,bintang 5,2 minggu lalu
"Bagus Banget, Pas , adem, Ngaret lagi Bahannya",bintang 5,2 bulan lalu
"Barangnya sampai dengan selamat. Packing oke. Bb 63 tb 155 ambil ukuran 32 msh muat, tp agak ketat di bagian paha. Untuk panjang celana oke, bisa diakalin pakai sendal at...",bintang 5,1 minggu lalu
"bagus bahannya adem ga engap aku bb65 tb154 ambil ukuran 33 pas cuma aga panjang tapi Mlah bgus dripada ngatung, next order yg item💖🤩🥰🤏",bintang 5,1 bulan lalu
"Paket celana jeans nya dah dtg,bagus bgt tp syg kancing clna nya copot tolong resseler lbh di perhatikan lagi ya,ukuran pas bb 67 size 34 bahan nya melar,lembut warna ses...",bintang 5,1 bulan lalu
"Celananya bagus, ukuranny sangat pas untuk sy dgn BB 48 dan TB 158, celananya wangi seperti habis d cuci",bintang 5,
"Terimakasih celana pnjngnya sdh smpi, pas bgt enak dipakainya, aku Bb 56 Tb 160 pakai no 31 pas nyaman gak kesempitan gak jg kebesaran, ok bgt deh, insyaallah next order...",bintang 5,1 bulan lalu
"Alhamdulillah orderan yg ke2 jangan ragu beli di toko ini amanah pake bngt, dan bahan nya pun bagus poll 👍👍",bintang 5,1 bulan lalu
Alhamdulilah sesuai dngn Ekpestasi tp sayang ad benang yg lepas sedikit tp gk PP celana x bgs,bintang 5,1 bulan lalu
Real pict bagus agak panjangan dikit tp gk papa bisa d potong,bintang 5,1 bulan lalu
"Sesuai pesanan toko amanah , 
Baru kali ini beli celana di online yg bener2 berbahan halus kainnya melar bagus 😍 mau order lg ni cocok buat langanan dan pertahankan kwal...",bintang 5,
"Kualitas produk: bagus
sangat pas di badan aku,bb ku 38 tb 156 suka banget tdk mengecewakan🤩🤩",bintang 5,1 bulan lalu
"Bner"" rekomen,, celananya enak nyaman d pake gak kaku",bintang 5,3 bulan lalu
"Thank you so much celananya pas panjangngnya diaku tb 150 bb 40 cuman bahan celananya aja yg agak berudul"" gtu",bintang 5,2 bulan lalu
"was"" bgt liat ulasan blg bnyak yg cacat, tp punyaku aman bgt cuma bau kaporitnya smpe satu kamar wkwk",bintang 4,1 bulan lalu
Jahitan gk rapih. Malah blm di jait lebar sebelah jdnya huhu agak kecewa.pdhl mo dipake buat liburan.,bintang 3,1 bulan lalu
"Cuantikk polll 
Buat harga segitu kualitasnya kelewatan😭
UK 30 Buat aku BB 55 TB 159 agak ngepres ya tapi gppa karna bahan Jeansnya jugak elastis,aku kemaren beli di BTC...",bintang 5,2 bulan lalu
Bahan bagus ukuran pas nyaman di gunakan terimakasih 😍cewa dikit ada bahan yang timbul ngegaret panjang di celananya jdi keliatan kalo di pake,bintang 5,2 bulan lalu
"CAKEP POOOLLL 😍😍 sumpah ga nyesel co, aku bb 59/60 co di no 31, datengnya jg cepet thanks admin<3",bintang 5,6 hari lalu
"jahitan rapi, jeans tapi bahannya adem ga kaku ga kasar, pas ukurannya saran kalo paha nya gede dinaikin 1 ukuran aja biar aman. ga sia2 order disini worth it bgt🩵",bintang 5,1 minggu lalu
"bahan nya bagus bangett suka warna nya juga pas di akuu tapi sayang di aku 28 masih ke gedean pinggang nya😭 bb 47 tb 160
terus minus nya ada noda nya😓 next bakal beli l...",bintang 4,1 bulan lalu
"Slow respon barang satunya reject jahitan samping robek (agak dol) sakunya cetek sebelah yg satunya normal udah gtu kegedean , panjang aman",bintang 1,1 bulan lalu
"Celana nya bagus 
Cuma sya ambil size 35 BB 70 celana nya ngpas bgt,jadi kurang nyaman dipke nya
Karna sya liat size 35 muat BB 70-74
Ternyata tellu ngepas
Harus nya 36 m...",bintang 4,2 bulan lalu
Alhamdulillah paketannya akhirnya sampe juga.jeansnya bagus bahannya tebal ukurannya pas.jgn ragu ya beli disini tokonya amanah,bintang 5,2 bulan lalu
Bahan nya cukup bagus. Nyaman juga di pake. Pokok nya pas deh dengan harga nya segini.,bintang 4,3 minggu lalu
"Bagus banget celana nya😭, sukak bngtt pas juga ukurannya 🥰
Next bakalan pesan lagi 🤭.",bintang 5,1 bulan lalu
"bahan adem molor nyaman  , size 34 panjangnya pas cuma di aku bagian pinggangnya kebesaran it's okay gpp tinggal dikecilin 
Thanks . .",bintang 4,2 bulan lalu
"bagus sesuai gambar td kirain gede pas d pake ternyata pas ngg kecil ngg besar warna darkblue best deh 
UK 32 buat BB 59 k atas",bintang 5,1 bulan lalu
"Bahan nya bagus,warna nya sesuai pick lightblue,aku tb 160 bb 70 pake size 34 nyaman banget ga kecil ga kegedean🥰pengiriman nya cepat,mamang kurir nya udh langganan baik...",bintang 5,2 bulan lalu
"baguss, tb 150 bb 43 ngambil uk 27 pas panjang nya tpi krna paha nya agak gde jdinya sempit di paha next ngambil uk 28, sma ada sedikit jaitan kurang rapi juga tpi msh ok...",bintang 5,1 bulan lalu
Sumpah keren abis'barang nya asli kayak di poto realpict banget celana ny'nyaman di pakai kain ny pun tebel. Dan lembut,bintang 5,2 bulan lalu
"bb 54 tb 160 ambil ukuran 30 terlalu pas, harusnyaa ambil ukuran 31 :(( warna abu nya aku kira lebih muda, tapi it's ok tetep bagus ko.

bahan nya stretchy yaa, bukan...",bintang 4,3 bulan lalu
Bahan nya lembut bisa nyesuai kan body gtuy bagussss untuk BB 53 bagus pas banget,bintang 5,2 bulan lalu
"Kualitas produk: bagus dan real pict
bener' bagus bngt celananya, jhitan rapi, pengiriman jg cpet g smpe sminggu, pas bnget d badan dan nyman g bkin gtel dn gerah, wo...",bintang 5,2 bulan lalu
"Bagus bahannya bisa di tarik elastis, sesuai degan yang di pesan, warnanya bagus",bintang 5,1 minggu lalu
"Paket dah nyampe suka banget,kurirnya jg ramah 👌🏻",bintang 5,1 minggu lalu
"Celana jeans nya bagus banget,, adem bahannya, pokoknya pas di aku,gk nyesel belik di sini, Amana 🥰",bintang 5,2 bulan lalu
Bahan lembut sesuai pict tapi ada sedikit jaitan kurang rapih.,bintang 2,2 bulan lalu
Bangus bngt pokonya bahanya juga bagus next mau beli lagi sih..🥰,bintang 5,1 bulan lalu
"kecewa banget kancing nya lepas begini gimana sih ga propesional, warnanya juga abu tua gitu hampir kaya bukan abu😔",bintang 3,1 bulan lalu
Bagus bahan dan dasarnya tapi kepanjangan buat aku yg tb 150,bintang 4,1 bulan lalu
"Pengiriman cepat sekali 
Bagus keren...
Warna sesuai gambar 
Trima kasih kak 🥰",bintang 5,2 minggu lalu
sesuai dengan pesanan barang bagus ukuran pas warna juga bagus,bintang 5,2 bulan lalu
"Bagus bgt celana nya tpi di aku no 31 aga sempit di pinggang bb 58 tb 158 , kayanya kalo mau beli lagi harus yg no 32 deh biar agak nyaman",bintang 5,1 bulan lalu
"Bagus clna ny cuman ada ga ke jait dideket kantong ny, ada brcak kotor2 ny diclna",bintang 4,2 bulan lalu
"bahanya bagus, tapi dibagian atas sobek besarr jahitannya rusakk",bintang 3,1 bulan lalu
terima kasih barang baru nyampe pdhl dipake buat td siang,bintang 5,1 minggu lalu
"thank you kak, sudah sampaiii
bagus bangett, lebih pres dari ekspektasi but it's okeyy...makasih kakak🤍",bintang 5,1 minggu lalu
"Mau ngasi tau yg LG baca review Jan ragu beli buruan co jeans nya ga kaleng2 buat harga under 100 ini super nyaman ga kasar gatel apa LG kaku, jeans ku banyak yg beli d b...",bintang 5,3 bulan lalu
Bagus banget gak nyesel beli di sini🥰😘,bintang 5,1 bulan lalu
"baguss bangett sii ga nyesel beliii emang sebagus ituu,aslinya warnanya grey tapi dividio pake filter jadinya seperti itu warnanya",bintang 5,1 bulan lalu
"Bahannya bagus,adem dn tebek kainnya pokoknya gk nyesel beli di toko ini
Dan pengirimanya cepet",bintang 5,1 minggu lalu
Alhamdulillah sampe tp knp ukuran 27 msh gede ya udh gtu bawahnya kurang lebar.. Identik cut bray tuhh lebar tp ini beda sm yg di spil padahal pas live bawahnya lebar loh,bintang 3,2 minggu lalu
"pakaet sudah sampai dengan selamat,bagus bgt suka bgt sama bahan nya dan juga pas dipakai q yg bb nya 49 tinggi 155, thank you seller 👍👍 sukses selalu",bintang 5,2 bulan lalu
Pas banget bahan nya lembut rekomendasi deh beli disini next order lagiii,bintang 5,2 bulan lalu
"Bagus sih bahanya, buat bb 50 tb 147 oke lah tapi harus motongin dikit biar ga kepanjangan .. btw tapi kenapa jahitan nya ga rapii, ada sebagian yg bongkah.. pliss mana b...",bintang 4,3 bulan lalu
Bagusss siii sebenernya tapi kok dateng dateng kancing nya rusak huhuhuhuhu sedih banget tp secara bahan udh bagus cuman ya itu kancing nya rusak huftt,bintang 3,1 bulan lalu
"Terimakasih KA barang sudah sampai dengan aman, barang sesuai ekspektasi warna sesuai ukuran juga pas",bintang 5,2 bulan lalu
Yuhuu sudah nyampek...bagus gak kaku bb aku 65 pakek 33 perut gemuk dikit pas tp mending ambil 34 biar agak longgar tp moga nanti pas dicuci agak melar... Enk sich dipake...,bintang 5,1 bulan lalu
"Pas lah untuk harga segitu,, tapi di aku bb 40 kg masi agak kebesaran sikitt",bintang 5,1 bulan lalu
Bagus nyaman di pakai... Dan pas di aku.... Pkoknya mantap👍😊😊,bintang 5,2 bulan lalu
"untuk harga segini kainnya emang sudahh worth it sihh, cumaa jahitannya yang kurang rapi. jadi bintang 3 aja duluu yaaa bisaa diperbaiki lagi untuk jahitannya😻😻",bintang 3,1 bulan lalu
Suka bangett jadi kelihatan langsing mna pas banget lagi,bintang 5,1 minggu lalu
psen 2 hitam sama medium blue satu etalase lg tapi ko bisa beda merk ya dan yg hitam lebih enak di pake ketimbang yg mediumblue,bintang 5,1 bulan lalu
Cakep bngt pres body celananya😍😍😍,bintang 5,2 minggu lalu
"Clana ny bagus,tapi knp belum d coba tapi jahitannya mau lepas,tolong d cek dulu sebelum di kirim",bintang 3,1 bulan lalu
Celananya bagus  pelal pas di aku jg lembut bhn nya aku suka,bintang 5,2 minggu lalu
