review,rating,date
"Bahan halua, agak stretch, cutting dan ukuran pas, saran di bagian belakang modelnya jgn  polos tp diberik aksen floinya biar lebih Ok",bintang 5,1 minggu lalu
"Ukurannya pas, Tinggi badan 161 - 170 cm,  Berat badan < 50 kg, bahan enaken bngt ga nerawang adem bahannya. udah kedua kali beli disini, oke semua kemejanya.. nanti b...",bintang 5,
"worth it banget dengan harga segitu, bahannya juga tebal aku ambil warna soft blue dan ya sesuai harapan banget, pokoknya puas banget👍🏻👍🏻",bintang 5,1 bulan lalu
"akhirnya kebeli juga kemeja dr hulm, bagus banget sumpah adem nyaman deh, beli ini krn buat kerja sih, next beli warna lain krn uda tau bagus buanget🥺❤️",bintang 5,4 minggu lalu
"Kemeja nya bagus banget fit in body, bahannya halus, ga panas. Oke banget buat daily kantor",bintang 5,
"harga 90 k bisa dapet kemeja yang bahan nya premium menurut ku sangat amat worth it! Bb ku 47, tinggi 159, beli yg ukuran m pass , tapi ga fit banget di badan, jadi masih...",bintang 5,4 minggu lalu
"Bahannya & cuttingannya nyaman
Tidak gerah saat dipakai, namun ada setitik coretan tinta merah",bintang 4,4 minggu lalu
"cakep poll, jahitan rapi, bahan adem, pokoknya kualitas mantep deh, bagus bgt bentuk di badan😍 next beli warna lain krn sesuai dgn harga kualitas nya",bintang 5,1 minggu lalu
"Bahan adem,tadinya mau ambil size yg M semua, tp yg hitam adanya size S , ternyata masih fit ukurannya👍👍",bintang 5,1 bulan lalu
"Bahannya tebel, but di baju ku ada noda:( 1 di lengan lumayan ganggu. Aku bb 61 tb 158, xl sedikit kebesaran",bintang 4,1 minggu lalu
"jujur bajunya bagusss bangett bangettt, kainnya nyaman dipakai, pokoknyaa bagus bangetttt, tapi sayang nya aku teledor malah pencet 2 kali pemesanan alhasil datang 2 baju...",bintang 5,3 minggu lalu
"untuk yg loose fite ukuran M BB 53 tb 15 masi aman, untuk fitted biasa ukuran M terlalu ngepas, tapi overall bagus untuk bahannya g panas, g mudah kusut dan g nerawang❤️❤...",bintang 5,1 hari lalu
