review,rating,date
"Sukak pake bgt bgt bgt, nyampe nya juga cepet bgt, love. Bakal beli lagi si makasi seller",bintang 5,2 minggu lalu
"Kecil bgt buat anak sd inimah wee,warna lebih ke kuning tulang si",bintang 5,1 minggu lalu
Yg oat bahannya lebih tebel dari yg warna hitam,bintang 5,2 minggu lalu
selalu sukak beli top di ORLO💋 apalagi leo topnya cakep poll🫰🏻❣️😘,bintang 5,2 minggu lalu
Aku co 2 kaos harunya yg Dateng ini warna off white GK di kirim ka,bintang 1,2 minggu lalu
lebih tipis dari yang warna oat,bintang 4,1 minggu lalu
Woww bagus sukaaaa bgt!!! Next mau order warna lain. Tks,bintang 5,1 minggu lalu
sukak bguss good,bintang 5,2 minggu lalu
"Robekkkkk, bolong2",bintang 1,2 minggu lalu
nerawang,bintang 5,2 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,2 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
