review,rating,date
cakepp tapii tipis :( dkira tebelan dikit gt trnyta tipis tp cakep tp tipis tp ydala hrga 69rb berhrp apa sgni jg uda oke aja,bintang 3,2 minggu lalu
bagus banget sumpah bawaan nya melar ngk bikin gatal juga🤗🤗,bintang 5,2 minggu lalu
"Gilak, ini mah baju bocah SD kecil bgt
Untuk aku yg bb 55 tb 167 kek manset anjirr ngapret poll. 
Ga cocok untuk orang yg hijaban ya, kecuali kalo dipakein lua
Kualitas p...",bintang 2,2 minggu lalu
AAAA SUKA BANGET PLESSSS PEN BOROOONG😭🥰🥰🥰🥰🫦🫦🥰🫦 KAINNYA ITU TEBEL LWOOHH HUHUHUU DI LUAR EKSPEKTASI SEHH KIRAIIN BAKAL TIPES,bintang 5,2 minggu lalu
"kecil bgtttttt malah di aku kaya manset baju , cocok buat anak smp inima kayanya sii, sorry kaka",bintang 3,1 minggu lalu
"cantikk plsss sukaa bangettt ih, inii udaa orderan ke 2 aku disini sblumnya beli yang oat, thankss seller sukaa bangettt 💗",bintang 5,1 minggu lalu
"INI BENER BNER BAGUSSS , SUKA BGT PENGIRIMAN CEPAT❤️❤️🫰🏻",bintang 5,1 minggu lalu
Baju nya kyknya cuma bs dipake sama yg kurus sih. Untungnya aku bisa pake. Rasanya ketat gt msh bs melar. Bikin bentuk body jadi bagus dan lebih slim. Lengan jd keliatan...,bintang 5,3 hari lalu
Orlo emang kerennn...udah 2x belanja disini ga pernah gagal selalu puasss...bahan nya bagus oke lah pokoknya sukse terus yaa,bintang 5,1 minggu lalu
"bagusss bgt ih sukakkkk gemes, thank seller🤍",bintang 5,2 minggu lalu
bagus sesuai ekspetasi,bintang 5,5 hari lalu
"BUAGUSSS POLLL PERTAMA KALI BELIIII ,BAHANNYA TEBAL SEKALIII, TRUS ABANG KURIRNYA JUGA RAMAH BETULLLLL ,MAACIHH MIN AND BANG KURIRR 🫰🫰🫰🫰",bintang 5,3 hari lalu
bagian lengannya terlalu ngepres,bintang 5,1 minggu lalu
Bagus bahannya halusss bgttttttt,bintang 5,1 minggu lalu
Bagus bgt💟💟💟tapi untuk bb 50 ngepres bgtt🤏🏻,bintang 5,2 minggu lalu
kancingnya lepas,bintang 2,1 minggu lalu
cocok sesuai pesanan 👍☺️,bintang 4,2 minggu lalu
"cakeepp sukak, cuma agak ngepres aja",bintang 5,1 minggu lalu
trllu ketat dan tipis,bintang 3,1 minggu lalu
Kualitas produk: baguss,bintang 5,2 minggu lalu
terlalu kecil,bintang 3,1 minggu lalu
baguss bgt,bintang 5,2 minggu lalu
Bagus fix beli lagi warna yang lai,bintang 5,1 minggu lalu
Hadeeh all size nya sempiiit,bintang 3,2 minggu lalu
"Bagus, sesuai pesanan",bintang 5,1 minggu lalu
Okey bgt,bintang 5,1 hari lalu
,bintang 5,2 hari lalu
Bagus banget,bintang 5,1 hari lalu
"SUKAAAA IHHHH, TERIMAKASIH",bintang 5,1 minggu lalu
bagus,bintang 5,2 hari lalu
bgs bngt,bintang 5,4 hari lalu
Kece!,bintang 5,4 hari lalu
baju nya cakepp bgtt kaya kamu yg baca😍😍,bintang 5,1 minggu lalu
,bintang 5,3 minggu lalu
bagusss bgtt,bintang 5,2 minggu lalu
BAGUSSS BGTT ASTAGAAA,bintang 5,
sukakkkkk,bintang 5,1 minggu lalu
