review,rating,date
"Mantaf,sesuai,tidak mengecewakan bahan nya juga tebel..sukses selalu",bintang 5,4 bulan lalu
"ramah dikantong,gk nyangka sebagus ini🥰",bintang 4,3 minggu lalu
Alhamdulillah paketnya sudah nyampe dengan selamat tokonya amanah barangnya bagus,bintang 5,3 minggu lalu
"Kualitas produk: Bahanx gak tebel,, sedikit menerawang... Sesuai hrg sich",bintang 3,2 minggu lalu
"sukak banget bahannya bagus dipake juga nyaman,next bakal order lagi ini mah",bintang 5,4 bulan lalu
Bagus roknya nyaman dipakai smp bb 80 mantap mksh kk,bintang 5,2 bulan lalu
"barang cepet smpai nyaman jg d pake ini sekalian co 2,bb besar kecil ,muat smua",bintang 4,3 bulan lalu
"bahan standar dg harga segitu,melar bnyak bahanya,orang kecil ato besar muat smua",bintang 4,3 bulan lalu
Rok nya bagus cuman aku pesen warna abu tua datang nya abu muda😭 tapi gapapa sih cuman kalo abu tua kan gelap gak keliatan cepet dekil kalo warna cerah takut cepet kelia...,bintang 5,2 hari lalu
Pket smpe dengn aman.. Rokny gk tebel sedikit nerawang sich..,bintang 3,2 minggu lalu
Beda ga sama pinggang karet ny jlk ga sesuai 🤔😯,bintang 3,3 minggu lalu
"Bagus sekali aku suka banget 
 bahannya bagus",bintang 5,3 bulan lalu
"Terimakasih pesanan sdh sampai,barang bagus sesuai pesanan,seller amanah,kurir ramah",bintang 5,3 minggu lalu
Maaf untuk barang bagus.. tp entah knp barang nya bau minyak tanah. Dan belum terpakai . Td nya mau buru2 pakek . Tp udah 3kli cuci masih tetap bau minyak tanah . Ini knp...,bintang 3,4 bulan lalu
bagus dan tebal makasih tokonya amanah 🥰,bintang 5,4 bulan lalu
bagus dan tebal makasih tokonya amanah🥰,bintang 5,4 bulan lalu
Paket udh sampai dengan aman . Dengan harga segitu lumayan bagus .di pakai bagus cantik . Pas. Tapi syg baunya seperti minyak tanah . 🙏🙏,bintang 4,3 bulan lalu
"Ga nyangka sebagus ini,,poko'y jangan ragu belanja di toko ini,,sangaatt amanah sekali,,top markotop wweeehhh",bintang 5,2 bulan lalu
"Warna dan ukuranya pas bngt jadi terlihat cantik..
Maaf yaa kk baru di berikan nilai produknya soalnya baru di buka paketnya🙏",bintang 4,2 minggu lalu
Bagus kak rok rajutnyaa puas hrganya ramah di kantong,bintang 5,1 bulan lalu
Barang udah sampai tp ko belahan nya disamping ya ga didepan ky digambar,bintang 5,6 hari lalu
Alhamdulillah barng udh nyampe Peking nya rapi kurir nya juga ramah,bintang 4,1 bulan lalu
Jaitan atas berantakan bgt 😓 jauh bgt sama photo produk😢,bintang 2,2 bulan lalu
Cantik Rok Rajut Spannya kk ini sesuai yg di gambar. Next order lagi,bintang 4,2 minggu lalu
Bagus dan sesuai degan yg dileve,bintang 5,2 bulan lalu
"Alhamdulillah barangnya sesuai dengan keinginan bagus biar lah bintang yang bicara trimakasih kka trimakasih tiktok dan trimakasih abg kurir
Kualitas produk: Bagus",bintang 5,3 minggu lalu
"Bagus sih tapi bau nya kayak minyak tanah, harus di cuci dl pakai sunlite, terus di pakein pewangi deh,, tapi makenya nyaman enakeun lentur gitu",bintang 4,2 bulan lalu
Produk nya bagus aku kira untuk anak ank soal nya karet an ternyata untuk org dewasa bisa jugaa bahan nya karet jadi gk gampang rusak buruann di beli yukkk,bintang 4,3 bulan lalu
"Sesuai harga lah,harga murah bahan ny tipis",bintang 4,2 bulan lalu
"Terima kasih untuk toko nya 
Dan terima kasih untuk mas kurir nya",bintang 5,1 bulan lalu
Roknya bagus walau bahan tipis lumayan lah ok,bintang 5,2 bulan lalu
"Rok nya kurang tebel agk tipis dikit,kancing nya copot,aku jait lg",bintang 5,2 bulan lalu
Bagus. Cuman pas Dateng bau bensin. Klo size pas ya. Warnanya juga suka,bintang 4,2 bulan lalu
Rok nya bau minyak tanah di cuci juga tetep bau,bintang 4,3 bulan lalu
"Tipis , ada harga ada rupa , overall bagus",bintang 5,1 bulan lalu
"Alhmdulillah rok rajutnya udah datang, pengirimannya cepat, bahannya bagus tebal, aku suka, tokonya sangat amanah, mksh seller, mksh juga bang kurir",bintang 5,1 bulan lalu
Mksih Sdh kesekian kalinya berbelanja di sini bahan bagus sekali kwalitas oke banget,bintang 5,2 bulan lalu
Bahannya bgus tebal. Di pkeknya juga nyman bnget. Gk nyesel bli di tko ini. Kualitas bhan juga ok lh.,bintang 5,3 bulan lalu
Bahan sesuai harga . Kancing nya cuma ditempel jadi ada yg copot,bintang 4,1 bulan lalu
"Paket sudah sampai, hitam dn coklat sesuai gambar  sya suka terimakasih..",bintang 4,1 minggu lalu
Jahitan pinggang ga rapih tp gapapa ga begitu keliatan kalo udh dipake,bintang 4,2 bulan lalu
Bahan nya bagus nyaman di pake  saya suka,bintang 5,3 bulan lalu
"Real pict . Pengiriman cepat , barang oke sesuai harga seller amanah",bintang 5,2 bulan lalu
"syukaa,enak dipake,tb 140 pas gak kepanjang next order lgi",bintang 5,2 bulan lalu
Kualitas produk: Bagus tebal tapi sayng pengeriman nya lama,bintang 4,1 bulan lalu
Bagus roknya sesuai pesanan bahan lumayan dengan harga segitu kurir langganan,bintang 5,1 bulan lalu
"Alhamdulillah sblm lbrn sdh nyampe, trim,s reseller.. mantap 👍.",bintang 5,1 bulan lalu
"Roknya cantik, apa lagi buat q yg BB 67 tetep bagus di pake dan bikin tambah PD.",bintang 5,2 bulan lalu
"Bagus sekali aku suka
Kualitas produk: Bagus",bintang 5,3 bulan lalu
"Bgs roknya,pas banget,cpt nyampe jg. Tp knp bhnnya bau minyak ya kk..nyengat banget baunya...",bintang 5,1 hari lalu
Alhamdulilah pesana sudah mendarat setelah ku buka sesuay pesenan bagus nyaman d pake nya kualitas ok,bintang 5,3 bulan lalu
"Bagus banget roknya. Melar. D pake jadi ngbentuk. Ngepres. 
Bagus banget pokoknya. Nanti mau beli lagi. 😁😁",bintang 5,2 bulan lalu
"Barang nya bagus 
Pres sama body ak yg gemuk",bintang 5,1 minggu lalu
"Paket udh dtg... sumpah bgus bgt, murah tpi kualitas ga murahan😍",bintang 5,2 bulan lalu
"Roknya bagus, pas banget, sangat memuaskan,, otw order lgi warna lain🥰",bintang 5,1 bulan lalu
Ka ini gimana ya bolong gini rok ya,bintang 1,3 hari lalu
Psen abu tua yg dtang abu muda,bintang 5,4 bulan lalu
"Paket saya sudah datang, bagus  sesuai pesanan dan murah Lg pokoknya kualitas produknya bagus.",bintang 5,1 bulan lalu
barangnya bagus cocok di badan,bintang 2,4 minggu lalu
Aku suka banget sesuai dan cocok juga untuk aku,bintang 5,1 bulan lalu
"Pesenan sudah dtng bgus bhn nya asli rajut warna nya juga oke 
Toko nya amanah kurir nya juga ramah maksih sukses selalu 👍👍👍",bintang 5,2 bulan lalu
Mkasih udch sampe....produk bagus.murah tp gak murahan...Nex order LG🙏,bintang 5,3 minggu lalu
Alhamdulillah brng bgus tp jahitanya kurang rapi tp suka si,bintang 5,1 bulan lalu
Bagus pas tidak menerawang worthit bgt dg hrg segitu.,bintang 5,3 bulan lalu
Ok brg dah nympk bagusi tp jahitan agak sobek dikit trms kk,bintang 5,1 hari lalu
"Bahan rok tipis, terawang banget. Nyesal saya beli. Dan press bodi banget. Kualitas 0. 👎.",bintang 1,1 minggu lalu
Cantik dan bagus banget emang gak nyesel deh beli di toko nya,bintang 5,2 bulan lalu
Bagus bhanya tebal,bintang 5,4 bulan lalu
Agak kecewa sih psen wrna nevy eh yg dtang mlh wrna hitam😢tp gx pp lah brang bgus dn tebal jg.,bintang 4,1 bulan lalu
Baguss rajutnya yg tebell bukan yg nerawang,bintang 5,2 bulan lalu
"Semua ok,bahan tebal dan ngikutin body",bintang 5,2 bulan lalu
Bahannya ternyata tipis nerawang lgi,bintang 5,1 bulan lalu
Pket nya udh dtng alhmdulilah bhn nya tbal bgus ckup di sya ..pengirimn cpt ..trimakasih saller ..bng kulir nya rmh,bintang 4,1 bulan lalu
"Kancingnya hitam
 Mungkin kalau putih sesuai yg di gambar pasti lebih bagus lagi",bintang 5,2 bulan lalu
Kualitas produk: Bahannya bagus.mantul,bintang 5,2 minggu lalu
Bahan bagus tebal murah lgi sy puas,bintang 5,1 bulan lalu
Bagus banget gak nrawang pas di Badan aku pokok nya 👍👍,bintang 4,3 minggu lalu
Bagus pas bngt... Maksih tuk toko ny dh amanh,bintang 5,2 bulan lalu
Nyaman di pake sangat elastis… cakep,bintang 5,2 bulan lalu
Bagus banget rok nyo.aku suka.semoga toko nya amanah,bintang 5,2 bulan lalu
,bintang 5,4 minggu lalu
real pict bajunya.... sesuai dengan harganya,bintang 4,1 bulan lalu
"Barang realpict,sesuai dengan pesanan 
Terimakasih seller dan Abang kurirnya",bintang 5,4 bulan lalu
Paket sdh sy trima bagus tp nerawang sesuai hargalah mkc seller mkc mas kurir,bintang 5,1 bulan lalu
"M""f baru blz ulasan..Allhamdulillah barng y bagus banget😊😊",bintang 5,1 bulan lalu
"bagus dn amanah tokonya
kurirbya baik dn sopan",bintang 5,2 bulan lalu
"Tipis bgt,nerawang.sesuai lah sama hrga nya",bintang 2,4 minggu lalu
"Mas,af  kasih ulasan terlambat  paketnya sudah nyampek sesuai pesanan trimakasih semuanya 👍👍 reeal q suka semonga toko nya amanah 👍",bintang 5,1 bulan lalu
Baguss banget roknya 👍👍🥰suka banget makasih seller,bintang 5,4 bulan lalu
Alhamdulillah pesanan a dh dtg bagus Q suka sukses untuk olshop'y,bintang 5,3 bulan lalu
Bagus bahan juga bagus makasih,bintang 5,4 bulan lalu
Dngn hrga di Bwah 35 RB sy suka dan mau cekout lagi....,bintang 5,2 minggu lalu
Rok nya bagus.sesuai dgn contoh ..mksh byk,bintang 4,5 hari lalu
"Ok mantab
Kualitas produk: Ok baguss",bintang 5,3 bulan lalu
kancing mudah lepas hnya di lem,bintang 3,4 bulan lalu
Alhamdulillah bagus ..sesuai ekspektasi aku ..,bintang 5,1 bulan lalu
Rok nya bagus... Nyaman di pake..,bintang 5,4 minggu lalu
Sesuai pesanan dan bagus banget,bintang 5,1 bulan lalu
"Mantap, murah lagi🥰",bintang 5,2 minggu lalu
Paket sdh diterima.. Ups.. Terawang ya trnyata saya punya rok rajut tp gak terawang   yach...,bintang 4,1 bulan lalu
Syuka banget SM rokx mksiii kak next order laagi,bintang 5,1 bulan lalu
Trimakasih roknya aku suka bagus banget pas di badan,bintang 5,2 bulan lalu
Gak sesuai warnanya minta abu tua di ksih abu muda gak amanah,bintang 1,3 bulan lalu
Barang nya bagus sesuai pesanan,bintang 5,1 bulan lalu
Jngn bli disini mesen 2 ko dikirim 1 gk amanah bgt si ini toko,bintang 1,2 bulan lalu
"Real pick banget,bagus rok nya aku suka",bintang 5,3 bulan lalu
Bguss ak syuka rock ny PS juga,bintang 5,4 bulan lalu
Kecil baget,bintang 3,3 bulan lalu
Roky terlalu pendek dn nerawang,bintang 3,2 bulan lalu
Yg d pesen warna Bronze yg datang warna hitam.. Parah... D teliti dong klau mau Peking.,bintang 2,2 bulan lalu
Real pict bgt. Mksh buat toko nya. Aku suka rok nya,bintang 5,1 bulan lalu
barang nya bagus sesuai yng di minta,bintang 5,3 bulan lalu
Oke lah rok harga 33 rb,bintang 4,3 bulan lalu
"Bagus sekali ,sudah 2x beli di sini",bintang 4,3 bulan lalu
Bahan nya bagus. Pas body,bintang 5,4 bulan lalu
Manta bagus murah pula🥰,bintang 5,2 minggu lalu
Bagus cuma agak pendek,bintang 5,3 bulan lalu
Ampun tipis banget rok nya,bintang 4,2 minggu lalu
Rok nya bagus,bintang 5,1 bulan lalu
Nerawang parah jahitanya super jellek saya engc bohong demi allah,bintang 1,1 bulan lalu
Bagus agak nrawang ya belom di coba,bintang 5,4 minggu lalu
Tipis banget,bintang 4,2 minggu lalu
Aku kecewa pesan yg ke 2xnya minta warna nepy yg datang warna hitam,bintang 1,3 bulan lalu
"udh datang ya ,, lumayan lahh sesuai hargaaa",bintang 3,4 bulan lalu
Nyaman di pake… baguss,bintang 5,2 bulan lalu
Suka bngt😍😍,bintang 5,3 bulan lalu
Barang bagus aslinya,bintang 5,3 bulan lalu
Pesen abu tua tpi yg datang abu muda,bintang 3,2 bulan lalu
Bagus suka dengan modelnya 👍,bintang 5,1 minggu lalu
"nahan tebal, bagus",bintang 4,1 bulan lalu
Tipis bangett ga sesui,bintang 3,3 minggu lalu
Wuihhh bagus bangettt,bintang 5,2 bulan lalu
rok nya bgus bget,bintang 5,4 minggu lalu
Belahanya kurang keatas dikit,bintang 3,2 minggu lalu
Real pic bagus bagus bagus,bintang 5,3 bulan lalu
Kecewa kenapa saya pesen warna Carol yang di kirim warna pink tak sesuai pesenan,bintang 1,2 bulan lalu
Sesuai harga,bintang 5,4 bulan lalu
Bagus bgt di pake y,bintang 5,2 bulan lalu
Bagus,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 4,2 bulan lalu
Bagus bngt sesuai foto,bintang 5,2 bulan lalu
