review,rating,date
"Bagus banget sesuai banget sama uk badan aku ,bahan yang di pake lembut halus tebal gak kaku ,gak nyangka banget harga murah tapi kualitas gk murahan",bintang 5,4 minggu lalu
bagus banget paketnya aku sangat suka aku kira rok nya ga ada karetnya ternyata ada panjang nya pas dan juga warnanya sesuai dengan gambar cuman jahitannya aja kurang rap...,bintang 5,2 bulan lalu
Untuk bahannya nyaman enak dan pas untuk tinggi ku si 143/144  masih ke panjangan untuk ku tapi ngk papa baguss kok oke  dan pas makasih yh mbk/kk,bintang 5,2 bulan lalu
"UK pass, cuma agak tipis bahannyaa sesuai seehh dengan harga segituu
Tapii bagus sesuai pesanan👍👍",bintang 5,3 bulan lalu
"Trnyata bahan nya TDK melar,,bahan e kasar,makanya hrga nya murah.",bintang 4,1 bulan lalu
"Cantik sekali, 😍😍😍sesuai barang nya 🥰",bintang 5,1 minggu lalu
"barang nya bagus, sesuai harga, warna nya juga bagus cream",bintang 5,2 bulan lalu
"Kok bisa belehan ya belakang nya sy kira nggk JD kurang aj, tp gpp",bintang 3,3 bulan lalu
Paketnya sudah sampai bagus dan pas banget,bintang 5,2 bulan lalu
"bagus,wrna cream,uk standar,pas",bintang 4,3 bulan lalu
ini gimana sih saya pesen 2 tapi malah datang 1 sangat mengecewakan,bintang 1,2 bulan lalu
"Bahannya bagus harganya juga terjangkau
Tp agak sedikit kegedean tp juga bisa di kasih sabuk👍👍",bintang 5,3 bulan lalu
"Kualitas produk: bagusss
bahannya ademm, enak di pakai, ukurannya juga pass, untuk pinggang nya ke lebaran sedikit tpi gapapaa ttp baguss cocok di baju apapunn",bintang 5,2 bulan lalu
"barangnya sudah datangg sebenarnya datangnya kemarinn tpi karena saya tidak dirumah roknya dikirim hari ini 
roknya bagus tebal nyaman dipake gk nerawang di bb 33 agak ke...",bintang 4,2 bulan lalu
Bagus pas lagi  👍 the best TPI bahan nya kaku,bintang 4,3 bulan lalu
"kedatangan paket lama banget,
Produk bagus, warna sesuai
Kualitas produk: nga tebel tapi lumayan",bintang 3,3 minggu lalu
"Bhan aga kasar ya mudah"" An anak aku suka aga kaki gth sih bhn nya",bintang 5,2 bulan lalu
Sangat bagus sekali sesuai dengan gambar datang x tepat waktu,bintang 5,5 hari lalu
"bagus banget ga nyangka, cuman sayang di aku ternyata kesempitan dikitt banget, bahannya lumayan tebel, pengiriman nya juga cepat, tapi bakal order warna lain sih🥰",bintang 4,2 bulan lalu
"Bahannya bagus sesuai lah sama harganya 
Tapi ini kenapa belahan yg hrus nya di belakang jdi di depan ya ka aga kecewa si jdi hrus ke tukang jahit buat ngilangin belahan...",bintang 4,1 bulan lalu
"Super duper mantap poll produknya gak kaleng kaleng kualitasnya super tebal,bahanya super lembut ,nyaman di pake gak kusut kainya thank yau buat sellernya ya🤩😘",bintang 5,1 bulan lalu
"Real pick banget... Bahan halus, tebel dan toko amanah, gk nyesel beli di toko ini",bintang 5,2 bulan lalu
"roknyaa baguss, bahannya agak tipis tapi ga nerawang dan tetep bagus kok, worth it dengan harga 40rb!",bintang 5,1 bulan lalu
Kak saya beli dua kok datang nya satu androk yah. Di paket nya juga tulisannya total dua pcs.kokdatang nya satu gimana ini.,bintang 1,2 bulan lalu
"Barangnya bagus,yng dtng sesuai dng dipesen",bintang 5,3 bulan lalu
Rok nya bagus tapi agak kekecilan dikit tapi bagus banget,bintang 5,2 bulan lalu
"Pengiriman cepat,packing rapih,rok nya bagus,bahannya tebel,kualitas top bgt deh..",bintang 5,1 bulan lalu
"Bagus kegedean tapi aku suka warnanya juga sama seperti di gambar
Kualitas produk: Tebal sesuai di gambar",bintang 5,4 bulan lalu
"pesanan sesuaaii,bahann nyaaa ademm pokoknyaaa bagusss👍🏻",bintang 5,3 bulan lalu
"Pengiriman cepat, barangnya bagus dengan harga segitu
Kualitas produk: Baik",bintang 5,1 bulan lalu
"maaf ya aku ksi bintang 2 doang soalnya kotor, juga kotornya susah diilangin",bintang 2,1 bulan lalu
"bagussss bangetttttt ga nyesel beli di siniii,kainnya sesuai ekspektasi tebell dengan harga segitu worth it bangetttt Jagan ragu lagi dehhh..😻🤭",bintang 5,1 bulan lalu
udah datang bagus bahan juga adem suka pengiriman jg cepet pokoknya gk rugi,bintang 5,3 bulan lalu
udah datang bagus bahan juga adem suka pengiriman jg cepet pokoknya gk rugi,bintang 5,3 bulan lalu
Rok cargo yg sangat bagus...nyaman di pake  utk jalan2 .. pokoknya sangat recommended,bintang 5,4 bulan lalu
"Bagus bangett,pas juga di aku dan pengirimannya cepat,beli kemarin datang hari ini",bintang 5,3 bulan lalu
Bagus sayangnya pesen abu² yg dtang coklat,bintang 3,2 bulan lalu
Kualitas barang nya bagus sesuai sama harga dan sama yg di foto,bintang 4,2 bulan lalu
"Jahitan lumayan rapi, tapi bahan kakuu.
Ya sesuailah dg harganya.. tentunya ada harga ada kualitas.",bintang 5,2 bulan lalu
"Gw kira bakalan nggk sesuai, eh ternyata pas sampai sesuai bgt🤩
Dan kurir nya ramah
Juga datang dengan tepat, tidak lama datang nya.",bintang 5,1 bulan lalu
"Kualitas produk: Bahan kasar
Kecewa belanja di toko ini",bintang 3,2 bulan lalu
Bahannya sesuai harga modelnya bagus makasih 🙏,bintang 5,1 bulan lalu
Rok nya bagus kainnya ok lh setara dengan harga cuma yng gk sesuai itu warnanya,bintang 5,2 bulan lalu
Barang nya bagus sesuai dengan dilive SMG jual nya laris manis dan slu amanah 👍👍,bintang 5,3 bulan lalu
Kualitas produk: baguss jahitann rapihh ukuran nya pass sekalii,bintang 5,1 bulan lalu
"baguss bngtt, bahan nya lumayan tebal dan sesuai ekpetasi🥰",bintang 5,2 bulan lalu
Warnanya beda banget sm yg difoto yg datang malah kaya warna rok OSIS jelek bngt warnanya,bintang 3,3 bulan lalu
Barangnya sangat sesuai 😍😍😍😍😍😍😍,bintang 5,1 minggu lalu
Warna nya cocok dan kualitas bagus,bintang 3,2 bulan lalu
"Bagus suka banget pesanan ke 2 nya,kurir ramah",bintang 5,3 bulan lalu
"beli 3 yg dateng cuman satu, udah bayar 3 gimana e ini kok gk amanah,  mau komplain sayange pas buka gk aku videoin,, karena dh percaya secara ini bulan puasa loh",bintang 1,1 bulan lalu
Udah pernah beli sebelumnya emang bagus banget sihh☺️cocok buat yang tingginya 140 bb40.,bintang 5,2 bulan lalu
Aku suka banget sama rok nya gak bakal rugi kalo beli rok ini,bintang 5,1 bulan lalu
"Barang sesuai..dan lumyan pengiriman sesuai
Mudh2h bisa jadi langganan",bintang 5,1 bulan lalu
bagus sesuai pesanan,bintang 5,3 minggu lalu
"Paket sudah sampai sesuai pesanan, kurirnya ramah, pesanan cepat makasih",bintang 5,4 minggu lalu
"Oh my God, bagus banget woy buat harga segitu wortid bnget sih,otw cekaout lagi sih ini , tengkyu 😲😲😲💗💗💗💗💗💗💗💗💗",bintang 5,2 bulan lalu
"Kecewa banget, saya mesen 3, tapi datang nya cmn 1, mana beli harganya 105.000, kecewa bnget, pdahal udah excited bakal dateng, karna mau di pake, ternyata cmn 1 yg datan...",bintang 1,1 bulan lalu
Sukaa bngett😍👍🏻lucuuu ada sakunyaa jugaa🤩sesuai bngett terimakasih👍🏻🤩💗,bintang 5,2 minggu lalu
"Bagusss polll, sesuai ga mengecewakan,next order warna lain❤️👍",bintang 5,1 bulan lalu
"Bagus pengiriman cepat,kurir ramah",bintang 5,3 bulan lalu
rok nya rada sempit di bagian paha dan aga kurang panjang buat ukuran badan ku rada kesel dikit si padahal rok nya bagus baget malah ga muat,bintang 4,3 minggu lalu
"bahannya bagus ngga kaku juga, warnanya cantik sama kaya di gambar, tapi gampang kotor kalo kena minyak, jadi aku kasi bintang 4 dulu yaa 😙",bintang 5,1 hari lalu
"bagus bgt, nyaman dipakai",bintang 5,1 bulan lalu
"Kualitas produk: Bagus nyaman dipakai,ukuran nya di aku masih kebesaran dikit next time bakalan beli lagi.",bintang 5,4 hari lalu
Bagus pas tapi bahan nya tipis ya terus modelan di belakang nya sobek tapi lumayan,bintang 4,3 bulan lalu
"bahan sesuai hargaa, tapi menurut aku segini udah enak banget nyaman dingin juga, mines nya cuma di nerawang dikit jd harus pake daleman, overall ini udah keren banget en...",bintang 5,1 bulan lalu
"Rok nya bagus,bahan tebal tapi tidak berat saat di pakai.
Jahitan rapi dan kuat.
Warnanya cantik",bintang 5,1 bulan lalu
"Bagus banget, bahannya halus, dan sesuai banget",bintang 5,1 bulan lalu
"Kualitas produk: bagus, baik
warna : cream
ga nyangka roknya bakal sebagus inii, padahal harganya cuma 40rb tapi bahanya baguss bangett, ga nerawang, ga tipis (bahannya t...",bintang 5,3 bulan lalu
"Sangat suka dengan bahan dan modelnya.  2x Chek out,  karna nyaman sekali di pakai",bintang 5,2 minggu lalu
Kualitas produk: bahan nya bagus dan ukuran nya pas banget,bintang 5,1 bulan lalu
Sumpah bagus banget kualitas nya bagus gak nerawang dan harga nya juga terjangkau,bintang 5,2 bulan lalu
"Bahan tipis tpi tdk nerawang,cocok lah buat sehari hari",bintang 4,1 bulan lalu
"Bagus sekali bahan nyaa,enak di pakai,saya suka sama bahannyaa",bintang 5,3 minggu lalu
"Lumayan bagus sesuai harga ya,bahannya agak tipis.",bintang 4,2 bulan lalu
bahan bagus kualitas oke kurir ny pun ramah,bintang 5,1 bulan lalu
Bagus bangett bahannya enak buat di pake pokonya ga bakal nyesel deh,bintang 5,1 bulan lalu
"Bagus,pengiriman cepat dan suka banget walaupun GK pas dibadanku tapi tetap bagus👍🏻",bintang 5,3 bulan lalu
"Rok nya bagus banget ,pas dipake suka banget pokoknya nanti mau pesen lagi",bintang 5,3 bulan lalu
Rok nya cakep sesuai dipake buat anak muda dan pas juga ukuranya,bintang 5,2 bulan lalu
Bagus.. bahan nya juga tebal pas di pakai👍👍👍,bintang 5,3 bulan lalu
Bahan nya bagus tebal dan sesuai sama di gambar hanya kegedean di pinggang nya aja 👍,bintang 4,2 bulan lalu
Barang nya bagus cuma agak kepanjangan sedikit,bintang 4,2 bulan lalu
"suka banget sama rok cargo ini. sangat nyaman, harganya juga sesuai sama kualitas. pengirimannya cepat banget 😻🫰🏽",bintang 5,1 bulan lalu
"bahan bagus dan jahitan rapi worth it dengan harga 37.000 saja sudah dapat lohh😍😍😍
Kualitas produk: sangatt bagus dan rapi",bintang 5,3 bulan lalu
"bagus banget,bahan sesuai lah dengan harga,cakepp poll",bintang 5,1 bulan lalu
