review,rating,date
alhamdulillah udh nympe packing nya juga aman bahan nya bagus lembut dan ini aku bli yang ke 3 kali nya tpi ko warna nya beda yaa sama yng di poto apa emng asli nya gini,bintang 4,2 hari lalu
"akhirnya dapet juga uk 27 tpi diaku untk (bb 43/tb159) masih kegedean plus kepanjangan, tpi gapapa...detail bahannya bagus dan juga rapi 
suka deh pokoknya😻 semoga selal...",bintang 5,1 minggu lalu
Ukuran pas banget dan fittingnya oke banget,bintang 5,5 bulan lalu
"Terimakasih paketnya sampai, ekspedisinya telat soalnya paket aku kebawa sampe kepontianak 🙂😭
Untuk tb/bb 165/67 ukuran 33 kegedean, kalian bisa pilih ukuran 31-32
Kual...",bintang 5,6 hari lalu
"baguss bet anjayyyy, kece berasa anak skena abiezzz😋 tapi kegedean, ya gapapalah masih bisa dipermak.
jinisoo love bngttt😍gatau udah beli yg keberpa kali dsni",bintang 5,5 bulan lalu
Celana ny sdh sampai bwh ny gede bgt ya emg model ny bgni ya haha sampe kaget pas buka aq ny pendek motong ny lmyn bnyk jg tp warna sh ok pinggang pas,bintang 5,2 minggu lalu
Bagus bangett sukaaa salah pilih zise tp gpp kebesaran dikit dan kepanjangan di TB aku 155 BB 68,bintang 5,6 hari lalu
"bagussss bngttt sii iniiii🤩🤩 kaliannn wajibbb beliiiii,,,iniii di aku kepanjangan doangg soalnyaa akuu pendekkk",bintang 5,1 minggu lalu
Celananya bagusss bgttttt sumpah g nyesal klo co bnyk buat restock karna sebagusss ituuuuu⭐️⭐️⭐️⭐️⭐️,bintang 5,2 minggu lalu
"kok ginj yaa wrna nya beda bgt sm yg di photo, ini wrnanya kaya biru kuning kotorrr gitu ih gasukaaa:(",bintang 2,2 minggu lalu
"Ukuran : 33
Sumpah ini bagus bangettt parahhh, kirain bakal gak kuatt ternyata malah agak kebesaran sedikit harusnya milih ukuran 32 mungkin lebih pas di bb aku 70 tb 170...",bintang 5,6 hari lalu
"bagus bgt sesuai ekspektasi aku, untuk bb 55 tb 155 yg bagian pinggulnya gede, pas banget ambil ukuran 30. 💓",bintang 5,2 minggu lalu
bagus aku ukuran 27 paling kecil tapi panjang banget di aku apa aku yg pendek ya tapi bagus kok suka cuma panjang nyaa aja yg kalo jalan aga gk enak jadi aku lipet pake p...,bintang 5,3 minggu lalu
"bagus bgt celananya ih, ternyata celananya cocok bgt dipake sama kaki yg bentuknya O kya punyaku😭",bintang 5,1 minggu lalu
"bahan nya bagus, enak, dingin, gk kasar kalo di pakai, jahitan nya rapi gk mencong"", lembut halus, nyaman di pakai, buat yang mau beli jngn bimbang/ragu, ini beneran...",bintang 5,2 minggu lalu
"bagus bngt, walapun aga kepanjangan buat tb aku yang 160 tpi it’s okay bisa di potong",bintang 5,6 hari lalu
770 ternyata warnanya ga kaya abu abu yaaa🥲 bagus sih tapi aku kurang suka warananya huaaa. mau yang kaya abu abu gituu 🥺,bintang 4,2 minggu lalu
"Bagus jeans dan bahannya, pas utk BB 64 wlw kepanjangan..paksu jd mau calana yg versi cowoknya..",bintang 5,2 hari lalu
Cln terlalu besar bagian kaki nya  terlalu gombarang tidak cocok untuk dipakai tidak sesuai degan expetasi,bintang 3,2 minggu lalu
"buat bb 74 tb 160 muat banget, cuma kepanjangan aja tapi gapapa, best dehh lain waktu bakal beliin lagii. paket nya juga aman ga ada yang sobek atau apa.",bintang 5,2 hari lalu
"alhamdulilah datangnya grecep dan amanah 
barangnya pun sesuai dengan keinginan anak2",bintang 5,2 bulan lalu
bahan bagus dan sesuai dengan keinginan worth it banget 🥰,bintang 5,2 minggu lalu
"Baguss bangeett type bahan jeans yang aku sukaa apalagi model baggy jeans begini cocok di akuu, bakal repeat order lagi warna yang lain😍😍🥰🥰❤️❤️❤️",bintang 5,1 minggu lalu
Paket udah di terima. Bahan bagus . Hanya saja pinggangnya kekecilan dan kepanjangan . Harus ngrombak 😭. Bb50 .,bintang 4,2 minggu lalu
"jiniso ga pernah ngecewain sihh,tb 168 bb 58 ukuran 29 pass tpi ga pas bngt smpe sesekk,intinya jgn ragu co gais😘",bintang 5,1 minggu lalu
"Gilakkkk baguss bgt!! kemaren aku sempet beli merk lain tapi nggk sesuai ekspetasi karna tergiur harga murah. jadi balik lagi ke jiniso yang mantull dr bahannya, ukuranny...",bintang 5,1 hari lalu
"bagusss bangett, sukaaa banget sihhh bahan nya juga bagus banget pakoknya sukaaa banget",bintang 5,1 minggu lalu
"WOI CAKEPPP BGTTT, bahannya enakk ademm, warnanyaa jugaa cakepp, tpii menurutt akuu warnaa di ftonya sama aslinya lumayan jauh bedaaa, tpii overall BAGUSSS BGTT!!!",bintang 5,1 minggu lalu
"kirain bakal ke ijoan gtu, trnytaa mirip' 685 jir gada ijo nya, but overall good 💯",bintang 5,2 minggu lalu
"cakep bgtt oiii, next bakalan beli lagisii uk 28 buat bb 49 tb 160+  kaya aku pas bgt d bagian perutt🤍🤍, tapi kepanjangan its okay laaa lufyuu mimin🫰🫰",bintang 5,2 minggu lalu
"sesuai expetasi
barang ORI,tapi untuk tinggi badan di bawah rata rata mah terlalu kepanjangan overall bagus",bintang 5,4 bulan lalu
"baguss bgtt, seharus ny aku ambil ukuran 27/28 tp kmrn kosong dan mumpung lg flashshale jadi yaudah langsung CO aja, tb 160 bb 46 gombrong bgtt tp aku kecilin pinggang do...",bintang 5,2 minggu lalu
"Celana nya bagus untuk TB 170,BB 68 dan besar di bagian paha, aku ambil yang ukuran 33 itu pun masih kebesaran, mungkin yang pas di ukuran 32,tapi gapapa lebih baik kebes...",bintang 5,1 minggu lalu
"Barang sesuai pesanan, warnanya bagus, pengiriman jiga cepat, respon penjual baik, nyaman dipakai BB 53 TB 165 UK 29 Pas dipakai, makasi Kak",bintang 5,1 minggu lalu
"YAAMPUNN JEANS NYA TERLALU BAGUS MINJII, NEXT TIME ORDER LAGI DEH 🤍🤍",bintang 5,2 minggu lalu
"🔥🔥🖤, dari bahan, cuttingan, kualitas, there's no more to say. Love it🖤🔥🔥",bintang 5,8 bulan lalu
"celana nya sesuai bagus
Kualitas produk: bahan nya sesuai",bintang 5,3 minggu lalu
Ukurannya terlalu kecil Berat badan 61 - 70 kg.. mungkin aku yg terlalu gundut,bintang 5,
"mantap, bagus banget asli cuma di gw rada kebesaran harusnya UK 27 tp hbs jd plih 28,tp gpp bagus ko🥰🥰",bintang 5,2 minggu lalu
"Kualitas produk: bagus bnget, dri yg gasuka Bhan jeans jdi suka bnget krna liat jnso😍😍uk 27 untuk BB 45 TB 160 di aku kekecilan hrusnya 28😅",bintang 4,1 hari lalu
"Beberapa tingkat lebih gelap dr pict,sesuai deskripsi,sangat bagus,cukup di BB73,TB 174,packing rapi,pengiriman cepat",bintang 5,2 minggu lalu
nice cmn garis v nya ngebentuk klo ps jalan gitu,bintang 5,2 minggu lalu
"Ukurannya pas Tinggi badan 161 - 170 cm Berat badan 61 - 70 kg

bahannya bagus dan tidak tebal , modelnya jg kekinian 👍🏽",bintang 5,
Ukurannya ga cocok sma orang pendek. Tp modelnya baguss keren bahan bagus,bintang 5,3 minggu lalu
"bagus banget aku suka sama warna nya, kualitas nya juga bagus,  cepet si kalian cek out takut keburu abis",bintang 5,2 hari lalu
Di katalog warna nya grey tpi yg datang abu kekuningan plus jg bahannya tipis dan biasa aja kirain bakal bagus krna harganya jg lumayan 2ratusan ternyata cmn menang nama...,bintang 2,6 hari lalu
mantap sesuai pesanan barang bagus original pengiriman sangat cepat terima kasih,bintang 5,4 bulan lalu
"bb 55 tb 148 pake uk 29, aga kebesaran di pinggang ama kepanjangn tapi aku kecilin dehh, bahan nya enaken parahh❤️",bintang 5,1 hari lalu
"Bagus bgtt, agak kepanjangan dikit di tb 160, slalu beli jeans di jiniso karna emang kwalitas dan modelnya slalu bagus 👍",bintang 5,1 minggu lalu
"bgss bgtt omgg❗❗
cwe mungil ky aku si aga ribet ya harus potong² celananya, tp gpp ko ak sukaa😻",bintang 5,2 minggu lalu
Bagus bnget sih bahan nyh juga lembut,bintang 5,3 minggu lalu
baguss cuma agak beda warnanya sama di fotonya,bintang 5,2 minggu lalu
"Bagus bgt,,,gak nyangka aq ampe segitu suka nya,,, pas d pinggang cuma kepanjangan doang like bgt pkonya",bintang 5,1 minggu lalu
"Bahan nya lembut adem , pokoknya bagus bangettttsss .... next order lg 😊",bintang 5,2 hari lalu
"Bagusss bngettt, barangnya sesuai dengan yang di foto, cuman salah ambil size jadi kepanjangan",bintang 5,1 hari lalu
Masyaalloh GK espek bakal sebagus ini  BB aku 48 TB aku 150 pek banget cuma agak Penjang sedikit TPI bagus bnget masyaalloh lovyu,bintang 5,1 minggu lalu
Celana nya udah sampe kk bagus banget sesuai dengan yang dipesan....pengiriman cepet order siang tadi pagi udah sampe....mantap,bintang 5,2 hari lalu
"pengiriman cepat, bagus bnget uda 4x beli celana di jiniso, ga pernah kecewa sma barangnya, keceeee 🔥",bintang 5,1 minggu lalu
"Sumpah ini sih bagus bnget sih,,,g nyangka bakal sebagus ini🫰🏻,,",bintang 5,1 minggu lalu
Bagus sesuai bahhhannya juga enakk tapi panjangnya juga pas di aku kskian kalinya beli produk jiniso g pernah gagal💗💗💗💗,bintang 5,1 minggu lalu
"bb/tb 46/155 pinggangnya pas, bawahnya kpnjangan dikit tpi bisa ditambahain sepatu lucu banget sukaaa",bintang 5,2 minggu lalu
Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,bintang 5,
baguss banget pas lagi cocok bgttt,bintang 5,1 hari lalu
Bagusssss bgt gpernah nyesel mesen di jiniso ada harga ad kualitas 🥰,bintang 5,2 minggu lalu
Bagus ya jadi keliatan tinggi 😍,bintang 5,1 minggu lalu
"AAA setelah beli jiniso 6x dengan model yang beda, akhirnya aku menemukan celana paling passsss dan match my outfit soooo well🤙🏽><

gonna repurchase dengan model...",bintang 5,8 bulan lalu
kenesaran aku ambil size 31 mangkannya kebesaran disuruh kk ku nekuk di penjahit,bintang 5,1 minggu lalu
"AAAA BAGUS BANGETT🤩🤩🤩 bener bener sesuai ekspektasi woii, celana nya ngepas di akuu😻😚 btw aku tb:168 bb:46/47",bintang 5,1 minggu lalu
"sukakk samaa celana nyaa bagusss bnget woyy , bhn nya juga bgus pokoknya best , cumn di aku bagian pinggang nya  longgar hihii😻😻💗💗",bintang 5,1 minggu lalu
"aslii baguss banget, banget banget, sukaa sukaaa",bintang 5,3 minggu lalu
Wowwww ternyata betul nyaa hargaa tidakk jauhh dengan kualitas nyaa celana nyaa baguss bgettt enakk dii pkaii dan engga gatell sama sklii 👏🏻👏🏻😻😻,bintang 5,1 minggu lalu
Terima kasih banyak kak barangnya bagus banget dan saya pun senang,bintang 5,3 minggu lalu
"BAGUSSSS BANGETTTTT WOIIIII, JANGANN RAGUUU UNTUKKK BELIII CELANA DI SINIII BINTANGGG 5 SIIEEEE AK UD PUNNYA 5 CELANAA DARIII SINIII GA MENGECEWAKAN POKOKNYA MANTAPPPPPPP...",bintang 5,3 minggu lalu
"BAGUSSS BANGETTTTTTTT SUMPAAA, tapi ini warnanya emang gini atau sala kirim yaa, tapi tetep ajaa sukaaaa soalnya baguss bangett😭😭",bintang 5,3 hari lalu
"Sesuaii,, mskipun agak kpanjangan",bintang 5,2 minggu lalu
"keren banget celananya
real pict suka bnget
mantull pokoknya 👍🤗",bintang 5,7 bulan lalu
"gaisss jujur cakeppp bangett ga booonggg,love u sekebon 💋🫵🏻🫶🏻😋",bintang 5,1 minggu lalu
"Sering order , pertama kali jaritan nya kedua kantong lepas”",bintang 2,1 minggu lalu
"cakep banget,keren sukaa bangettt,bakall beli di sini lagiii sihh🤩🤩🤩",bintang 5,1 minggu lalu
"bagusss bnget, tpi di aku kegedean soalnya ak pundekk",bintang 5,2 minggu lalu
Barang sesuai,bintang 5,2 minggu lalu
ke sekian x nya belii jiniso..paket nyampe dengan aman..cepet lagi,bintang 5,1 hari lalu
baguss bangetttt warna sesuau sama di foto,bintang 5,1 hari lalu
BB 40 tinggi 150 pas bngt pake size 27,bintang 5,3 bulan lalu
bangusss bangettt nextt order ukuran yang lbih besar lagii🤩🤩🤩,bintang 5,2 hari lalu
Gillaaaaaaa demi apa ini kereeeen buangett. Sukaaaaa😍,bintang 5,1 minggu lalu
"BAGUSS BANGETTT KAPAN"" AKU BAKAL BELI LAGI,AKU SUKA BANGET SAMA CELANANYA",bintang 5,1 minggu lalu
BAGUSS BGTTT IHH 🖤 pas diakuu yang tingginyaaa 170ann kyutiii 😋💗💗 maacii minjiiii,bintang 5,1 minggu lalu
