review,rating,date
"opini ku ini bahanya aga kurang tebel si untuk harga segini,waktu pegang packing nya uda kerasa ringan bgt,disisi lain I like this model, but kurang panjang di akuu🥹,pin...",bintang 5,3 minggu lalu
"bb 50/150 passs bgt! Agak kepanjangan dikit, tp ttp bagus zii",bintang 5,2 bulan lalu
"di pake agak kurang nyaman jujur apa lagi bagian bawah itu lho karna cuting sleting nya panjang bgt sampe bawah jadi agak ngumpul di bawah bikin risih dan bikin nyelip, m...",bintang 4,3 minggu lalu
"bagus celananya tapi ngga yang tebel ,untung beli yang L pas banget bawah agak panjangkan sedikit tapi aku tetep suka ,aku  order yang cream warnanya nggak yang keliatan...",bintang 4,1 bulan lalu
"Celana Wispie City Pants warna Dark Pink Tebal ini kece banget! Bahannya lebih tebal, nggak nerawang, adem, dan bagian pinggangnya karet jadi nyaman dipakai seharian. Coc...",bintang 5,1 bulan lalu
"bagusss pwollllll, awalnya ragu parah mau beli atau gak, tp ternyta malah jadi pengen beli warna yg lain😭😭😭🤍 di bb 40/155 bnr bnr pas ga perlu bawa ke tukang jaittttt...",bintang 5,2 bulan lalu
"beli uk s logor dkt tp uda enak buat bb 38 / tb 153. warnanya lebih gelap dr pda d poto, bkn pink cerah. warna dan bahan sm’ good quality jd worth it buat harga segitu",bintang 5,2 bulan lalu
"baguss bangett 
akuu sukaa
sesuai ekspektasi ku",bintang 5,1 minggu lalu
"Baguss bangett, bahan nya adem dan tebal ,kokoh gitu ,tb 150 bb 44 masih aman, cuma agak kepanjangan dikit kalau dipake heels masih aman, atau tinggal dipotong sedikit aj...",bintang 5,1 bulan lalu
"Gray, bahanya tipis tapi ga nerawang nyaman di pake aku tb/bb 156/50 ambil ukuran M pas banget belakangnya ada karetnya",bintang 5,2 bulan lalu
"Bagusss banget celana nya asli, bb aku 62 tb 160 pas pake L, bahan nya tebel celana nya dan bikin kaki keliatan jenjang, sukakk",bintang 5,1 bulan lalu
"bahannya lemes jatoh gitu guys, jahitannya super rapih, pinggang belakangnya karet gitu jd masih bisa melar, di aku ukuran s masi longgar dikit tp worthit bgt!",bintang 5,1 bulan lalu
"looks in 157/53
tebel bahannya
cuttingannya juga rapi
dia ga yang bau baru gtu juga
aslinya gombrong nyapu lantai tapi ketolong sepatu 
free kaca kicil 🤏🏻
5/5 ⭐️⭐️⭐️⭐️⭐...",bintang 5,3 bulan lalu
"Sukakk bgt, celananya ga tipis tapi ga tebel dan ga nerawang pokoknya nyaman poll! Tb 153/154 bb 43 pas bgt cmn agak kepanjangan sedikit, tp ttp sukak🥰 makasii free gift...",bintang 5,1 bulan lalu
