review,rating,date
"cuttingannya oke bangett! tapi saran aku sedikit perbaikin bagian jaitan karna untuk harga segini jaitannya kurang rapi & detail, tetep suka karna warnanya sesuai gam...",bintang 5,2 bulan lalu
Bagus sesuai ga nyesell bahan nya juga cantik lembut dingin💖💖💖💖💖💖💖💖💖💖💖💖💖💖,bintang 5,3 minggu lalu
Bajunya bagus real picture ya!! buruan yg mau beli recommended!! ga usah mikir lama2 tinggal sesuaikan size aja. dapet bonus kaca kecil pengemasan juga rapi bagus aman! s...,bintang 5,1 minggu lalu
"cantik banget bajunyaaa, pas banget di badanku bikin look jadi ramping😍😍😍",bintang 5,1 minggu lalu
"Aku pake size M 160/52 pas banget apa lagi tangan ya kekecilan, tapi bagus kok. Bahannya adem gak bikin gerah, and comfortable pas di pake ❤️",bintang 5,2 bulan lalu
"Bajunya bagus, tapi menurut ku tipis ya gatau emng kayak gini bahanya atau gimana, bagus"" Aja kok😀",bintang 5,2 bulan lalu
"dg kualitas nya ini kaya baju 50k😭 bahannya kerasa bakal gampang sobek & ga nyerap keringat, waktu dipake ada rasa ‘kresek-kresek’ kek bahan parasut. cuttingan lenga...",bintang 2,2 bulan lalu
"Bagus, bahannya ga nerawang bgt, tpi sayang blm dipake udah robek duluan, jahitannya tipis, ini aku sadar waktu aku setrika mau dipake, waktu unboxing kayanya oke oke aja...",bintang 5,1 minggu lalu
"BAGUSS POLLL WEE 😭😭😭 mana admin nya fast respon banget buat tanya tanya dan bagus bgt waktu di pakek fixx beli lagi ini warna lainnyaaa
Kualitas produk: Okee banget",bintang 5,2 bulan lalu
"bajunya bagus banget cuttingannya pas di badan aku yng bb 58 tb 157, ga ekspek bakal sebagus ini sih",bintang 5,
"Bagusss banget ,saya suka sama bahannya tebal,sesuai sama di gambar warnnya ,pokokny cantik BB saya 78",bintang 5,2 bulan lalu
"OMAYGATTT BAGUS BGTTT pass di body untuk bb 54 tb 165, warna nya sukakkkk 😻😻
minus nya cuma ga nyerep keringet aja, jadi kalo keringetan keliatan, trimakasiii 🫰🏻",bintang 5,1 bulan lalu
"bagus bangett, sesuai ekspetasi😍😍 bb aku 68/157 ku ambil uk 3xl, soalnya ga suka yg ngepas bgt sama badan, tapi malah keliatan oke aja walaupun aga gedean di lengan🫰😍",bintang 5,2 bulan lalu
"Sumpahhhh sih ini keren bangettttt gabisa berkata kata pls, ini bener bener kek ngasih efek ramping gitu ke badan asalkan kita pilih ukuran yang pas",bintang 5,2 bulan lalu
Barangnya bagus sesuai sma digambar😍 next co lg wrna lain...,bintang 5,2 hari lalu
kecewa bgttt robek di tangan nya 😔😔😔,bintang 2,2 bulan lalu
"bagus, bahan halus. -nya kurang fitted dibadanku padahal uda ambil size paling kecil",bintang 4,1 bulan lalu
"bahan bagus , cuman ada sedikit cacat , ada noda yang susah hilang di dua titik , noda nya bikin kain bolong , terus dibagian tangan sebelah kanan jaitan nya lepas , hara...",bintang 5,1 bulan lalu
"bagus banget bahannya licin alus gtu, agak kegedean dikit tapi gapapaa",bintang 5,2 bulan lalu
"OMG GAK NYANGKA BAHANNYA ADEMMM anyway aku kira bakalan kekecilan ternyata masih kegedean hehe, but overall baguss banget",bintang 5,6 hari lalu
"bahannya adem ga bikin gerah, and yaa pas lah, cmn ke gedean dikit gpp, maybe nanti bakal beli lagi hehe",bintang 5,2 bulan lalu
"cakep banget gilaaa!!,diaku ukurannya pas banget mana ngefit lgi.bahannya dingin,ga tipis,ga nerawang best lah pokonya",bintang 5,1 bulan lalu
"bb 40 tb 153 pas ngga sempit ngga longgar.
cuttingnya bagus bangettt, tapi sayang kata aku bahannnya kurang saran aku di upgrade lagi. agak bikin gatel dan kurang cocok j...",bintang 4,3 bulan lalu
"sebelumnya kak terimakasih banyak ya, sudah menciptakan produk yang menurut aku sangat sangat bagus, aku ga nyesel beli, dari segi bahan maupun desain aku suka banget, uk...",bintang 5,3 bulan lalu
"Lucu bangettttt, ak baru pertama kali mesen kemeja yang modelannya begini ih, pas dateng bener bener sesuai ekspetasi banget. Mana pas banget di LD aku walau rada ngatung...",bintang 5,2 minggu lalu
"BAGUS BANGETTT SUKAKK CANTIK💕, BUT RADA FIT BGT BGT SI NEXT MUNGKIN BAKAL NAIKIN 1 SIZE",bintang 5,2 bulan lalu
