review,rating,date
"Baguss banget gak sia""belinya, bahannya juga adem,tebal pas untuk bagian kaki agak kepanjangan dikit tapi gapapa",bintang 5,2 bulan lalu
Celananya bagus dan sesuai yg di foto dan PO nya juga ngga terlalu lama sizenya pas disaya dgn BB 47 TB 162😍🤗,bintang 5,1 bulan lalu
bagus cuma po lama bngt kurang wort nunggu lama trs bahan nya kurang aja intiny bagus aja ga bagus bngt mungkin krna udah ber ekspek po lama👍🏻,bintang 4,2 minggu lalu
"Untuk bb 63 Tb 160 pas cokk nutup mata kaki mlahan wort eat siii ga sempit jugaaa enak dipake jongkok jga, udahhh dilubanginn juga tempat masukin kancing jeans nya😍😍",bintang 5,5 bulan lalu
"sumpa ini ko wrna nya kaya bekas gitu ya,kaya buluk gitu,dri segi bahannya oke lah ya bagus,cmn ini ko kaya bekas ka wrna nya,atau memang sprti ini?sempet kecewa,pdhl uda...",bintang 4,2 minggu lalu
"jeansnya bagus bahannya oke pembelian kedua, tpi kenapa ya size M tp pinggangnya gede kya size L tp di tag nya sz M beda sm yg pertama beli huhuhu sedih bngt trs jaitan a...",bintang 4,1 bulan lalu
"warna: Biru Retro goresan 8087
ukuran: M
Kualitas produk: bagus dengan harga sini udah wort it banget",bintang 5,4 bulan lalu
"Baguss, bahan nya ringan. Ku pikir bakalan po lama, Ehh bentaran ternyata. Bagian perut pas agak longgar dikit diperutku yg buncyittt inih, trs panjang beutt celananya di...",bintang 5,2 bulan lalu
"celananya bgus, pas, ga kebesaran jg bru kali ini ada celana jeans yg ga longgar di aku & untk panjangnya dh pas. knp aku ksih ⭐ 4? krna cara respon penjual, bls pesa...",bintang 4,4 bulan lalu
"celananya bagus bgt, cuma sayang ada nodanya gt",bintang 4,1 bulan lalu
Paketnya sdh sampai trima kasih. Tapi sedikit kebesaran harusnya ambil ukuran M🥺 tapi tdk masalah. Btw tinggi 161 bb 53. Next order lagi,bintang 4,1 bulan lalu
"Bagus, ngepas diaku cuma agak susah pas mau masukinnya dipinggul but gpp kalo di up size takut malah kegedean",bintang 4,
Huhu bagus banget coyyy pas lagi diaku gausah dipotong atau dikecilin mau nangis aja wkwk bagus banget ih bagus banget pokonya suka 😭🤎,bintang 5,1 bulan lalu
"Jelek bgt sih menurut aku, kaya barang bekas,keg pernah di pake, kusam ,bagusan beli trif dri pada beli baru,nyesel beli disini ,kancing nya udah kebuka,kotor lagi,bagain...",bintang 1,2 bulan lalu
"tidak berekspektasi si sebenernya, TAPI INI BAGUS BANGET WOYY wajib beli ga bakal nyesel ihh
Kualitas produk: cuttingannya rapi, bahan nya ringan, ukurannya jg pas, warna...",bintang 5,2 bulan lalu
"Bagusss bangett, ga nyesel po lama kalo yang dateng modelan gini, bakal pesen lagi sii ini, rada kebesaran di aku yang bb 48 tb 167 di bagian pinggangnya tapi so far masi...",bintang 5,5 hari lalu
"Produk nya bagus ga terlalu tebal dan ga terlalu tipis, btw aku TB 165 BB 35",bintang 5,1 bulan lalu
"kualitas produk sangat baik,pengiriman nya juga termasuk cepat terimakasih 🥰 sangat pas untuk tb 162 bb 57",bintang 5,1 bulan lalu
"inii bagusss bangett woyyy asliii, bahannya juga bagus, sesuai lah pokonya kaya yang dipoto, gue BB nya 45 TB nya 158, panjng dikit, tapi ttp bagus ko",bintang 5,1 minggu lalu
"Bahan celana bagus, hanya warnanya saja agak beda difoto dan realnya, admin fast respon hanya kurang baik dalam merespon.",bintang 3,1 bulan lalu
ternyata aslinya lebih cerah aku kira bakal lebih gelap gtu,bintang 4,1 bulan lalu
"Bahannya bagus, tp ukurannya krng akurat,di deskripsi XXL LP 80, LPH 62,pinggul 112,tp yg dtng... LP 90 LPH 68 pinggul 114,hrs di fermak lg 😭",bintang 4,1 bulan lalu
"bahan tidak kaku, di tb 158cm bb 56kg kepanjangan dan kebesaran dikit tp gaperlu dipotong pun bagus",bintang 5,1 bulan lalu
"bagusss,bahanya lemes juga ga kaku bangttt,",bintang 5,2 bulan lalu
Bagus bgt pas gak kekecilan sama sekali🥰,bintang 4,2 hari lalu
"cepett kirim nyaa sukaaa🥺
ak kecewa berattt soalnya ak ambil s biar pinggang nya pas tapi ternyata panjangnya gantung di kaki ak, btw ak tingginya sekitar 168an yaa bb 5...",bintang 5,1 bulan lalu
"baru atau bekas nih? kuning gitu masa, udh chat admin ga dibales",bintang 3,1 bulan lalu
"Po nunggu 1bulan yang di kirim ga sesuai warna nya, seharus nya kalau emng ga ready warna nya bisa konfirmasi dlu lewat pesan, tapi adminnya gercep pas mau pengembalian b...",bintang 3,2 minggu lalu
"baru ketahuan trnyata ada sobekan di bagian belakang, bru kali ini kecewa sama lulu, pdhal produk nya bagus bagus aja tpi ada aja kendala nya🥲🥲",bintang 2,4 bulan lalu
"bagusss bgtt celananyaa sesuaiii ekspetasiii, bahannyaa ademm ga gampang kusuttt pkoknya bguss bgtt dehhh",bintang 5,5 bulan lalu
Warna nya bagusan yg biru retro yg awal aku beli yaa😆gpp lh buat ganti2,bintang 5,5 hari lalu
"Minta biru letro dikasi retro blue ,kalau ndak ada biru letro ya ndak usah dikirm dong ,chat aja udah abis gitu ,tamak sama uang pembeli dikecewain kecewa",bintang 3,1 minggu lalu
"Bagus sesuai gambar. Ukuran jg pas banget. Bahan jeans gak kaku, nyaman dipake dan ga panas",bintang 5,1 bulan lalu
"Bahannya bagus, halus, tapi warnanya agak beda sama yg biru retro dr review orang orang, yang ini agak ke coklat gitu, ga yg biru pudar",bintang 4,6 hari lalu
"setelah nunggu PO an. jeans nya sesuai, bagus banget. ga tebel ga tipis juga. cuma ordernya salah, ternyata M kegedean dikit. next order warna lain lagii👌🏻",bintang 5,2 minggu lalu
"bahannya bagus nyaman dipakai, aku dah co 2 kali ga mengecewakan walaupun harus nunggu lama bgt dan sempet di batalkan hehe",bintang 5,1 bulan lalu
"Jeans nya bagus, cuma minus bagian dalamnya kasar jadi bikin ga nyaman, harus pake leging biar nyaman, terus lobang kancing juga udh kebuka, pas dateng celana nya agak be...",bintang 4,5 bulan lalu
"celananya bagus, tapi agak kepanjangan di aku, trs di bagian paha sedikit kekecilan tpi Alhamdulillah masi bisa masukk, kebetulan tb aku 151, bb 56. untuk kainnya baguss,...",bintang 4,2 bulan lalu
"Barang sesuai deskripsi, kualitas bagus, pengiriman cepat, packing rapi. Recommended seller!""",bintang 5,1 minggu lalu
"bahannya bagus, aden. belinya pas ga po
bagian kaki kepanjangan tapi bagus
bagian pinggang rada kebesaran dikit tp its oke
bb 50/tb 155",bintang 5,1 bulan lalu
"Baguss, ringan, tipisnya enak tapi ga yg tipis bgt gitu. Buat 58/163 masih longgar banget mantap. Cuma warnanya emng ga sebiru yg dibayangin, pas dicuci jg luntur bgt jad...",bintang 4,1 bulan lalu
"cakepp , cakep bgt semua nya warna cuttingannya , pas bgt bener2 susah nyari levis yg enteng tapi ga keliatan murah , fyi aku bb 62 tinggi 157 karna pengen agak kesan gom...",bintang 5,2 bulan lalu
"bagus bgt, ukurannya pas emng agak kepanjangan dikit ga ngaruh ttp suka lovv.. nyaman dipake ga bikin gerah di aku",bintang 5,2 bulan lalu
