rating,date,item_id,parsed_date,text_akhir,label
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.745796,gelang kirim seller ramah bertanggung dana kembalikan terimakasih seller,positive
bintang 5,1 minggu lalu,13,2025-05-23 14:41:32.745893,recommended memuaskan bagus kokoh,neutral
bintang 4,8 bulan lalu,13,2024-09-30 14:41:32.745911,barang sesuai gambar desain modern bahan anti air,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.745962,kerenkualitasnya seprtinya kuatokelahterlihat,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.745993,sesuai pesanan cepat kemasannya rapi ukurannya pas ditangan warnanya cakep terima kasih all,positive
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.746021,pesannya hijaupink meter dtng pink ukurannya meter satuharusnya konfirmasi barang teliti lihat pesanan orang,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746049,bagus bangetpuass dech terima kasih yasemoga toko sukses,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746076,barang diterima bermanfaat bepergian bocil aktif banget,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746104,bagus kualitasnya nyaman dipakai,positive
bintang 3,2 bulan lalu,13,2025-03-30 14:41:32.746131,pesannya hijau biru pnjang sesuai pesannya mtr smpai mtr,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746158,bahan empuk nyaman desain bagus durabilitas bagus,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746184,mantap bahan nyaa bagus anak mengerti nanges bagus_banget dibawa kemana,positive
bintang 5,5 bulan lalu,13,2024-12-30 14:41:32.746211,bagus cepat sellernya oke,positive
bintang 5,6 bulan lalu,13,2024-11-30 14:41:32.746263,barang realpict membantu menjaga anak² aktif,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746290,mantap berguna jalan mall anaknya diem,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746316,terika kasih barang sesuai packing rapih cepat,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746342,alhamdulillah paket terima tokok amanah abang kurirnya langganan,positive
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.746368,pesannya hijaupink meter dtng pink ukurannya meter satuharusnya konfirmasi barang teliti lihat pesanan orang,positive
bintang 4,6 bulan lalu,13,2024-11-30 14:41:32.746394,lambat inbok bilang sekalinya nyampe krmin minggu jalan nungguin tali,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746420,sesuai pesanan anak gampang dijaga kmna,neutral
bintang 1,9 bulan lalu,13,2024-08-30 14:41:32.746445,order m pengiriman m not rekomend beli,positive
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.746471,terima kasih barangnya bagus mengontrol kmn perginya bocil,positive
bintang 5,1 bulan lalu,13,2025-04-30 14:41:32.746497,bagus ajh minggu po ngeuh terimakasih bang kurir langganan baikramah,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746523,paketx smpai alhamdulillahg cemas bawa bocil sholat jamaah,neutral
bintang 5,3 bulan lalu,13,2025-02-28 14:41:32.746548,sesuai pesanan warnanya cinta,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746574,nice bngd fikir tdak loc eh sukaaa,positive
bintang 5,2 minggu lalu,13,2025-05-16 14:41:32.746600,alhamdulillah sesuai pesanan mantap mksh,positive
bintang 5,6 bulan lalu,13,2024-11-30 14:41:32.746613,hadapi balita aktif wkwkwk terima kasih,positive
bintang 5,9 bulan lalu,13,2024-08-30 14:41:32.746644,bagus kualitas oke,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746672,bagus_banget sesuai gmbar,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746698,lucuuu cepat berguna keramaian,positive
bintang 1,2 bulan lalu,13,2025-03-30 14:41:32.746724,beli m dikasih m parah amanah banget,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746749,bagus nama suka informasi balikan sm mantan pls ar kangen,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746775,bagus mengecewakan,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746801,alhamdulillah paketnya uda coba mudahan bagus awet,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746827,sesuai gambaralhamdullillah pesanan mendarat,neutral
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.746852,bagus terimakasih pengriiman cepat,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.746877,barang sesuai deskripsi,neutral
bintang 5,5 bulan lalu,13,2024-12-30 14:41:32.746902,manto persiapan taraweh bawa anak,neutral
bintang 5,3 minggu lalu,13,2025-05-09 14:41:32.746928,barang udah sesuai pesanan terimakasih,positive
bintang 1,3 minggu lalu,13,2025-05-09 14:41:32.746940,pesan warna hijau warna pink anak cowo begimana,neutral
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.746949,bagus sangt bermanfaat mall,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.746979,real pick,neutral
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.747006,pendek,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747032,bagus_banget,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747059,bagus,neutral
bintang 2,2 bulan lalu,13,2025-03-30 14:41:32.747084,kecewa pesan m kirim m,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747110,keren mantap,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747134,alhamdulillah sdh ukuran m,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747159,bagus good,positive
bintang 5,6 bulan lalu,13,2024-11-30 14:41:32.747185,cocok sesuai,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747210,pink hijau,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747236,bagus sesuai pesanan,positive
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.747354,pendek,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747379,desain cantik banget,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747405,desain bagus,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747430,semogga bermanfaat,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747455,bagus,neutral
bintang 5,9 bulan lalu,13,2024-08-30 14:41:32.747479,bagus_banget,positive
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.747504,bagus kirim,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747528,trimakasih kak paket q bagus bangeeeet anak q suka trimakasih bang kurir,positive
bintang 4,9 bulan lalu,13,2024-08-30 14:41:32.747553,sesuai,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747578,bagus,neutral
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.747603,bagus,neutral
bintang 5,5 bulan lalu,13,2024-12-30 14:41:32.747627,bagus,neutral
bintang 5,5 bulan lalu,13,2024-12-30 14:41:32.747652,bagus,neutral
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.747678,bagus,neutral
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.747703,,neutral
bintang 5,3 bulan lalu,13,2025-02-28 14:41:32.747728,nice one,positive
bintang 5,3 bulan lalu,13,2025-02-28 14:41:32.747753,useful,neutral
bintang 3,9 bulan lalu,13,2024-08-30 14:41:32.747778,bagus,neutral
bintang 4,7 bulan lalu,13,2024-10-30 14:41:32.747803,mantap,positive
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.747828,good,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747854,good,positive
bintang 4,2 bulan lalu,13,2025-03-30 14:41:32.747879,semoga anakku ngereog,neutral
bintang 5,3 bulan lalu,13,2025-02-28 14:41:32.747903,bagus bngt,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.747928,amazing,neutral
bintang 5,8 bulan lalu,13,2024-09-30 14:41:32.747953,bagus coba realnya,positive
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.748247,oke,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.748272,oke,neutral
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.748296,oke,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.748321,bagus,neutral
bintang 5,2 bulan lalu,13,2025-03-30 14:41:32.748346,bagus semoga awet,positive
bintang 5,9 bulan lalu,13,2024-08-30 14:41:32.748371,bagus semoga awet,positive
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.748395,oke,neutral
bintang 5,7 bulan lalu,13,2024-10-30 14:41:32.748420,,neutral
bintang 5,3 minggu lalu,13,2025-05-09 14:41:32.748444,diterima,neutral
bintang 5,8 bulan lalu,71,2024-09-30 14:41:32.748456,produk bagus kualitas oke respon penjilual pengiruman oke toko amanag rekomended semoga sukses,positive
bintang 1,7 bulan lalu,71,2024-10-30 14:41:32.748485,cepat topi patah tekuk udah robek kali cek dl kirim barang kak,negative
bintang 5,9 bulan lalu,71,2024-08-30 14:41:32.748510,paketnya aman sesuai pesanan pengemasan pengiriman cepat kurirnya ramah order senang shopping,positive
bintang 5,9 bulan lalu,71,2024-08-30 14:41:32.748535,pesananmeskipun produknya kualitas bagus revomended,positive
bintang 4,9 bulan lalu,71,2024-08-30 14:41:32.748560,lekukan pas dipakai bentuknya peang,neutral
bintang 5,5 bulan lalu,71,2024-12-30 14:41:32.748585,topi terima kasih bahannya bagus,positive
