rating,date,item_id,parsed_date,text_akhir,label
bintang 5,5 bulan lalu,30,2024-12-30 14:41:33.382866,barang sesuai deskripsi kualitas bagus cepat penjual responsif packing rapi barang aman harga sesuai kualitasnya,positive
bintang 5,2 bulan lalu,30,2025-03-30 14:41:33.382938,sepatu merk pemain sepatu lihat beli mall sepatu skrng uang mall dijual online produk bagus,positive
bintang 5,4 bulan lalu,30,2025-01-30 14:41:33.382974,terima kasih barang berkualitas dipake jalan bunyi cetakcetok lapisan karetnya kaku semoga awet thankssssss,positive
bintang 5,1 bulan lalu,30,2025-04-30 14:41:33.383004,woww dilantunkan dunia merekomendasikan abah,neutral
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.383033,sangat_puas mengecewakan insole sesuai ukuran kaki tampilan bagus nyaman,positive
bintang 5,9 bulan lalu,30,2024-08-30 14:41:33.383061,barang sesuai pesanan terbungkus rapi model keren jahitan halus,positive
bintang 5,1 bulan lalu,30,2025-04-30 14:41:33.383089,cepat sampainya penjual responsif sepatunya nyaman pakai,positive
bintang 5,8 bulan lalu,30,2024-09-30 14:41:33.383127,barang sesuai pesanan penjual fast respon ramah aman,positive
bintang 5,4 bulan lalu,30,2025-01-30 14:41:33.383154,mantap sesuai deskripsi pas kaos kaki nyaman pakai semoga awet,positive
bintang 4,2 bulan lalu,30,2025-03-30 14:41:33.383180,kualitas bagus barang sesuai cepat packing rapi,positive
bintang 5,4 bulan lalu,30,2025-01-30 14:41:33.383217,rapi model bagus bagus semoga awet terima kasih kiriman cepat banget sukses,positive
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.383252,keren bahannya bagusss ujungnya lancip pas kaki cocok acara nikahan teman wisuda sayang prewed,neutral
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383289,modelnya pas ukurannya pas kaki kualitas mudahmudahan awet,positive
bintang 5,1 bulan lalu,30,2025-04-30 14:41:33.383316,ukuran pascakep,neutral
bintang 5,2 bulan lalu,30,2025-03-30 14:41:33.383342,bagus sesuai harga bagus pakai,positive
bintang 5,5 bulan lalu,30,2024-12-30 14:41:33.383369,model keren nyaman dipakai dikaki terima kasih yongki komaladi,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383395,cakep sepatu pas dikaki sesuai gambar,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383421,simple kerenperfect bikin kecewa,positive
bintang 5,1 bulan lalu,30,2025-04-30 14:41:33.383447,pakai ukuran pas kaki bentuknya lebar samping sdkit press samping melar,negative
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.383473,warna sesuai ukuran sesuai bahan sesuai deskripsi,neutral
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383499,model keren pas ukuran kaki,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383525,barangnya bagus kepanjangan,neutral
bintang 5,4 bulan lalu,30,2025-01-30 14:41:33.383550,barang dipaketkan rapih produk sesuai deskripsi dijual recommended seller,neutral
bintang 5,2 bulan lalu,30,2025-03-30 14:41:33.383576,nyaman dipakai kerja nyikat nyikat,positive
bintang 1,2 bulan lalu,30,2025-03-30 14:41:33.383603,murah buru beli dibeli retak kulit sintetisnya ampun,neutral
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383629,cepat kualitas bagus,positive
bintang 5,2 minggu lalu,30,2025-05-16 14:41:33.383655,bagus sesuai pesanan ukuran pas,positive
bintang 5,11 bulan lalu,30,2024-06-30 14:41:33.383672,bagus packing rapih proses cepat maap poto sesuai kado,positive
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.383705,modelnya kerenukurannya pas packingnya rapih aman,positive
bintang 5,1 minggu lalu,30,2025-05-23 14:41:33.383733,harga worth it butuh urgent wisuda adminnya cepat memproses terima kasih,positive
bintang 5,5 bulan lalu,30,2024-12-30 14:41:33.383746,pas enak dipakai terimakasih,positive
bintang 2,5 bulan lalu,30,2024-12-30 14:41:33.383776,ukuran ukuran kaki kaki susah masuk,negative
bintang 5,8 bulan lalu,30,2024-09-30 14:41:33.383804,barang semoga awet tahan,positive
bintang 5,3 minggu lalu,30,2025-05-09 14:41:33.383831,barang sesuia mantap yongki komaladi persen kesecewa terima kasih seller terima kasih tokped,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.383842,mantabpesanan sesuai pengiriman cepatproduk aman,positive
bintang 5,4 bulan lalu,30,2025-01-30 14:41:33.383872,respon cepat murah kualitas oke,positive
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.383899,pas mantab joss gandos ukuran lebihkan good,positive
bintang 5,5 bulan lalu,30,2024-12-30 14:41:33.383926,barang sesuai pesanan terima kasih juragan,neutral
bintang 5,8 bulan lalu,30,2024-09-30 14:41:33.383952,modelnya oke bahannya cakep nyaman dipake kaki mantap,positive
bintang 5,3 bulan lalu,30,2025-02-28 14:41:33.383978,mantulenak pakaismoga awet,positive
bintang 5,3 bulan lalu,30,2025-02-28 14:41:33.384004,muat ukuran kaki pakai size best buy murah worth it banget,positive
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.384030,yeee udah thankyou semoga muat,neutral
bintang 5,3 bulan lalu,30,2025-02-28 14:41:33.384056,great items fast respond and delivery very recommended seller,positive
bintang 5,11 bulan lalu,30,2024-06-30 14:41:33.384081,barang sesuai pesanan packing rapih fast respon size ngepres banget saran up nomer,positive
bintang 5,5 bulan lalu,30,2024-12-30 14:41:33.384107,responsif mebalas chat ramah sepatu pesan ukuran pas ditukar penjual cepat membalas mengirim sep,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.384133,bagus nyaman dipakainya ukurannya pas sesuai standar,positive
bintang 5,5 bulan lalu,30,2024-12-30 14:41:33.384158,sepatunya bagus asli classic banget simple is the best,positive
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.384198,sesuai sm harga mahal berharap kualitas bagus_banget,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.384237,model keren kualitas barang sesuai deskripsi,positive
bintang 5,6 bulan lalu,30,2024-11-30 14:41:33.384262,bagus cepat ukuran pas,positive
bintang 5,7 bulan lalu,30,2024-10-30 14:41:33.384299,modelnya ukuran standar sesuai pesanan,neutral
