rating,date,item_id,parsed_date,text_akhir,label
bintang 5,4 bulan lalu,38,2025-01-30 14:41:32.627660,kualitas barang asli respon penjual kooperatif,positive
bintang 5,5 bulan lalu,38,2024-12-30 14:41:32.627790,seller responsif cepat barangnya oke,positive
bintang 5,5 bulan lalu,38,2024-12-30 14:41:32.627838,seller responsif cepat barangnya oke,positive
bintang 5,9 bulan lalu,38,2024-08-30 14:41:32.627878,pesanan ditunggutunggu jugaaa warna terbaru super cakep super trusted seller langganan thank you,positive
bintang 5,7 bulan lalu,38,2024-10-30 14:41:32.627915,unit surface dlm box bnib dikemas rapi aman dibuka dinyalakan keren notebook tetangga california overrated layanan toko bagus,positive
bintang 5,4 bulan lalu,38,2025-01-30 14:41:32.627950,barang diterima sesuai pesanan coba user berjalan lancar,positive
bintang 5,8 bulan lalu,38,2024-09-30 14:41:32.627984,nice product and good service from the store,positive
bintang 5,7 bulan lalu,38,2024-10-30 14:41:32.628019,pengiriman lancar barang asli mantap,positive
bintang 5,8 bulan lalu,38,2024-09-30 14:41:32.628053,barang sesuai pesanan cepat,positive
bintang 5,8 bulan lalu,38,2024-09-30 14:41:32.628086,mantap bagus,positive
bintang 5,6 bulan lalu,38,2024-11-30 14:41:32.628119,,neutral
bintang 5,5 bulan lalu,38,2024-12-30 14:41:32.628151,gercep oke,neutral
bintang 5,9 bulan lalu,38,2024-08-30 14:41:32.628185,great,positive
bintang 5,9 bulan lalu,38,2024-08-30 14:41:32.628217,mantap,positive
bintang 5,3 minggu lalu,1,2025-05-09 14:41:32.628250,terima kasih kak respons barang terima packingan bagus rapi aman tebal mohon maaf kemarin driver ojolnya pen,positive
bintang 1,2 bulan lalu,1,2025-03-30 14:41:32.628283,ajukan batalin sebentar mengubah pembayaran bayar pakai cc mengubah tenor cicilan disetujui seller kesal,negative
bintang 5,2 bulan lalu,1,2025-03-30 14:41:32.628325,alhamdulillah barang diterima cacat kurirnya cepat aman semoga tabletnya awet,positive
bintang 5,2 bulan lalu,1,2025-03-30 14:41:32.628369,komitmen delivery bagus pelayanan seller gila shopping ragu top markotop sellernya,positive
bintang 5,2 bulan lalu,1,2025-03-30 14:41:32.628402,terima kasih bagus pengiriman gesit best service,positive
bintang 5,2 bulan lalu,1,2025-03-30 14:41:32.628444,respon pengiriman cepat seller ramah hati pengiriman same day mengirim dihari selle,positive
