Product Name,Current Price,Original Price,Image URL,Stock,item_id,discount
SOMETHINC HOOMAN Breathable UV Cushion Cover SPF 35 PA++++ - HOO Linen FULL,156870,189000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/19/a31b8ed0-c06c-434d-be2c-10d5ca753b68.png.webp?ect=4g,621,1,17.0
Maybelline Superstay Vinyl Ink - Liquid Lipstick - Rogue,139900,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/12/11/bde1a009-fba3-461e-9ebd-dd6adc7298c7.jpg.webp?ect=4g,4,2,0.0
Whitelab [UPGRADE] N10-Dose+ Brightening Serum Niacinamide 10% - Pencerah wajah Mencerahkan - Upgraded Formula,76800,168000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/3b961687c8d74128b4ac736d84edb77e~.jpeg.webp?ect=4g,275000,3,54.29
SKINTIFIC 5X Ceramide Low pH Cleanser Facial Face Wash - 15 ml,45000,90000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/4/12/f64e4037-8562-468a-b07b-3a2d6565b22a.jpg.webp?ect=4g,18,4,50.0
SLAVINA First Kiss Body Care Body Lotion dan Shower Gel by Nagita Slavina Moisturizer dan Sabun Mandi Cair 350ml - Body Lotion,86400,0,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c5b93f8065814a86832b2de86240799e~.jpeg.webp?ect=4g,3754,5,0.0
Morris Glam Edition 100ml/Eau De Parfume/Parfum Wanita - Pure Romantic ~ Morris Glam EDP,33100,89900,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/1ba8476ccd4647f78af050aecbc29a83~.jpeg.webp?ect=4g,89,6,63.18
Evangeline Musk Eau De Parfum 100ml White Parfum Wanita,33060,50000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/8/cf2d2b09-8523-493a-ba0d-31ff9b1328ba.jpg.webp?ect=4g,14,7,33.88
Garnier Men Oil Control 3in1 Charcoal Facial Wash 100 ml Twin Pack,70200,78000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/12/d7a3de90-6af3-4497-b1d5-ecc51e564c4c.jpg.webp?ect=4g,80,8,10.0
"Emina Daily Matte BB Cream 16 g - Melembabkan, Matte Finish, Oil Control - 01 Light",31500,35200,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/40dc2eac623b430caeb7b144ee921495~.jpeg.webp?ect=4g,77,9,10.51
hanasui flawless cream krim 31-40 EFG - fungi 5gr cr,14500,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/30/c10d5979-0a29-449d-99f4-d06578d716df.jpg.webp?ect=4g,48,10,0.0
PIXY #Filter_Free Airy Stay Two Way Cake - C12 Fair Ivory,34000,40000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/12/85fea30e-5489-4442-8c35-f2f8f83c56aa.jpg.webp?ect=4g,102,11,15.0
ULTIMA II Delicate Translucent Face Powder With Moisturizer 24 gr - Bedak Tabur Halus & Hasil Natural - Pink Shell,126900,135000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/9ae97258c34f4c74b32b21cb7dbb05e0~.jpeg.webp?ect=4g,3,12,6.0
"[HIGH DEMAND] Teratu Beauty 15 gr Matte Blur Set Translucent Loose Powder with Salicylic Acid, Centella Asiatica, Tea tree - 15 gr Refill",70000,0,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2ede72ce82914f7eaa50b9fb25813209~.jpeg.webp?ect=4g,106000,13,0.0
NEW Silk Glow Luxcrime Blur & Cover Two Way Cake - Cinnamon 8.5g,109650,129000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/15/c2d28a13-4c68-49ac-bc08-181f37c8b26e.png.webp?ect=4g,714,14,15.0
MOP - Microblur Translucent Loose Powder - New Packaging,135150,159000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/19/1e224b81-a7d3-402c-8ec8-c08a7886443c.jpg.webp?ect=4g,5,15,15.0
Revlon Touch & Glow Face Powder 24 gram (bedak tabur lembut dan hasil natural) - Creamy Ivory,60300,67000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/871ed05bb79a4cf08a1ed72380c1f5ec~.jpeg.webp?ect=4g,50,16,10.0
DAZZLE ME Better Than Filter Fixed Loose Powder Lightweight Loose Powder Bedak Tabur Ringan Tahan Lama 12 JAM - 01 True Translucent,54900,150000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/e99dafd3074440ec8740f431b11417d8~.jpeg.webp?ect=4g,3985,17,63.4
SOMETHINC HOOMAN UNDER CONTROL HD Blur Loose Powder - 01 Translucent,135000,165000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/7/708bb725-7200-4576-a636-20724674ac4f.jpg.webp?ect=4g,2824,18,18.18
Marina Compact Powder UV Protection - 01 Ivory,9600,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/3/1/6bfa2651-fa05-489c-8fe6-af635f83e6d4.jpg.webp?ect=4g,283,19,0.0
