rating,date,item_id,parsed_date,text_akhir,label
bintang 5,11 bulan lalu,1,2024-06-30 14:41:33.097113,bahannya enak merata muka bikin muka fresh,neutral
bintang 5,1 bulan lalu,1,2025-04-30 14:41:33.097169,bahannya ringan mudah diserap warnanya cocok pas kulit sumpah nemuin cushion bner sesuai ekspetasi,positive
bintang 5,10 bulan lalu,1,2024-07-30 14:41:33.097204,tipe kulitku kombinasi under tone kulitku netral,neutral
bintang 5,3 bulan lalu,1,2025-02-28 14:41:33.097235,senang belanja produk packingan pengiriman oke terima kasih,positive
bintang 5,11 bulan lalu,1,2024-06-30 14:41:33.097264,bagus cocok terima kasih,positive
bintang 5,5 bulan lalu,1,2024-12-30 14:41:33.097363,ringan sesuai warna kulit,positive
bintang 5,9 bulan lalu,1,2024-08-30 14:41:33.097394,packing bagus,neutral
bintang 5,7 bulan lalu,1,2024-10-30 14:41:33.097422,he,neutral
bintang 5,2 bulan lalu,1,2025-03-30 14:41:33.097449,matap semoga cocok,neutral
bintang 5,3 bulan lalu,99,2025-02-28 14:41:33.097475,terimakasih paket sesuai pesanan,positive
bintang 5,2 bulan lalu,99,2025-03-30 14:41:33.097501,cepat barang sesuai harga miring dibanding live murahan,positive
bintang 5,1 bulan lalu,99,2025-04-30 14:41:33.097527,bagus emg foccalure yhh gud gud ripiuw jujur acuh gada bedanyah sm kirain warnanya hitam pekat pekat masi coklat tua mksh mantap,neutral
bintang 5,5 bulan lalu,99,2024-12-30 14:41:33.097552,bagus pemula waterfop cepat hilang gesek tangan lumayan pergi kondangan pakai sifat,neutral
bintang 5,2 bulan lalu,99,2025-03-30 14:41:33.097578,bagus_banget pengirimanya lamaa,positive
bintang 4,4 bulan lalu,99,2025-01-30 14:41:33.097604,mantap habis pengiriman cepat,positive
bintang 5,4 bulan lalu,99,2025-01-30 14:41:33.097629,packaging aman banget cepat banget nyaaa harga segitu worth it to buy sihh cumann salahh ambil warnaaa tapii tetep okee kokk seller fast responnn,neutral
bintang 5,1 bulan lalu,99,2025-04-30 14:41:33.097654,hahah jngn salfok alis mata belajar wey tertawa worth it pemula belajar ngalis gampang banget ngukirnya beli,positive
bintang 5,4 bulan lalu,99,2025-01-30 14:41:33.097679,allhmdulilh udah nyampe puas banget cepat,positive
bintang 5,3 bulan lalu,99,2025-02-28 14:41:33.097703,bagus mudah bentukini pemula skrang udah repot² pkek pensil alis,positive
bintang 5,5 bulan lalu,99,2024-12-30 14:41:33.097728,bagus_banget belajar ngalis bingung shade aman pilih warna natural,positive
bintang 5,1 bulan lalu,99,2025-04-30 14:41:33.097752,oke barang sesuai pakai,positive
bintang 5,3 bulan lalu,99,2025-02-28 14:41:33.097777,udah dcobain ngalis oke banget wrn ny,positive
bintang 5,2 bulan lalu,99,2025-03-30 14:41:33.097801,warna ebony manfaat produk ngalis sumpa bagus baget waterproof waterproof,positive
bintang 5,3 bulan lalu,99,2025-02-28 14:41:33.097826,warnanya kaya kecoklatan alhamdulillah bagus,positive
bintang 5,1 bulan lalu,99,2025-04-30 14:41:33.097859,bagus_banget sesuai pokok warna pokok real pick,positive
bintang 5,3 bulan lalu,99,2025-02-28 14:41:33.097883,bagus pelayanany terimaksih sukses slalu kak,positive
bintang 5,7 bulan lalu,99,2024-10-30 14:41:33.097907,bagus cepat udah dtng,positive
bintang 3,1 bulan lalu,99,2025-04-30 14:41:33.097931,warna foto hitam dateng kayak nomor coklat,neutral
bintang 5,1 bulan lalu,99,2025-04-30 14:41:33.097956,realpicttinggal belajar ngalisnya,positive
bintang 5,2 bulan lalu,99,2025-03-30 14:41:33.097980,cepat sesuai pesanan,positive
bintang 5,2 bulan lalu,99,2025-03-30 14:41:33.098005,terima kasih paketnya sampaidan kurirnya ramasekali terima kasih,positive
bintang 1,1 bulan lalu,99,2025-04-30 14:41:33.098030,kakak pesan bulet sesuai poto pensil sesuai penjual amanah,positive
bintang 5,5 bulan lalu,99,2024-12-30 14:41:33.098054,bagusss banget sukaa tekstur,neutral
bintang 5,4 hari lalu,99,2025-05-26 14:41:33.098079,barangnya sampaisesuai pesanan,neutral
bintang 5,2 bulan lalu,99,2025-03-30 14:41:33.098094,warna okk daya tutup rapih manfaat produk bagus jenis kulit jenis kulit,positive
