rating,date,item_id,parsed_date,text_akhir,label
bintang 5,6 bulan lalu,22,2024-11-30 14:41:33.076435,kualitas bagus terima kasih sukses tokonya,positive
bintang 5,6 bulan lalu,22,2024-11-30 14:41:33.076514,pengiriman okeeee barang okeee sesuai deskripsiiiii,positive
bintang 5,6 bulan lalu,22,2024-11-30 14:41:33.076551,pelayanannya bandung cepat diproses packing aman produk sesuai semoga sukses terima kasih toped,positive
bintang 5,2 minggu lalu,22,2025-05-16 14:41:33.076582,bagus sesuai pesananpacking rapi aman sampaientah dr penjual kurir,positive
bintang 5,1 bulan lalu,22,2025-04-30 14:41:33.076606,cepat packing aman barang pengiriman sesuai pesanan,positive
bintang 5,3 bulan lalu,22,2025-02-28 14:41:33.076641,keren habis responsif barang sesuai pesanan expired layak berlangganan toko terimakasih,positive
bintang 5,10 bulan lalu,22,2024-07-30 14:41:33.076670,produk sesuai packing rapi aman cepat terima kasih,positive
bintang 5,5 bulan lalu,22,2024-12-30 14:41:33.076699,stock pembersih luka gatau terluka stock penjahat kelamin,negative
bintang 5,3 minggu lalu,22,2025-05-09 14:41:33.076726,paket sesuai promosikan barang bersegel aman,positive
bintang 5,3 bulan lalu,22,2025-02-28 14:41:33.076739,bagus_banget bersihin luka cepat banget smpaiy sngaja beli spray dl krna mudah aplikasiy beli tuk isi ulang,positive
bintang 5,12 bulan lalu,22,2024-05-30 14:41:33.076771,barang expmasih th,neutral
bintang 5,9 bulan lalu,22,2024-08-30 14:41:33.076816,bagus semoga cocok merawat luka bakar knalpot terima kasih sukses selaluu,neutral
bintang 5,2 bulan lalu,22,2025-03-30 14:41:33.076844,amazing oke banget produknya bahan halus nyaman darurat luka mengurangkan iritasi memperkeci,neutral
bintang 5,9 bulan lalu,22,2024-08-30 14:41:33.076870,sesuai deskripsi gambar packing aman rapih penjual ramah fast respon terimakasih,positive
bintang 5,1 bulan lalu,22,2025-04-30 14:41:33.076896,mantap barang bocor,neutral
bintang 5,2 bulan lalu,22,2025-03-30 14:41:33.076922,produk asli packing aman berlapis penjual ramah semoga tokonya sukses amanah,positive
bintang 5,2 bulan lalu,22,2025-03-30 14:41:33.076947,paket aman sesuai ditentukan kemasan packing aman walapun kemasan penyok pengiriman overall oke,positive
bintang 5,11 bulan lalu,22,2024-06-30 14:41:33.076973,cepat packing mantap susah dibongkarnya,positive
bintang 5,9 bulan lalu,22,2024-08-30 14:41:33.077000,barang sesuai pesanan pengemasan aman cepat sukses seller,positive
bintang 5,11 bulan lalu,22,2024-06-30 14:41:33.077026,alhamdulillah paketnya mendarat aman respon seller super gercep recommended seller,positive
bintang 5,11 bulan lalu,22,2024-06-30 14:41:33.077051,barang sesuaiproses pengiriman cepat,positive
bintang 5,10 bulan lalu,22,2024-07-30 14:41:33.077076,barang sesuai pesan packingnya safety,neutral
bintang 5,1 bulan lalu,22,2025-04-30 14:41:33.077102,bagus mwmbersihkan luka mengurangi iritasi,neutral
bintang 5,9 bulan lalu,22,2024-08-30 14:41:33.077127,seller kirim barang barangnya hilang kurir dana saldo,positive
bintang 5,3 bulan lalu,22,2025-02-28 14:41:33.077152,barang sesuai deskripsi,neutral
bintang 5,1 bulan lalu,22,2025-04-30 14:41:33.077178,belanja oke banget,neutral
bintang 5,11 bulan lalu,22,2024-06-30 14:41:33.077203,sesuai,positive
bintang 5,8 bulan lalu,22,2024-09-30 14:41:33.077229,dingin luka pakai ginian,neutral
bintang 5,10 bulan lalu,22,2024-07-30 14:41:33.077254,berisihin luka,negative
bintang 5,4 bulan lalu,22,2025-01-30 14:41:33.077279,bagus cepat,positive
bintang 5,6 bulan lalu,22,2024-11-30 14:41:33.077311,terbaik,positive
bintang 5,1 bulan lalu,22,2025-04-30 14:41:33.077376,bagus,neutral
bintang 5,11 bulan lalu,22,2024-06-30 14:41:33.077502,oke,neutral
bintang 5,2 bulan lalu,22,2025-03-30 14:41:33.077527,,neutral
bintang 5,3 bulan lalu,22,2025-02-28 14:41:33.077577,,neutral
bintang 5,4 minggu lalu,22,2025-05-02 14:41:33.077628,,neutral
bintang 5,2 hari lalu,13,2025-05-28 14:41:33.077641,barang asli sesuai spek judul respon cepat semoga langganan harga bersaing terima kasih,positive
bintang 5,4 bulan lalu,13,2025-01-30 14:41:33.077651,cepat barang sesuai pesanan plastik pembungkus masker dijamin aman kotak dibentuk kotaknya kekecilan a,positive
bintang 5,9 bulan lalu,13,2024-08-30 14:41:33.077682,fast delivery packaging aman sesuai ekspektasi terima kasih,positive
bintang 5,3 bulan lalu,13,2025-02-28 14:41:33.077710,maskernya bagus embos mereknya syeril terbungkus plastik bersih rapih sampainya cepat,positive
bintang 5,8 bulan lalu,13,2024-09-30 14:41:33.077737,masker terbaik bikin sesek redap udara,neutral
bintang 4,7 bulan lalu,13,2024-10-30 14:41:33.077763,jumpah percaya kko tanggu penjual allah didusin semoga tetep steril aman,positive
bintang 5,7 bulan lalu,13,2024-10-30 14:41:33.077789,barangnya bagus sesuai kualitasnya semoga tokonya maju,positive
bintang 5,10 bulan lalu,13,2024-07-30 14:41:33.077815,maskernya bersih packing layaknya beli masker online bau nyaman karetnya ngepas telinga semoga bikin iritasi,positive
bintang 5,5 bulan lalu,13,2024-12-30 14:41:33.077840,pembelian sekian kalinya kualitas bagus cepat harga sesuai kualitas recommended seller,positive
bintang 5,1 bulan lalu,13,2025-04-30 14:41:33.077865,bahan bagus pas muka sesuai harga,positive
bintang 5,7 bulan lalu,13,2024-10-30 14:41:33.077891,diterima masker box dipisah masker sesuai deskripsi tebal menutup mulut hidung sempurna,neutral
bintang 5,10 bulan lalu,13,2024-07-30 14:41:33.077916,cepat barang asli sesuai deskripsi gambar langganan beli,positive
bintang 5,7 bulan lalu,13,2024-10-30 14:41:33.077941,paket diterima kotak masker mudah dirancang terima kasih,positive
bintang 5,11 bulan lalu,13,2024-06-30 14:41:33.077967,barang dipacking aman sesuai deskripsi barang selamat terima kasih,positive
bintang 5,9 bulan lalu,13,2024-08-30 14:41:33.077993,produk asli sesuai pesanan cepat,positive
bintang 5,5 bulan lalu,13,2024-12-30 14:41:33.078019,packing aman cepat harga terjangkau kurir ramah,positive
bintang 5,1 bulan lalu,13,2025-04-30 14:41:33.078044,baguuuss mantaapp kereeeen sukaaa okeee bangeett,neutral
bintang 5,8 bulan lalu,13,2024-09-30 14:41:33.078070,repeat order kesekian kalinya kali bahannya kasar lembut pembelian kasar l,neutral
bintang 5,3 minggu lalu,13,2025-05-09 14:41:33.078095,bagus kali beli merk lumayan kuat tembus air kawat nahan hidung,neutral
bintang 5,9 bulan lalu,13,2024-08-30 14:41:33.078107,sdh langganan med official covid skrg masker tebal fariasimulai medis medis kf pengemasan rapi tertut,positive
