Product Name,Current Price,Original Price,Image URL,Stock,item_id,discount
"APRIL TOP Atasan Wanita Korean Top Baju Knit Basic Long Sleeve April Top Panjang kemeja bona viral - HITAM, standar L",53000,0,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/48c30db59c7a44fa93308fdf40f3641c~.jpeg.webp?ect=4g,988,1,0.0
SEPTEMBER TOP | Atasan Knit Wanita Korean Top Baju Knit Wanita Lengan Pendek Basic Short Sleeve - Black,59000,119000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9be8d77119254dfc948df06417b1f3ec~.jpeg.webp?ect=4g,807,2,50.42
MARCH TOP | Atasan Knit Wanita Korean Top Baju Knit Wanita Lengan Panjang Basic Long Sleeve - Black,69000,139000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/f6acaf6cb5f2435b82a345b9b28f863a~.jpeg.webp?ect=4g,543,3,50.36
LEO TOP | Atasan Knit Wanita Korean Top Baju Knit Wanita Lengan Pendek Basic Short Sleeve tee - Charcoal,55000,119000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/25b46f3493c444bdb319dd6be7caf479~.jpeg.webp?ect=4g,733,4,53.78
JULY TOP | Atasan Knit Wanita Korean Top Baju Knit Wanita Lengan Panjang Basic Long Sleeve - Black,69000,129000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/f38c8d9c6d594ec1b228da04055f8917~.jpeg.webp?ect=4g,212,5,46.51
FEBRUARY TOP | Atasan Knit Wanita Korean Top Baju Knit Wanita Lengan Panjang Basic Long Sleeve - Black,69000,139000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/ef7ce793a11b485a953922eb5de58d3d~.jpeg.webp?ect=4g,576,6,50.36
"CHERON 23314 Kaos Crop Wanita Remaja Dewasa Polos Murah Santai Crew Neck Katun Hitam Putih Merah Baju Biru basic tee croptop ungu Baby Tee - Merah, M",25999,40000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/3980063f4a124f66bc209925243b5487~.jpeg.webp?ect=4g,878,7,35.0
"Evertops — Long Yuka Top / Kaos Wanita / Atasan Tee T-Shirt Slim-fitting - BLACK, S",90000,0,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/f8fe787ae944481ca4f936f87a22888d~.jpeg.webp?ect=4g,131,8,0.0
"DIANS - Rok Span Panjang Scuba Premium Rok Pensil Bahan Kantor Formal Wanita Kerja Maxy Skirt Hitam Muslim Maxi Basic Bawahan Casual Rempel Karet rok span tanpa belahan outfit  muslimah - Hitam, 90cm, Belahan",37889,59999,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/573620d795f947e39623facde077190f~.jpeg.webp?ect=4g,1082000,9,36.85
"Rok Cargo Wanita Span Panjang Tebal Skirt Bawahan American Drill Standar Fit Hitam kerja Formal - Hitam, All size standar",39000,60000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/55327f7a37e54d7fb24c5779fb7bfcb1~.jpeg.webp?ect=4g,105,10,35.0
ROK RAJUT SPAN 7/8 SE BETIS ROK KERJA FORMAL KEKINIAN Polos Nyaman Panjang Abu Hitam Tebal Kantor Coklat Wanita Navy - HITAM,33000,49000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/0e4eadb409f64d348c4e56981a3a5994~.jpeg.webp?ect=4g,209,11,32.65
"Kemeja Loose Fit Wanita | Aina Shirt | HULM Katun Lembut - Blue, S",99000,0,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/a7b5da7d93744543ab719515076626ab~.jpeg.webp?ect=4g,21,12,0.0
"Wispie Money Magnet Fitted Shirt | Kemeja Kerja Wanita Press Body Pinstripe Salur Pink Biru Berkaret - Magnet Blue, Fit to M (S-M)",159900,0,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/5871e042e47f4a1981c5695b66a3e709~.jpeg.webp?ect=4g,1794,13,0.0
"Wispie City Pants | Celana Tidur Tipis Panjang Wanita Kantor Kuliah Motif Garis Kulot Pinstripe Karet Lembut Loose - Light Blue Tebal, L",159900,319800,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/0c54d39f1e634b68bc4506017e91d800~.jpeg.webp?ect=4g,107,14,50.0
"Eiji - Flare Pants - Highwaist Flare Pants - Celana Kulot Semi Cutbray Wanita - Hitam, Fit S-M",69900,139800,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4f4463b8162a4c0787c593957ced8af5~.jpeg.webp?ect=4g,7041,15,50.0
"lulu-jeans New korean style high waist loose murah celana jeans panjang wanita - Premium Biru Retro 8563, S",122999,245998,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4fac7b161f8245b29c2ae94e73446313~.jpeg.webp?ect=4g,4169,16,50.0
"WEEKEND - JINISO Oversize Baggy Loose Celana Jeans Wanita Highwaist - 684 - 694, 27",232500,655714,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/cacca37502434b0788978736c1965c51~.jpeg.webp?ect=4g,119,17,64.54
"Highwaist Cutbray Jeans Wanita - Celana Panjang Denim Cutbray Hitam Melar Nyaman Kaki Basic - Cubtray Grey, 27",87906,145900,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/27daadb2cea74561b10c2945f49a98a2~.jpeg.webp?ect=4g,1034,18,39.75
"CELANA HIGHWAIST LOOSE JEANS WANITA | BAGGY JEANS LOOSE HIGHWAIST - BLUE RETRO, 27",107900,185000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/3f141a47a4664caa9c4fa902e2c7e8d5~.jpeg.webp?ect=4g,895000,19,41.68
"Hana Fashion - Arisha Casual Long Dress/Dress Maxi Wanita - CD047-2 Dress Panjang/Baju Lebaran - Black, S",139000,199000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/527dd1acb7dc4a7e850b1e1f3818202a~.jpeg.webp?ect=4g,147,20,30.15
Dress Kaftan Batik Elegan Wanita Pesta Aruna - Navy,189000,329000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fdbd235ecd584513945039c4fe20ef9d~.jpeg.webp?ect=4g,50,21,42.55
