rating,date,item_id,parsed_date,text_akhir,label
bintang 5,4 minggu lalu,10,2025-05-02 14:41:33.675998,bagus_banget sesuai banget ukuran badan bahan pakai lembut halus tebal kaku nyangka banget harga murah kualitas murahan,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676035,bagus_banget paketnya suka rok karetnya pas warnanya sesuai gambar jahitannya rap,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676093,bahannya nyaman enak pas panjangan ngk papa bagus oke pas terima kasih yh mbkkk,positive
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676129,ukuran pas tipis bahannyaa sesuai seehh harga segituu tapii bagus sesuai pesanan,positive
bintang 4,1 bulan lalu,10,2025-04-30 14:41:33.676160,bahan melarbahan e kasarmakanya hrga murah,neutral
bintang 5,1 minggu lalu,10,2025-05-23 14:41:33.676189,cantik sesuai barang,neutral
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676202,barang bagus sesuai harga warna bagus cream,positive
bintang 3,3 bulan lalu,10,2025-02-28 14:41:33.676233,belehan apa-apa,neutral
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676262,paketnya bagus pas banget,positive
bintang 4,3 bulan lalu,10,2025-02-28 14:41:33.676289,baguswrna creamuk standarpas,neutral
bintang 1,2 bulan lalu,10,2025-03-30 14:41:33.676315,pesen mengecewakan,neutral
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676340,bahannya bagus harganya terjangkau kegedean kasih sabuk,neutral
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676366,kualitas produk bagusss bahannya ademm enak pakai ukurannya pas pinggang lebaran gapapaa ttp bagus cocok baju apapunn,positive
bintang 4,2 bulan lalu,10,2025-03-30 14:41:33.676392,barangnya datangg datangnya kemarinn dirumah roknya pengiriman roknya bagus tebal nyaman dipake nerawang bb,positive
bintang 4,3 bulan lalu,10,2025-02-28 14:41:33.676417,bagus pas the best bahan kaku,neutral
bintang 3,3 minggu lalu,10,2025-05-09 14:41:33.676442,kedatangan paket lambat_banget produk bagus warna sesuai kualitas produk nga tebal lumayan,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676454,bhan aga kasar mudah anak suka aga kaki gth bhn,neutral
bintang 5,5 hari lalu,10,2025-05-25 14:41:33.676486,bagus sesuai gambar x,positive
bintang 4,2 bulan lalu,10,2025-03-30 14:41:33.676498,bagus_banget nyangka sayang kesempitan dikitt banget bahannya lumayan tebal pengiriman cepat order warna,positive
bintang 4,1 bulan lalu,10,2025-04-30 14:41:33.676528,bahannya bagus sesuai harganya belahan kakak aga kecewa tukang jahit ngilangin belahan,neutral
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.676554,super duper mantap poll produknya kaleng kaleng kualitasnya super tebalbahanya super lembut nyaman pakai kusut kainya thank yau sellernya,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676580,real pick banget bahan halus tebal toko amanah nyesel beli toko,positive
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.676605,roknyaa bagus bahannya tipis nerawang tetep bagus worth it harga rb,positive
bintang 1,2 bulan lalu,10,2025-03-30 14:41:33.676631,kak beli androk paket tulisannya total pcskokdatang,positive
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676656,barangnya bagusyng dtng sesuai dng dipesen,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.676681,rok bagus kekecilan bagus_banget,positive
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.676706,pengiriman cepatpacking rapihrok bagusbahannya tebelkualitas top banget,positive
bintang 5,4 bulan lalu,10,2025-01-30 14:41:33.676731,bagus kegedean suka warnanya gambar kualitas produk tebal sesuai gambar,positive
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676756,pesanan sesuaaiibahann nyaaa ademm pokoknyaaa bagusss,neutral
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.676781,cepat barangnya bagus harga segitu kualitas produk,positive
bintang 2,1 bulan lalu,10,2025-04-30 14:41:33.676806,maaf kasih bintang doang kotor kotornya susah diilangin,negative
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.676830,bagussss bangetttttt nyesel beli siniiikainnya sesuai ekspektasi tebell harga segitu worth it bangetttt jagan ragu dehhh,neutral
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676855,bagus bahan adem suka pengiriman cepat pokoknya rugi,neutral
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676880,bagus bahan adem suka pengiriman cepat pokoknya rugi,neutral
bintang 5,4 bulan lalu,10,2025-01-30 14:41:33.676904,rok cargo bagusnyaman pakai jalan pokoknya recommended,neutral
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.676929,bagus bangettpas pengirimannya cepatbeli kemarin,neutral
bintang 3,2 bulan lalu,10,2025-03-30 14:41:33.676954,bagus sayangnya pesen abu² dtang coklat,neutral
bintang 4,2 bulan lalu,10,2025-03-30 14:41:33.676978,kualitas barang bagus sesuai harga foto,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.677003,jahitan lumayan rapi bahan kakuu sesuailah dg harganya harga kualitas,positive
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.677027,sesuai eh pas sesuai banget kurir ramah,positive
bintang 3,2 bulan lalu,10,2025-03-30 14:41:33.677052,kualitas produk bahan kasar kecewa belanja toko,neutral
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.677076,bahannya sesuai harga modelnya bagus terima kasih,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.677101,rok bagus kainnya oke lh setara harga sesuai warnanya,positive
bintang 5,3 bulan lalu,10,2025-02-28 14:41:33.677125,barang bagus sesuai dilive smg jual laris manis slu amanah,positive
bintang 5,1 bulan lalu,10,2025-04-30 14:41:33.677150,kualitas produk bagus jahitann rapihh ukuran pas sekalii,positive
bintang 5,2 bulan lalu,10,2025-03-30 14:41:33.677174,bagus bngtt bahan lumayan tebal sesuai ekpetasi,positive
bintang 3,3 bulan lalu,10,2025-02-28 14:41:33.677199,warnanya beda banget sm difoto kaya warna rok osis jelek bngt warnanya,negative
bintang 5,1 minggu lalu,10,2025-05-23 14:41:33.677224,barangnya sesuai,positive
bintang 3,2 bulan lalu,10,2025-03-30 14:41:33.677236,warna cocok kualitas bagus,positive
