rating,date,item_id,parsed_date,text_akhir,label
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.355513,gelang kirim seller ramah tanggung dana terimakasih seller,positive
bintang 5,1 minggu lalu,13,2025-05-25 10:55:59.355674,recommended muas bagus kokoh,positive
bintang 4,8 bulan lalu,13,2024-10-01 10:55:59.355699,barang sesuai gambar desain modern bahan anti air,neutral
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.355734,kerenkualitasnya seprtinya kuatokelahterlihat,neutral
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.355764,sesuai pesan kirim cepat kemas rapi ukur pas tang warna cakep terima kasih all,positive
bintang 4,2 bulan lalu,13,2025-04-01 10:55:59.355793,pesan hijaupink meter dtng pink ukur meter satuharusnya konfirmasi barang teliti lihat pesan orang,positive
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.355834,bagus bangetpuass dech terima kasih yasemoga toko sukses,positive
bintang 5,8 bulan lalu,13,2024-10-01 10:55:59.355861,barang terima manfaat pergi bocil aktif banget,positive
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.355888,bagus kualitas nyaman pakai,positive
bintang 3,2 bulan lalu,13,2025-04-01 10:55:59.355914,pesan hijau biru pnjang sesuai pesan mtr smpai mtr,positive
bintang 5,8 bulan lalu,13,2024-10-01 10:55:59.355940,bahan empuk nyaman desain bagus durabilitas bagus,positive
bintang 5,8 bulan lalu,13,2024-10-01 10:55:59.355966,mantap bahan nyaa bagus anak mengerti nanges bagus_banget bawa,positive
bintang 5,5 bulan lalu,13,2025-01-01 10:55:59.355994,bagus kirim cepat sellernya oke,positive
bintang 5,6 bulan lalu,13,2024-12-01 10:55:59.356046,barang realpict bantu jaga anak aktif,negative
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.356073,mantap jalan mall anak diem,neutral
bintang 5,8 bulan lalu,13,2024-10-01 10:55:59.356099,terika kasih barang sesuai packing rapih kirim cepat,positive
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.356125,alhamdulillah paket terima tokok amanah abang kurir langgan,positive
bintang 4,2 bulan lalu,13,2025-04-01 10:55:59.356160,pesan hijaupink meter dtng pink ukur meter satuharusnya konfirmasi barang teliti lihat pesan orang,positive
bintang 4,6 bulan lalu,13,2024-12-01 10:55:59.356185,kirim lambat inbok bilang nyampe krmin minggu jalan nungguin tali,neutral
bintang 5,2 bulan lalu,13,2025-04-01 10:55:59.356211,sesuai pesan anak gampang jaga kmna,neutral
bintang 1,9 bulan lalu,13,2024-09-01 10:55:59.356237,order m kirim m not rekomend beli,positive
