Product Name,Current Price,Original Price,Image URL,Stock,item_id,discount
Dr Martens Mary Jane Polley T-Bar Black Smooth - 36,2690000,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/27/2ca31766-a2bb-4a9f-b433-123568d11867.png.webp?ect=4g,3,1,0.0
"Sepatu Boots Fashion wanita anti air kekinian style - HITAM, 36",69900,139800,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/45f94ba0b20c411f9097be8bea70fcd5~.jpeg.webp?ect=4g,8,2,50.0
"Sepatu BOOTS VINTAGE MARTENS DE5520 Tinggi 3cm - Black/Brown - Brown, 36",139500,155000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/73962802b0144b5d8d8cc41b980adb0c~.jpeg.webp?ect=4g,19,3,10.0
"sepatu A30 mts/pt wanita jumbo d standat - kuning, 36",69000,0,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/1234afcb15cc4125bb2826a3af0f2a94~.jpeg.webp?ect=4g,50,4,0.0
"Blow Gia mary jane flats knit BLWF 0040 - Beige/Black, 41",397000,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/3/110ceecf-618c-41a5-baa0-38c95670a4ce.jpg.webp?ect=4g,155,5,0.0
"URBAN&CO Kumiko Sepatu Flat Shoes Wanita - Pink, 35",159900,499900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/25/fce239f0-b29a-463a-a02b-8d045b27c256.jpg.webp?ect=4g,17,6,68.01
"Clavio Loura Flatshoes Wanita Tanpa Hak Hitam Shoes - Black, 36",54500,115965,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/47ab984894224964878e2daecde87b6c~.jpeg.webp?ect=4g,1723,7,53.0
"EASE - CASSANDRA Sepatu Wanita Tipe Mules - BLACK, 36",79499,0,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c56bc53922a24220933067f5f531d071~.jpeg.webp?ect=4g,2885,8,0.0
"Bozka sepatu wanita moccasin loafer KMH91 arch support shoes black - black, 36",188000,358000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fd85305b562e4458ab6143a16a624ea4~.jpeg.webp?ect=4g,47,9,47.49
"Mar & Ma - New Zora Women Shoes - Black, 36",254000,325000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c18fe0116f1a485cb148b36f4e9edb5e~.jpeg.webp?ect=4g,5,10,21.85
"NICHOLAS EDISON FLAT AUDREY BLACK SEPATU LOAFERS HITAM WANITA - Hitam, 36",315921,399900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/25/bbf9463e-2cf3-4620-883c-2a3c50a768c6.jpg.webp?ect=4g,50,11,21.0
