rating,date,item_id,parsed_date,text_akhir,label
bintang 5,5 bulan lalu,30,2025-01-01 10:55:59.876722,barang sesuai deskripsi kualitas bagus kirim cepat jual responsif packing rapi barang aman harga sesuai kualitas,positive
bintang 5,2 bulan lalu,30,2025-04-01 10:55:59.876803,sepatu merk main sepatu lihat beli mall sepatu skrng uang mall jual online produk bagus,positive
bintang 5,4 bulan lalu,30,2025-02-01 10:55:59.876840,terima kasih barang kualitas dipake jalan bunyi cetakcetok lapis karet kaku moga awet thankssssss,positive
bintang 5,1 bulan lalu,30,2025-05-01 10:55:59.876872,woww lantun dunia rekomendasi abah,neutral
bintang 5,6 bulan lalu,30,2024-12-01 10:55:59.876902,sangat_puas kecewa insole sesuai ukur kaki tampil bagus nyaman,positive
bintang 5,9 bulan lalu,30,2024-09-01 10:55:59.876931,barang sesuai pesan bungkus rapi model keren jahit halus,neutral
bintang 5,1 bulan lalu,30,2025-05-01 10:55:59.876960,cepat jual responsif sepatu nyaman pakai,positive
bintang 5,8 bulan lalu,30,2024-10-01 10:55:59.876988,barang sesuai pesan jual fast respon ramah kirim aman,positive
bintang 5,4 bulan lalu,30,2025-02-01 10:55:59.877016,mantap sesuai deskripsi pas kaos kaki nyaman pakai moga awet,positive
bintang 4,2 bulan lalu,30,2025-04-01 10:55:59.877044,kualitas bagus barang sesuai kirim cepat packing rapi,positive
bintang 5,4 bulan lalu,30,2025-02-01 10:55:59.877071,rapi model bagus bagus moga awet terima kasih kirim cepat banget sukses,positive
bintang 5,6 bulan lalu,30,2024-12-01 10:55:59.877098,keren bahan bagusss ujung lancip pas kaki cocok acara nikah teman wisuda sayang prewed,negative
bintang 5,7 bulan lalu,30,2024-11-01 10:55:59.877126,model pas ukur pas kaki kualitas mudahmudahan awet,positive
bintang 5,1 bulan lalu,30,2025-05-01 10:55:59.877153,ukur pascakep,positive
bintang 5,2 bulan lalu,30,2025-04-01 10:55:59.877180,bagus sesuai harga bagus pakai,positive
bintang 5,5 bulan lalu,30,2025-01-01 10:55:59.877207,model keren nyaman pakai kaki terima kasih yongki komaladi,positive
bintang 5,7 bulan lalu,30,2024-11-01 10:55:59.877234,cakep sepatu pas kaki sesuai gambar,positive
bintang 5,7 bulan lalu,30,2024-11-01 10:55:59.877261,simple kerenperfect bikin kecewa,positive
bintang 5,1 bulan lalu,30,2025-05-01 10:55:59.877288,pakai ukur pas kaki bentuk lebar samping sdkit press samping melar,neutral
bintang 5,6 bulan lalu,30,2024-12-01 10:55:59.877314,warna sesuai ukur sesuai bahan sesuai deskripsi,positive
bintang 5,7 bulan lalu,30,2024-11-01 10:55:59.877341,model keren pas ukur kaki,positive
bintang 5,7 bulan lalu,30,2024-11-01 10:55:59.877367,bagus,neutral
bintang 5,4 bulan lalu,30,2025-02-01 10:55:59.877393,barang paket rapih produk sesuai deskripsi jual recommended seller,positive
bintang 5,2 bulan lalu,30,2025-04-01 10:55:59.877420,nyaman pakai kerja nyikat nyikat,positive
bintang 1,2 bulan lalu,30,2025-04-01 10:55:59.877446,murah buru beli beli retak kulit sintetis ampun,positive
bintang 5,7 bulan lalu,30,2024-11-01 10:55:59.877472,kirim cepat kualitas bagus,positive
