rating,date,item_id,parsed_date,text_akhir,label
bintang 5,4 bulan lalu,38,2025-02-01 10:55:59.221528,kualitas barang asli respon jual kooperatif,positive
bintang 5,5 bulan lalu,38,2025-01-01 10:55:59.221769,seller responsif kirim cepat bagus,positive
bintang 5,5 bulan lalu,38,2025-01-01 10:55:59.221817,seller responsif kirim cepat bagus,positive
bintang 5,9 bulan lalu,38,2024-09-01 10:55:59.221855,pesan ditunggutunggu jugaaa warna super cakep super trusted seller langgan thank you,positive
bintang 5,7 bulan lalu,38,2024-11-01 10:55:59.221890,unit surface dlm box bnib kemas rapi aman buka nyala keren notebook tetangga california overrated layan toko bagus,positive
bintang 5,4 bulan lalu,38,2025-02-01 10:55:59.221926,barang terima sesuai pesan coba user jalan lancar,positive
bintang 5,8 bulan lalu,38,2024-10-01 10:55:59.221962,nice product and good service from the store,positive
bintang 5,7 bulan lalu,38,2024-11-01 10:55:59.222027,kirim lancar barang asli mantap,positive
bintang 5,8 bulan lalu,38,2024-10-01 10:55:59.222088,barang sesuai pesan cepat,positive
bintang 5,8 bulan lalu,38,2024-10-01 10:55:59.222148,mantap bagus,positive
bintang 5,6 bulan lalu,38,2024-12-01 10:55:59.222214,,neutral
bintang 5,5 bulan lalu,38,2025-01-01 10:55:59.222256,gercep oke,neutral
bintang 5,9 bulan lalu,38,2024-09-01 10:55:59.222290,great,positive
bintang 5,9 bulan lalu,38,2024-09-01 10:55:59.222321,mantap,positive
bintang 5,3 minggu lalu,1,2025-05-11 10:55:59.222353,terima kasih kak respons barang terima packingan bagus rapi aman tebal mohon maaf kemarin driver ojolnya pen,positive
bintang 1,2 bulan lalu,1,2025-04-01 10:55:59.222389,aju batalin sebentar ubah bayar bayar pakai cc ubah tenor cicil tuju seller kesal,negative
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222429,alhamdulillah barang terima cacat kurir cepat aman moga tablet awet,positive
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222462,komitmen delivery bagus layan seller gila shopping ragu top markotop sellernya,neutral
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222499,terima kasih bagus kirim gesit best service,positive
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222529,respon kirim cepat seller ramah hati kirim same day kirim selle,positive
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222559,puas belanja layan cepat ramah transaksi malammalam layan kasih bonus barang asli segel aktivasi,positive
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222590,bagus sesuai deskripsi seller responsif cepat layan order kirim bbrp jam check out,positive
bintang 5,1 bulan lalu,1,2025-05-01 10:55:59.222620,admin ramah kirim cepat barang pakai,positive
bintang 5,1 bulan lalu,1,2025-05-01 10:55:59.222650,barang terima segel kwalitas bagus sesuai,positive
bintang 5,1 bulan lalu,1,2025-05-01 10:55:59.222680,mantap barang segel,positive
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222709,barang asli sesuai,positive
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222740,nais,neutral
bintang 5,1 minggu lalu,1,2025-05-25 10:55:59.222790,sip,neutral
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.222818,,neutral
bintang 4,6 bulan lalu,21,2024-12-01 10:55:59.222876,aga kecewa barang datangkepala chargernya bolong males retur return biar pakai,negative
bintang 5,2 bulan lalu,21,2025-04-01 10:55:59.222940,lumayan bgustpi tdak buku pandu nytpi fungsi smua nytoko ny amanahjgn ragu beli dsni,neutral
bintang 5,1 bulan lalu,21,2025-05-01 10:55:59.222997,barang kondisi fungsi moga awet recommended,positive
bintang 3,2 minggu lalu,21,2025-05-18 10:55:59.223049,barang fungsi warna hitam kirim warna merah,neutral
bintang 5,2 bulan lalu,21,2025-04-01 10:55:59.223070,bagus sesuai pesan warna,positive
bintang 2,7 bulan lalu,21,2024-11-01 10:55:59.223123,sesuai kenyataangambar pajang toko dasar dagang amanah,positive
bintang 5,5 bulan lalu,21,2025-01-01 10:55:59.223173,alhamdulillah bagus ralpic,positive
bintang 4,2 bulan lalu,21,2025-04-01 10:55:59.223222,harga gin made in vietnam baterai asli ujung lapis konektor plastik karet,neutral
bintang 4,3 bulan lalu,21,2025-03-01 10:55:59.223281,unboxing coba aktif isi cas overall aman lancar,neutral
bintang 5,1 bulan lalu,21,2025-05-01 10:55:59.223326,produk bagus kirim cepat puasss dech toko,positive
bintang 5,1 bulan lalu,21,2025-05-01 10:55:59.223361,bagus sesuai pesanpokox kecewa,positive
bintang 5,3 bulan lalu,21,2025-03-01 10:55:59.223392,alhmdulilah fungsi aktif bagus geres segel lngsung neng terima kasih abang kurir langgan,positive
bintang 4,2 bulan lalu,21,2025-04-01 10:55:59.223422,barang sdh terima warna sesuai pesan biru kirim hitam but its oklah terima kasih,positive
bintang 4,6 hari lalu,21,2025-05-26 10:55:59.223457,terimakasih paket tlah aman cepat enteng banget hp nokia coba ngecas batre hp kondisi charger goyang kaya lepas dkt,positive
