rating,date,item_id,parsed_date,text_akhir,label
bintang 5,11 bulan lalu,1,2024-07-01 10:55:59.559953,bahan enak muka bikin muka fresh,neutral
bintang 5,1 bulan lalu,1,2025-05-01 10:55:59.560016,bahan ringan mudah serap warna cocok pas kulit sumpah nemuin cushion bner sesuai ekspetasi,positive
bintang 5,10 bulan lalu,1,2024-08-01 10:55:59.560052,tipe kulit kombinasi under tone kulit netral,neutral
bintang 5,3 bulan lalu,1,2025-03-01 10:55:59.560083,senang belanja produk packingan kirim oke terima kasih,positive
bintang 5,11 bulan lalu,1,2024-07-01 10:55:59.560112,bagus cocok terima kasih,positive
bintang 5,5 bulan lalu,1,2025-01-01 10:55:59.560168,ringan sesuai warna kulit,positive
bintang 5,9 bulan lalu,1,2024-09-01 10:55:59.560196,packing bagus,neutral
bintang 5,7 bulan lalu,1,2024-11-01 10:55:59.560223,he,neutral
bintang 5,2 bulan lalu,1,2025-04-01 10:55:59.560251,matap moga cocok,neutral
bintang 5,3 bulan lalu,99,2025-03-01 10:55:59.560279,terimakasih paket sesuai pesan,positive
bintang 5,2 bulan lalu,99,2025-04-01 10:55:59.560306,kirim cepat barang sesuai harga miring banding live murah,positive
bintang 5,1 bulan lalu,99,2025-05-01 10:55:59.560333,bagus emg foccalure yhh gud gud ripiuw jujur acuh gada bedanyah sm kirain warna hitam pekat pekat mas lihat coklat tua mksh mantap,positive
bintang 5,5 bulan lalu,99,2025-01-01 10:55:59.560359,bagus waterfop cepat hilang gesek tangan lumayan pergi kondangan pakai sifat,neutral
bintang 5,2 bulan lalu,99,2025-04-01 10:55:59.560386,bagus_banget pengirimanya lamaa,positive
bintang 4,4 bulan lalu,99,2025-02-01 10:55:59.560413,mantap habis kirim cepat,positive
bintang 5,4 bulan lalu,99,2025-02-01 10:55:59.560439,packaging aman banget cepat banget nyaaa harga segitu worth it to buy sihh cumann salahh ambil warnaaa tetep okee kokk seller fast responnn,neutral
bintang 5,1 bulan lalu,99,2025-05-01 10:55:59.560466,hahah jngn salfok alis mata ajar wey tertawa worth it ajar ngalis gampang banget ngukirnya beli,positive
bintang 5,4 bulan lalu,99,2025-02-01 10:55:59.560493,allhmdulilh udah nyampe puas banget kirim cepat,positive
bintang 5,3 bulan lalu,99,2025-03-01 10:55:59.560519,bagus mudah bentukini skrang udah repot pkek pensil alis,neutral
bintang 5,5 bulan lalu,99,2025-01-01 10:55:59.560545,bagus_banget ajar ngalis bingung shade aman pilih warna natural,positive
