Product Name,Current Price,Original Price,Image URL,Stock,item_id,discount
OMEPRAZOLE HEXPHARM 20 MG STRIP 10 KAPSUL,3982,0,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2025/1/31/4f6f0151-862f-473a-aba9-de4e7ff607d0.jpg.webp?ect=4g,79363,1,0.0
Promag 10 Tablet,9111,9664,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2023/5/4/532b3ae6-cf90-4ddf-8f48-0d2e0e500261.jpg.webp?ect=4g,565,2,5.72
POLYSILANE TABLET KUNYAH (1 STRIP ISI 8 TABLET KUNYAH),8240,9500,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/3/5/3c3f07bf-9a21-48c7-859f-0f0498d88946.png.webp?ect=4g,406,3,13.26
NEW DIATABS 4 TABLET,3055,3117,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/5/13077773-817c-4533-a77b-2bfc80f84730.png.webp?ect=4g,127,4,1.99
DIAGIT 10 TABLET,37828,38815,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/30/1c4fb80a-a245-4e69-94a3-fc091619c870.png.webp?ect=4g,48,5,2.54
Promag Suspensi Sachet 10 ml,14500,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/2/7/be2cff8f-6ec4-45ea-9de7-2db4e1098413.jpg.webp?ect=4g,42,6,0.0
Oralit Sachet,1100,1300,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/9/10/2a7316f5-680f-4793-8ee9-b88e70c905f0.jpg.webp?ect=4g,150,7,15.38
URSODEOXYCHOLIC ACID OGB DEXA MEDICA 250 MG STRIP 6 KAPSUL / EMPEDU,14961,0,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/8/13/eaab3336-fde8-4158-88b6-bf88d68f5c80.jpg.webp?ect=4g,434,8,0.0
LANSOPRAZOLE HEXPHARM 30 MG STRIP 10 KAPSUL,6751,0,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2025/1/6/b2fa3079-df03-4154-854c-13f480b09c71.jpg.webp?ect=4g,798760,9,0.0
Colidan Fucoidan 100 mg 1 Blister @ 10 Kapsul Bantu Kesehatan Lambung,69160,76000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/1/eed714d0-1784-4469-8d94-3c3285dd5eed.png.webp?ect=4g,36,10,9.0
TOLAK ANGIN SIDOMUNCUL BOX ISI 12 SASET,48883,0,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/2/a9cf7cec-928f-4908-a4b3-f72b95aef1f3.jpg.webp?ect=4g,3555,11,0.0
SANMOL 500MG TABLET 4`S/PARACETAMOL/DEMAM/ANTI NYERI,2300,0,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2023/11/24/4c5f4706-62b5-49a0-bf78-9c70ad40c5d8.png.webp?ect=4g,740,12,0.0
Med+ Masker 3Ply Putih 50 Pcs / 3Ply Disposable Face Mask Kemenkes,22900,29000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/2/8/0737fcfd-1f7e-4901-ae72-ac34f075633d.jpg.webp?ect=4g,139,13,21.03
