rating,date,item_id,parsed_date,text_akhir,label
bintang 5,6 bulan lalu,22,2024-12-01 10:55:59.532264,kualitas bagus terima kasih sukses toko,positive
bintang 5,6 bulan lalu,22,2024-12-01 10:55:59.532378,kirim okeeee barang okeee sesuai deskripsiiiii,positive
bintang 5,6 bulan lalu,22,2024-12-01 10:55:59.532417,layan bandung cepat proses packing aman produk sesuai moga sukses terima kasih toped,positive
bintang 5,2 minggu lalu,22,2025-05-18 10:55:59.532449,bagus sesuai pesananpacking rapi aman sampaientah dr jual kurir,positive
bintang 5,1 bulan lalu,22,2025-05-01 10:55:59.532477,kirim cepat packing aman barang kirim sesuai pesan,positive
bintang 5,3 bulan lalu,22,2025-03-01 10:55:59.532513,keren habis responsif barang sesuai pesan expired layak langgan toko terimakasih,positive
bintang 5,10 bulan lalu,22,2024-08-01 10:55:59.532545,produk sesuai packing rapi aman kirim cepat terima kasih,positive
bintang 5,5 bulan lalu,22,2025-01-01 10:55:59.532599,stock bersih luka gatau luka stock penjahat kelamin,negative
bintang 5,3 minggu lalu,22,2025-05-11 10:55:59.532634,paket sesuai promosi barang segel aman,positive
bintang 5,3 bulan lalu,22,2025-03-01 10:55:59.532648,bagus_banget bersihin luka cepat banget smpaiy sngaja beli spray dl krna mudah aplikasiy beli tuk isi ulang,positive
bintang 5,12 bulan lalu,22,2024-06-01 10:55:59.532683,barang expmasih th,neutral
bintang 5,9 bulan lalu,22,2024-09-01 10:55:59.532720,bagus moga cocok rawat luka bakar knalpot terima kasih sukses selaluu,neutral
bintang 5,2 bulan lalu,22,2025-04-01 10:55:59.532752,amazing oke banget produk bahan halus nyaman darurat luka iritasi keci,neutral
bintang 5,9 bulan lalu,22,2024-09-01 10:55:59.532783,sesuai deskripsi gambar packing aman rapih jual ramah fast respon terimakasih,positive
bintang 5,1 bulan lalu,22,2025-05-01 10:55:59.532813,mantap barang bocor,neutral
bintang 5,2 bulan lalu,22,2025-04-01 10:55:59.532843,produk asli packing aman lap jual ramah moga toko sukses amanah,positive
bintang 5,2 bulan lalu,22,2025-04-01 10:55:59.532873,paket aman sesuai kemas packing aman walapun kemas penyok kirim overall oke,positive
