rating,date,item_id,parsed_date,text_akhir,label
bintang 5,8 bulan lalu,75,2024-10-01 10:56:00.031329,bahan bagus ukur xxl,neutral
bintang 5,9 bulan lalu,75,2024-09-01 10:56:00.031440,packing plastik lapis aman kemeja lapis furing ukur cocok enak pakai ken kualitas barang dg harga jangkau terimakasih,positive
bintang 4,4 bulan lalu,75,2025-02-01 10:56:00.031479,size pascuma ketiak pola jahit sempit,negative
bintang 3,7 bulan lalu,75,2024-11-01 10:56:00.031513,baju bolong leng kanan,negative
bintang 5,10 bulan lalu,75,2024-08-01 10:56:00.031550,lebar lengan proporsionil,neutral
bintang 5,2 minggu lalu,75,2025-05-18 10:56:00.031591,baju terima kondisi material bagus bahan halus,neutral
bintang 4,3 bulan lalu,75,2025-03-01 10:56:00.031619,warna cerah,neutral
bintang 5,4 minggu lalu,75,2025-05-04 10:56:00.031657,sesuai pesan kirim cepat puas barang pokok oke,positive
bintang 5,1 bulan lalu,75,2025-05-01 10:56:00.031671,bagus repeat order,neutral
bintang 1,1 bulan lalu,75,2025-05-01 10:56:00.031706,jual ganti dg sesuai dg pesan warna sesuai dg pesan,positive
bintang 5,10 bulan lalu,75,2024-08-01 10:56:00.031737,keren santai ukur pas,positive
bintang 5,12 bulan lalu,75,2024-06-01 10:56:00.031768,ukur,positive
bintang 5,5 bulan lalu,75,2025-01-01 10:56:00.031810,pas nyaman pakai,positive
bintang 5,8 bulan lalu,61,2024-10-01 10:56:00.031842,model fungsional harga murah mudah lapis stainlessnya mudah karat,positive
bintang 5,6 bulan lalu,61,2024-12-01 10:56:00.031872,mantappp bagus_banget kualitas mahal bingung makenya skrng cocok baju recommended seller kirim cepat,positive
bintang 5,10 bulan lalu,61,2024-08-01 10:56:00.031903,nyata ukur pas kirain banget tertawa bagus_banget barang sesuai kali pakai garter ajar pakai,positive
bintang 5,9 bulan lalu,61,2024-09-01 10:56:00.031932,model keren klasik bahan bagus warna cocok recommended,positive
bintang 5,9 bulan lalu,61,2024-09-01 10:56:00.031962,model keren atur lebar pakai nyaman terimakasih seller,positive
bintang 5,9 bulan lalu,61,2024-09-01 10:56:00.031991,bahan bagus jahit rapih goks,negative
bintang 5,7 bulan lalu,61,2024-11-01 10:56:00.032028,puas produk layan emas kirim terima kasih,positive
bintang 5,9 bulan lalu,61,2024-09-01 10:56:00.032061,barang sesuai deskripsi kirim cepatz jual ramah packingnya aman topp,positive
bintang 5,8 bulan lalu,61,2024-10-01 10:56:00.032091,respon jual barang oke,positive
bintang 5,7 bulan lalu,61,2024-11-01 10:56:00.032120,bagus packing rapi aman terima kasih,positive
bintang 5,10 bulan lalu,61,2024-08-01 10:56:00.032149,ukur pas kirim relatif cepat terima kasih,positive
bintang 5,4 bulan lalu,61,2025-02-01 10:56:00.032179,sesuai tampil toped instan kirim cepat,positive
bintang 5,10 bulan lalu,61,2024-08-01 10:56:00.032209,pas gampang aplikasi pakai kemeja ganteng,neutral
bintang 5,4 bulan lalu,61,2025-02-01 10:56:00.032238,oke harga gin barang,positive
bintang 5,11 bulan lalu,61,2024-07-01 10:56:00.032267,produk layan muas,positive
bintang 5,10 bulan lalu,61,2024-08-01 10:56:00.032297,gacor sweater gede banget dipakein lengan sweaternya turun makas bang,neutral
bintang 5,7 bulan lalu,61,2024-11-01 10:56:00.032325,enak banget dipakenya nyaman bahan mahal harga murah,positive
bintang 5,1 minggu lalu,61,2025-05-25 10:56:00.032354,model kerenpas badan gerah pakai,negative
bintang 5,8 bulan lalu,61,2024-10-01 10:56:00.032369,bahan bagus sesuai foto ekspektasi,positive
bintang 5,6 bulan lalu,61,2024-12-01 10:56:00.032402,packing bagus kirim sesuai terimakasih,positive
bintang 5,4 bulan lalu,61,2025-02-01 10:56:00.032432,nice bangett bantu rapiin lipetan baju,neutral
bintang 5,4 bulan lalu,61,2025-02-01 10:56:00.032462,kirim aman barang sesuai puas,positive
bintang 5,6 bulan lalu,61,2024-12-01 10:56:00.032491,mantappp beli kali,positive
bintang 5,10 bulan lalu,61,2024-08-01 10:56:00.032520,barang sesuai harap,positive
