rating,date,item_id,parsed_date,text_akhir,label
bintang 5,4 minggu lalu,10,2025-05-04 10:56:00.203073,bagus_banget sesuai banget ukuran badan bahan pakai lembut halus tebal kaku nyangka banget harga murah kualitas murah,positive
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203100,bagus_banget paket suka rok karet nyata pas warna sesuai gambar jahit rap,positive
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203155,bahan nyaman enak pas ngk papa bagus oke pas terima kasih yh mbkkk,positive
bintang 5,3 bulan lalu,10,2025-03-01 10:56:00.203191,ukuran pas tipis bahannyaa sesuai seehh harga segituu bagus sesuai pesan,positive
bintang 4,1 bulan lalu,10,2025-05-01 10:56:00.203223,bahan melarbahan e kasarmakanya hrga murah,neutral
bintang 5,1 minggu lalu,10,2025-05-25 10:56:00.203254,cantik sesuai barang,neutral
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203268,barang bagus sesuai harga warna bagus cream,positive
bintang 3,3 bulan lalu,10,2025-03-01 10:56:00.203301,belehan apa-apa,neutral
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203331,paket bagus pas banget,positive
bintang 4,3 bulan lalu,10,2025-03-01 10:56:00.203360,baguswrna creamuk standarpas,neutral
bintang 1,2 bulan lalu,10,2025-04-01 10:56:00.203388,sen kecewa,neutral
bintang 5,3 bulan lalu,10,2025-03-01 10:56:00.203415,bahan bagus harga jangkau gede kasih sabuk,neutral
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203443,kualitas produk bagusss bahan ademm enak pakai ukur pas pinggang lebaran gapapaa ttp bagus cocok baju apapunn,positive
bintang 4,2 bulan lalu,10,2025-04-01 10:56:00.203470,barang datangg kemarinn rumah rok kirim rok bagus tebal nyaman dipake nerawang bb,positive
bintang 4,3 bulan lalu,10,2025-03-01 10:56:00.203497,bagus pas the best bahan kaku,neutral
bintang 3,3 minggu lalu,10,2025-05-11 10:56:00.203524,paket lambat_banget produk bagus warna sesuai kualitas produk nga tebal lumayan,positive
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203537,bhan aga kasar mudah anak suka aga kaki gth bhn,neutral
bintang 5,5 hari lalu,10,2025-05-27 10:56:00.203569,bagus sesuai gambar x,positive
bintang 4,2 bulan lalu,10,2025-04-01 10:56:00.203581,bagus_banget nyangka sayang nyata sempit dikitt banget bahan lumayan tebal kirim cepat order warna,positive
bintang 4,1 bulan lalu,10,2025-05-01 10:56:00.203612,bahan bagus sesuai harga bahan kakak aga kecewa tukang jahit ngilangin bahan,negative
bintang 5,1 bulan lalu,10,2025-05-01 10:56:00.203657,super duper mantap poll produk kaleng kaleng kualitas super tebalbahanya super lembut nyaman pakai kusut kainya thank yau sellernya,positive
bintang 5,2 bulan lalu,10,2025-04-01 10:56:00.203685,real pick banget bahan halus tebal toko amanah nyesel beli toko,positive
bintang 5,1 bulan lalu,10,2025-05-01 10:56:00.203713,roknyaa bagus bahan tipis nerawang tetep bagus worth it harga rb,positive
bintang 1,2 bulan lalu,10,2025-04-01 10:56:00.203741,kak beli androk paket tulis total pcskokdatang,positive
